"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Se vienen más cuentas congeladas en regiones";"Humala considera que además de Áncash se deben intervenir otros gobiernos regionales.";"NA";"El Gobierno plantea cambiar la legislación para ejercer mayor control político a los gobiernos regionales. Considera que el reto de la lucha antidrogas es entrar al Vraem.";"Gestion";"2014-06-02";"1"
"En norte del país se siente más que se frenó crecimiento";"ENCUESTA NACIONAL URBANA DE GFK";"NA";"El 53% del nivel AB considera que se crece pero más lento.";"Gestion";"2014-06-02";"1"
"Quedan tres postores para Gasoducto del Sur";"NA";"NA";"Hasta el 20 de junio, otras empresas podrán integrarse a los consorcios existentes.";"Gestion";"2014-06-02";"1"
"Sindicatos ganan batalla en el TC";"NA";"NA";"Sentencia establece que arbitraje sea obligatorio para negociación colectiva.";"Gestion";"2014-06-02";"1"
"Es momento de créditos de plazos muy cortos";"NA";"NA";"Ahora se paga mayor cuota inicial cuando se toma un crédito vehicular.";"Gestion";"2014-06-02";"1"
"Emisitirían bonos para salvar a Alianza Lima";"NA";"NA";"Promotora blanquiazul plantea emisión a nombre del club por US$ 4 mlls.";"Gestion";"2014-06-02";"1"
"Lucha contra 'permisología'";"Alistan proyecto para desatascar las inversiones";"NA";"NA";"Gestion";"2014-06-02";"1"
"Se evalúan cambios en la Ley de Radio y Televisión";"Norma actual tiene 10 años";"NA";"NA";"Gestion";"2014-06-02";"1"
"Consumidores están cambiando hábitos por cautela";"Ya se nota desaceleración, dice presidente de Cámara de Comercio de Lima.";"Jorge von Wedemeyer";"NA";"Gestion";"2014-06-02";"1"
"Cambian prioridades de adultos jóvenes para ahorro";"Encuesta Ipsos";"NA";"Según una encuesta de Ipsos, el 22% de limeños de entre 21 y 35 años del nivel socioeconómico B ahorra con la intención de iniciar un negocio. En contraste, solo el 5% del segmento E posee una laptop.";"Gestion";"2014-06-02";"1"
"DirecTV crecerá 25% en clientes por Mundial";"Espera tener más de 300 mil suscriptores.";"NA";"NA";"Gestion";"2014-06-02";"1"
