trome#2021-03-02#02.png - Time needed: 0.0332s - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0306s - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0373s - Config 2: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0403s - Config 5: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0564s - Config 7: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.1662s - Config 6: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0359s - Config 18: Binarization.basic, SkewCorrection.topline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0248s - Config 17: Binarization.basic, SkewCorrection.topline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0228s - Config 16: Binarization.basic, SkewCorrection.topline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1968s - Config 9: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0315s - Config 21: Binarization.basic, SkewCorrection.topline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0533s - Config 24: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1745s - Config 8: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2006s - Config 10: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0525s - Config 26: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0460s - Config 25: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.1002s - Config 23: Binarization.basic, SkewCorrection.topline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.2262s - Config 13: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0644s - Config 29: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.2591s - Config 15: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0902s - Config 31: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0627s - Config 33: Binarization.basic, SkewCorrection.moments, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0405s - Config 32: Binarization.basic, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0587s - Config 34: Binarization.basic, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.1588s - Config 30: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0702s - Config 37: Binarization.basic, SkewCorrection.moments, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0610s - Config 41: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0551s - Config 42: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.1063s - Config 39: Binarization.basic, SkewCorrection.moments, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0726s - Config 40: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.3723s - Config 14: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0718s - Config 45: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.3300s - Config 22: Binarization.basic, SkewCorrection.topline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.1338s - Config 47: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0401s - Config 56: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0367s - Config 57: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0613s - Config 58: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.1802s - Config 46: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.2845s - Config 38: Binarization.basic, SkewCorrection.moments, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0267s - Config 64: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2345s - Config 50: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0453s - Config 65: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0211s - Config 69: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0662s - Config 61: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.1968s - Config 53: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0446s - Config 66: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.2794s - Config 49: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.2998s - Config 48: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0153s - Config 74: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0098s - Config 73: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0125s - Config 72: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0796s - Config 71: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0139s - Config 77: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.1538s - Config 63: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0701s - Config 79: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0512s - Config 82: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0716s - Config 80: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1709s - Config 70: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.3855s - Config 55: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0489s - Config 81: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0786s - Config 85: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0968s - Config 87: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.4779s - Config 54: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0236s - Config 98: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0342s - Config 97: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0427s - Config 96: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.4270s - Config 62: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.2388s - Config 78: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0857s - Config 103: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0335s - Config 101: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.2280s - Config 95: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0321s - Config 113: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.3852s - Config 94: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0375s - Config 114: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.1814s - Config 110: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0752s - Config 119: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.2257s - Config 86: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0497s - Config 106: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.2517s - Config 90: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0636s - Config 120: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0380s - Config 105: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0475s - Config 112: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2361s - Config 89: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.2262s - Config 88: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0363s - Config 104: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1070s - Config 111: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0293s - Config 117: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0490s - Config 109: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.2290s - Config 93: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0675s - Config 121: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0594s - Config 122: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.3654s - Config 102: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0658s - Config 125: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.1786s - Config 118: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.1173s - Config 127: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0683s - Config 136: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0495s - Config 138: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0451s - Config 137: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0638s - Config 141: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0640s - Config 144: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2828s - Config 130: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.3117s - Config 128: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2871s - Config 133: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.3202s - Config 129: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.2859s - Config 126: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0973s - Config 143: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0836s - Config 145: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0925s - Config 146: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0867s - Config 149: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0513s - Config 157: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0967s - Config 152: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1461s - Config 151: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0573s - Config 154: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.3802s - Config 135: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.1367s - Config 153: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.gaussian_filter
