"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"OLLANTA EN BRONCA CON EL CONGRESO";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"CRISTO POBRE: TENGAN FE";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS";"Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima VER PAG. 4";"NA";"NA";"ojo";"2015-04-01";"1"
"Y LA CENTRAL TINKA HOY MIÉRCOLES S/. 4’700,000 RESULTADOS EN WWW.TINKA.COM.PE Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"OLLANTA EN BRONCA CON EL CONGRESO";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"CRISTO POBRE: TENGAN FE";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS";"Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima VER PAG. 4";"NA";"NA";"ojo";"2015-04-01";"1"
"Y LA CENTRAL TINKA HOY MIÉRCOLES S/. 4’700,000 RESULTADOS EN WWW.TINKA.COM.PE Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
