"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos";"NA";"NA";"Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"Mar caliente por 'El Niño' aleja especies marinas y precios se disparan";"Semana Santa sin pescado ni gas";"NA";"Semana Santa sin pescado ni gas. Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"Ver pag. 4 Y la central hoy miércoles S/. 4'700,000 Resultados en www.tinka.com.pe Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"OLLANTA EN BRONCA CON EL CONGRESO OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS CRISTO POBRE: TENGAN FE";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"Ver pag. 4 Y la central hoy miércoles S/. 4'700,000 Resultados en www.tinka.com.pe Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"OLLANTA EN BRONCA CON EL CONGRESO OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS CRISTO POBRE: TENGAN FE";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"Ver pag. 4 Y la central hoy miércoles S/. 4'700,000 Resultados en www.tinka.com.pe Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"OLLANTA EN BRONCA CON EL CONGRESO OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS CRISTO POBRE: TENGAN FE";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"Ver pag. 4 Y la central hoy miércoles S/. 4'700,000 Resultados en www.tinka.com.pe Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"OLLANTA EN BRONCA CON EL CONGRESO OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS CRISTO POBRE: TENGAN FE";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"Ver pag. 4 Y la central hoy miércoles S/. 4'700,000 Resultados en www.tinka.com.pe Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"OLLANTA EN BRONCA CON EL CONGRESO OTRO TRIPLE CHOQUE DE 'CHOSICANOS' SHEYLA Y PAVÓN SE LUCEN CON SUS PAREJAS CRISTO POBRE: TENGAN FE";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"Ver pag. 4 Y la central hoy miércoles S/. 4'700,000 Resultados en www.tinka.com.pe Juego solo para personas naturales mayores de 18 años. El cliente se obliga a informarse del Reglamento y de los términos y condiciones del juego en www.tinka.com.pe o en los puntos de venta de Intralot.";"ojo";"2015-04-01";"1"
"NA";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
