"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"¿Ellos también fingen?";"NA";"NA";"No... PERÚ21 TE REGALA 3 IPADs INGRESA EL CÓDIGO VÍA WEB El invierno trae más gastos, ahora sí...";"peru21";"2013-08-07";"1"
"Mujeres ovacionan a las chicas del vóley";"NA";"NA";"NA";"peru21";"2013-08-07";"1"
"'Horraquita' está implicado en tres crímenes y fue detenido ayer";"SICARIO A LOS 13";"NA";"Niño fue captado en el norte por peligrosa banda del Cojo Mame'";"peru21";"2013-08-07";"1"
"Se archiva el caso Girot y Castillo";"Vía crucis por la huelga médica";"NA";"Durante dos días San Martín investigado por relación con juez y ministros";"peru21";"2013-08-07";"1"
"ESPECIALISTA EN ADMINISTRACIÓN Y SEGURIDAD DE LINUX ORACLE DATABASE 11g SQL Fundamentals I";"Tecnología";"UNIVERSIDAD TECNOLÓGICA DEL PERÚ";"ESTUDIALOS AQUÍ MI UNIVERSIDAD TECNOLÓGICA DEL PERÚ www.utep.pe";"peru21";"2013-08-07";"1"
"¿Ellos también fingen?";"NA";"NA";"No... PERÚ21 TE REGALA 3 IPADs INGRESA EL CÓDIGO VÍA WEB El invierno trae más gastos, ahora sí...";"peru21";"2013-08-07";"1"
"Mujeres ovacionan a las chicas del vóley";"NA";"NA";"NA";"peru21";"2013-08-07";"1"
"'Horraquita' está implicado en tres crímenes y fue detenido ayer";"SICARIO A LOS 13";"NA";"Niño fue captado en el norte por peligrosa banda del Cojo Mame'";"peru21";"2013-08-07";"1"
"Se archiva el caso Girot y Castillo";"Vía crucis por la huelga médica";"NA";"Durante dos días San Martín investigado por relación con juez y ministros";"peru21";"2013-08-07";"1"
"ESPECIALISTA EN ADMINISTRACIÓN Y SEGURIDAD DE LINUX ORACLE DATABASE 11g SQL Fundamentals I";"Tecnología";"UNIVERSIDAD TECNOLÓGICA DEL PERÚ";"ESTUDIALOS AQUÍ MI UNIVERSIDAD TECNOLÓGICA DEL PERÚ www.utep.pe";"peru21";"2013-08-07";"1"
