"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"La joven muerta hace 38 días fue quemada en bus";"NA";"NA";"La joven muerta hace 38 días fue quemada en bus.";"peru21";"2018-06-02";"1"
"Para 2020 saldrán libres 1976 presos por agresión sexual";"NA";"NA";"Para 2020 saldrán libres 1976 presos por agresión sexual.";"peru21";"2018-06-02";"1"
"Bajan tarifas de teléfonos";"NA";"NA";"Bajan tarifas de teléfonos.";"peru21";"2018-06-02";"1"
"Toromocho va, pero con conflicto";"NA";"NA";"Toromocho va, pero con conflicto.";"peru21";"2018-06-02";"1"
"Corredores viales de mal en peor";"NA";"NA";"Corredores viales de mal en peor.";"peru21";"2018-06-02";"1"
"NOS DUELE A TODOS EVVI AGREDA NO RESISTIO SALVAJE ATAQUE DE ACOSADOR CARLOS HUALPA";"NA";"NA";"NOS DUELE A TODOS EVVI AGREDA NO RESISTIO SALVAJE ATAQUE DE ACOSADOR CARLOS HUALPA.";"peru21";"2018-06-02";"1"
"La joven muerta hace 38 días fue quemada en bus";"NA";"NA";"La joven muerta hace 38 días fue quemada en bus.";"peru21";"2018-06-02";"1"
"Para 2020 saldrán libres 1976 presos por agresión sexual";"NA";"NA";"Para 2020 saldrán libres 1976 presos por agresión sexual.";"peru21";"2018-06-02";"1"
"Bajan tarifas de teléfonos";"NA";"NA";"Bajan tarifas de teléfonos.";"peru21";"2018-06-02";"1"
"Toromocho va, pero con conflicto";"NA";"NA";"Toromocho va, pero con conflicto.";"peru21";"2018-06-02";"1"
"Corredores viales de mal en peor";"NA";"NA";"Corredores viales de mal en peor.";"peru21";"2018-06-02";"1"
"NOS DUELE A TODOS EVVI AGREDA NO RESISTIO SALVAJE ATAQUE DE ACOSADOR CARLOS HUALPA";"NA";"NA";"NOS DUELE A TODOS EVVI AGREDA NO RESISTIO SALVAJE ATAQUE DE ACOSADOR CARLOS HUALPA.";"peru21";"2018-06-02";"1"
