"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Las estadísticas dicen que acabaremos penúltimos";"Análisis de la BBC de las ocho fechas que faltan en las Eliminatorias";"NA";"LAS ESTADÍSTICAS DICEN QUE ACABAREMOS PENÚLTIMOS ANÁLISIS DE LA BBC DE LAS OCHO FECHAS QUE FALTAN EN LAS ELIMINATORIAS.";"publimetro";"2016-10-13";"1"
"'Timochenko' dispuesto a correcciones";"Líder de las FARC responde al triunfo del ‘No’ sobre acuerdo de paz en Colombia";"NA";"'TIMOCHENKO' DISPUESTO A CORRECCIONES LÍDER DE LAS FARC RESPONDE AL TRIUNFO DEL ‘NO’ SOBRE ACUERDO DE PAZ EN COLOMBIA.";"publimetro";"2016-10-13";"1"
"Iniciativa legislativa para despenalizar el aborto";"Presentada por la bancada del Frente Amplio, respaldada por organizaciones de mujeres";"NA";"PROYECTO PARA DESPENALIZAR EL ABORTO INICIATIVA LEGISLATIVA PRESENTADA POR LA BANCADA DEL FRENTE AMPLIO INGRESÓ A TRÁMITE DOCUMENTARIO EN EL CONGRESO. ORGANIZACIONES DE MUJERES RESPALDAN LA PROPUESTA.";"publimetro";"2016-10-13";"1"
"El tiempo con tus hijos es lo más valioso";"Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima";"NA";"“EL TIEMPO CON TUS HIJOS ES LO MÁS VALIOSO” JENNIFER GARNER PROTAGONIZA JUNTO A KEVIN SPACEY MI PAPÁ ES UN GATO, COMEDIA SOBRE LA PATERNIDAD QUE HOY SE ESTRENAN EN LIMA.";"publimetro";"2016-10-13";"1"
"Las estadísticas dicen que acabaremos penúltimos";"Análisis de la BBC de las ocho fechas que faltan en las Eliminatorias";"NA";"LAS ESTADÍSTICAS DICEN QUE ACABAREMOS PENÚLTIMOS ANÁLISIS DE LA BBC DE LAS OCHO FECHAS QUE FALTAN EN LAS ELIMINATORIAS.";"publimetro";"2016-10-13";"1"
"'Timochenko' dispuesto a correcciones";"Líder de las FARC responde al triunfo del ‘No’ sobre acuerdo de paz en Colombia";"NA";"'TIMOCHENKO' DISPUESTO A CORRECCIONES LÍDER DE LAS FARC RESPONDE AL TRIUNFO DEL ‘NO’ SOBRE ACUERDO DE PAZ EN COLOMBIA.";"publimetro";"2016-10-13";"1"
"Iniciativa legislativa para despenalizar el aborto";"Presentada por la bancada del Frente Amplio, respaldada por organizaciones de mujeres";"NA";"PROYECTO PARA DESPENALIZAR EL ABORTO INICIATIVA LEGISLATIVA PRESENTADA POR LA BANCADA DEL FRENTE AMPLIO INGRESÓ A TRÁMITE DOCUMENTARIO EN EL CONGRESO. ORGANIZACIONES DE MUJERES RESPALDAN LA PROPUESTA.";"publimetro";"2016-10-13";"1"
"El tiempo con tus hijos es lo más valioso";"Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima";"NA";"“EL TIEMPO CON TUS HIJOS ES LO MÁS VALIOSO” JENNIFER GARNER PROTAGONIZA JUNTO A KEVIN SPACEY MI PAPÁ ES UN GATO, COMEDIA SOBRE LA PATERNIDAD QUE HOY SE ESTRENAN EN LIMA.";"publimetro";"2016-10-13";"1"
"Las estadísticas dicen que acabaremos penúltimos";"Análisis de la BBC de las ocho fechas que faltan en las Eliminatorias";"NA";"LAS ESTADÍSTICAS DICEN QUE ACABAREMOS PENÚLTIMOS ANÁLISIS DE LA BBC DE LAS OCHO FECHAS QUE FALTAN EN LAS ELIMINATORIAS.";"publimetro";"2016-10-13";"1"
"'Timochenko' dispuesto a correcciones";"Líder de las FARC responde al triunfo del ‘No’ sobre acuerdo de paz en Colombia";"NA";"'TIMOCHENKO' DISPUESTO A CORRECCIONES LÍDER DE LAS FARC RESPONDE AL TRIUNFO DEL ‘NO’ SOBRE ACUERDO DE PAZ EN COLOMBIA.";"publimetro";"2016-10-13";"1"
"Iniciativa legislativa para despenalizar el aborto";"Presentada por la bancada del Frente Amplio, respaldada por organizaciones de mujeres";"NA";"PROYECTO PARA DESPENALIZAR EL ABORTO INICIATIVA LEGISLATIVA PRESENTADA POR LA BANCADA DEL FRENTE AMPLIO INGRESÓ A TRÁMITE DOCUMENTARIO EN EL CONGRESO. ORGANIZACIONES DE MUJERES RESPALDAN LA PROPUESTA.";"publimetro";"2016-10-13";"1"
"El tiempo con tus hijos es lo más valioso";"Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima";"NA";"“EL TIEMPO CON TUS HIJOS ES LO MÁS VALIOSO” JENNIFER GARNER PROTAGONIZA JUNTO A KEVIN SPACEY MI PAPÁ ES UN GATO, COMEDIA SOBRE LA PATERNIDAD QUE HOY SE ESTRENAN EN LIMA.";"publimetro";"2016-10-13";"1"
