"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Riesgo de que 60% de afiliados a ONP no tengan pensión";"NA";"NA";"El Fondo Monetario advierte sobre el riesgo de que cerca del 50% de los que contribuyeron en los últimos cinco años al Sistema Nacional de Pensiones no alcancen los 20 años de aporte y por tanto se quedarían sin pensión. El FMI proyecta que en los próximos años los afiliados al Sistema Privado de Pensiones se jubilarán con un tercio de su sueldo como trabajadores activos. Considera crucial estimar los niveles de pensiones futuros para realizar reformas y que los trabajadores tomen decisiones bien informadas. El FMI recomienda una tasa de aporte a las AFP del 14%, en vez de la actual de 10%.";"gestion";"2019-07-12";"1"
"Población participará en monitoreo ambiental de Tía María";"NA";"NA";"La población podrá participar en el monitoreo ambiental de Tía María y presidir el comité para fiscalizar y controlar el desarrollo de la inversión minera que hará Southern. Se contemplan varias mesas de diálogo según las preocupaciones que genera el proyecto, dijo el ministro de Energía y Minas, Francisco Ísmodes.";"gestion";"2019-07-12";"1"
"El precio mayorista del pollo cae, pero no a igual ritmo en mercados";"NA";"NA";"En los últimos siete días del mes, el margen comercial entre el precio minorista y mayorista fue de 101%, según el Minagri. ";"gestion";"2019-07-12";"1"
"Celebridades que más ganan";"NA";"NA";"Taylor Swift (29 años), cantante, $185 millones; Kylie Jenner (21 años), empresaria, $170 millones; Kanye West (42 años), productor, $150 millones; Lionel Messi (32 años), futbolista, $127 millones; Ed Sheeran (28 años), cantante, $110 millones. Fuente: Forbes.";"gestion";"2019-07-12";"1"
"Alquileres son altos en Surco";"NA";"NA";"Subirá en 50% el stock de metros cuadrados de oficinas coworking. ";"gestion";"2019-07-12";"1"
"Bajará tasa de interés? BCR ve probable que demanda interna crezca menos de lo previsto";"NA";"NA";"El Banco Central de Reserva (BCR) considera probable que la demanda interna crezca menos de lo previsto.";"gestion";"2019-07-12";"1"
"Riesgo de que 60% de afiliados a ONP no tengan pensión";"NA";"NA";"El Fondo Monetario advierte sobre el riesgo de que cerca del 50% de los que contribuyeron en los últimos cinco años al Sistema Nacional de Pensiones no alcancen los 20 años de aporte y por tanto se quedarían sin pensión. El FMI proyecta que en los próximos años los afiliados al Sistema Privado de Pensiones se jubilarán con un tercio de su sueldo como trabajadores activos. Considera crucial estimar los niveles de pensiones futuros para realizar reformas y que los trabajadores tomen decisiones bien informadas. El FMI recomienda una tasa de aporte a las AFP del 14%, en vez de la actual de 10%.";"gestion";"2019-07-12";"1"
"Población participará en monitoreo ambiental de Tía María";"NA";"NA";"La población podrá participar en el monitoreo ambiental de Tía María y presidir el comité para fiscalizar y controlar el desarrollo de la inversión minera que hará Southern. Se contemplan varias mesas de diálogo según las preocupaciones que genera el proyecto, dijo el ministro de Energía y Minas, Francisco Ísmodes.";"gestion";"2019-07-12";"1"
"El precio mayorista del pollo cae, pero no a igual ritmo en mercados";"NA";"NA";"En los últimos siete días del mes, el margen comercial entre el precio minorista y mayorista fue de 101%, según el Minagri. ";"gestion";"2019-07-12";"1"
"Celebridades que más ganan";"NA";"NA";"Taylor Swift (29 años), cantante, $185 millones; Kylie Jenner (21 años), empresaria, $170 millones; Kanye West (42 años), productor, $150 millones; Lionel Messi (32 años), futbolista, $127 millones; Ed Sheeran (28 años), cantante, $110 millones. Fuente: Forbes.";"gestion";"2019-07-12";"1"
"Alquileres son altos en Surco";"NA";"NA";"Subirá en 50% el stock de metros cuadrados de oficinas coworking. ";"gestion";"2019-07-12";"1"
"Bajará tasa de interés? BCR ve probable que demanda interna crezca menos de lo previsto";"NA";"NA";"El Banco Central de Reserva (BCR) considera probable que la demanda interna crezca menos de lo previsto.";"gestion";"2019-07-12";"1"
