"headline","subheadline","author","content","newspaper","date","El loco del martillo","NA","La Seño María","Hoy en día, uno pensaría que...  ","Headline","Subheadline","Author","Content"
"En rápido operativo, policía atrapó a balazos y a un sospechoso","Sospechoso asaltó a joven en hotel de Lince","","Mientras manejaba su auto en La Victoria, robalíquidos. María, las redes sociales son importantes para contrarrestar personas, unirlas en el instante mismo en el que ocurren, pero esas mismas redes son también peligrosísimas si no se saben usar, pues son utilizadas por toda clase de delincuentes, comenzando por los piratas informáticos que roban información confidencial, estafadores, asaltantes y violadores. Hay enfermos que se pasan varias horas al día buscando víctimas. Los niños y adolescentes son los preferidos de estos sujetos, que fingen ser amables y se muestran cautivadores. La policía acabó de capturar a un individuo de 40 años, que se había metido a un hotel de Lince con una chica de 19. La joven lo acusó de haberla contactado hace tres años a través del Facebook, haciéndose pasar por un promotor de eventos que la convertiría en modelo. La joven contó que aquella vez, cuando tenía 16 años, el tipo la citó en un hotel con el pretexto de hacerle fotos, 16. Tiempo después la ubicó y, tras amenazarla con publicar en YouTube las fotos íntimas que le hizo, la obligó a ir al hotel de Lince, donde finalmente fue arrestado. Los agentes de la Policía señalan que tenía una Laptop y dos USB con abundantes fotografías de ella desnuda. Creen que también fueron víctimas de sus extorsiones. Pero casos como éstos no salen en los noticieros casi todos los días y ni así, los adolescentes tienen cuidado. Si un extraño les establece conversación por el Facebook, no se hacen problemas y acceden al diálogo. No piensan que quien conversa con ellos puede ser un asesino, un enfermo sexual, un violador que se hace pasar por otra persona, como alguien de su edad y hasta una mujer. Son bastante hábiles para engañar, pues utilizan fotos y hasta videos de otras personas. El año pasado, un sujeto se hacía pasar por Justin Bieber y, taba, ponía un video del cantante, como si estuviera chateando. Además, glés, recurrían a los diccionarios de ese idioma que hay en línea. Muchas fueron engañadas. Los padres deben hablar muy seriamente con los hijos y hacerles entender que el uso equivocado del Facebook y otras redes sociales puede provocar su desgracia. A los hijos hay que ponerles límites en el uso de Internet y la computadora no debe estar en el cuarto de ellos, sino en un área común como la sala o pasadizo, a la vista de todos. Los especialistas recomiendan más deportes y menos redes sociales.","trome","2014/01/15","","","","","","","",""
"Invitan al tributo a 'Los Morochucos'","Invitamos a todos los amantes de la música criolla","","Al Centro Social Cultural Musical Breña, el jueves 16 de enero a las 8:00 de la noche. Desfilarán artistas de la talla de Carlos Ayala, Jorge Figueroa y Alonso Salas, entre otros. —— Etromepe Fumones dentro de carro abandonado En la cuadra 13 de Juan del Mar y Bernedo (Chacra Ríos Sur, Cerca de Lima) existe un carro viejo que está arrinconado en un jardín vecino, lo malo es que se ha convertido en un nido de fumones por la noche y debajo de él hay ratas. Los dueños del automóvil se niegan a moverlo. Jorge Figueroa — El cantor del pueblo Todo Pueblo — todo pueblo&hotmail.com","trome","2014/01/15","","","","","","","",""
"El Tuit del día","Papa Francisco ©Pontifex_es","","DemossiempregraciasaDios, sobre todo por su paciencia y misericordia. N Al AW, RME EE el GnG EEF 10DELA MArA Eranquéatejaltoque) Invitan al tributo a 'Los Morochucos' ©e© Invitamos a todos los amantes de la música criolla al tributo que se le rendirá al trío 'Los Morochucos', en el Centro Social Cultural Musical Breña, el jueves 16 de enero a las 8:00 de la noche. Desfilarán artistas de la talla de Carlos Ayala, Jorge Figueroa y Alonso Salas, entre otros. —— Etromepe Fumones dentro de carro abandonado En la cuadra 13 de Juan del Mar y Bernedo (Chacra Ríos Sur, Cerca de Lima) existe un carro viejo que está arrinconado en un jardín vecino, lo malo es que se ha convertido en un nido de fumones por la noche y debajo de él hay ratas. Los dueños del automóvil se niegan a moverlo. Jorge Figueroa — El cantor del pueblo Todo Pueblo — todo pueblo&hotmail.com","trome","2014/01/15","","","","","","","",""
"Oración a San Judas Tadeo","Abogado de los casos difíciles y desesperados","","Reza 8 Padre Nuestros y 9 Ave María durante 9 días, pide 3 deseos al final de rezar con la siguiente plegaria, San Judas Tadeo, San lo Mseriordoso, haz que mis peticiones se comiencen en gozos. On glorioso San Judas Tadeo yo sé que la intercediendo or mi, el migo me hará caso. A Noveno día publica este mismo y se cumplirá con fe y amor aunque no lo creas. Tu Devota: R.C.M. GRACIAS SAN JUDAS POR TODO Y POR INTERCEDER ANTE DIOS. C.EL.V. Oración Milagrosa — en . os Padre, hijo y Espíritu Santo, un solo Dios, con la misma Necesidad es ENCUENTRA UN AUTO A TU MEDIDA Y AL OCURRENTE","trome","2014/01/15","","","","","","","",""
"TECNICO(A) I","Únete al BCP","","Trome men ( ma s ma e e ma e ee a in ie d Eogra ls ns mo somo semn s ie Vt ma trl mn trv n e n eme mem ee mt n neiv sr s en r t ra mr cci mem gjimecos s o meecatas » ee y eme ee ta s posenrains e m To a tN emn ur a eemia en entatn eme ir nr f n 20 d ds no 60 mo n p e Ot ie es v m es ta em e n e mo ee e em g ta o t óón Mem 10 E es be d v eg e Comes Elegidos como la mejor opción para trabajar en el país DOMINGO ea TECNICO(A) Ememe Gm en un n Remi r ir sr feriac n a men m n e ne eni viemr 0 inv tr ts un e nts en em men e s Ag RM AEO men py t ee ns e om es mence e rs ii emas Cuimit mem 00 bo ts b ma — m n m ie l en S ui E ML M ) fa et m mi s en es o 1m e m i ps © sv ss me tiom y un es no voa e ma e emn e o ds mn o mi fiemo lemcas n en = emermer nmi ee id i Tomernacina e emn v e e mt tioms a in t na voo e ma in eom emn o en A ta en ESNRN1 Mem 0 ma mr na es e v emn es nñ en E! Rom im n r n om mm rlt p n s f a e mem m iiv eme ma E es ns = ea a tinecieena E ie tmres e e men la om en ei no Gmi e mme ió it ma eo nen yy ón eme nay mr a ps e men e l A me Ev mem vy ie t la ma — ea oe mn ll n S em et u CONTADOR(A) emi ( G ee mi v ca na ss d nn ascamciunai e e e Prt E ón ttt eom (e mecinenena men e es es FESC G me r em ts e tana Rem iii em e mmm men Ro” es e i men mni oe ee ne ne cieraa ts eemona ( e men eni e mev ns he me in st onmcs nen ne : a eo eán emn ¡y mt n on memy ei g e eevars emn y nen on e e e. men Rs mm ie e ds 0 EL BCP ha sido reconocido como el Mejor Banco para Trabajar en el país y con el tercer puesto en el ranking de las 10 mejores empresas para trabajar en el Perú*. Agradecemos este nuevo reconocimiento que nos motiva a seguir trabajando por el país. ooo ro a a e a o a ie a en ra tt e ara in o ea nei eni > BCP Y ; SE BUSCA VISLADOR y rRAtA DE Ptaso DE MEnGRES n£ enan ”Miehar Caia Roras” men ir E Mitacoo s rr FAMILIA ACUSA A MOTOTAXISTA Secuestran a estudiante Hace cinco días, la adolescente KarenC.Ch.(16) salió para estu cuestrada por un mo totaxista, 11 años ma a PNP doporuna combi, cuyo chofersedespistóporir a excesiva velocidad y habría estado ebrio, en Chilca. La víctima quedó gravemente herida. Sucuñada RosarioCuya contó: ”El accidente fue entre las avenidas may Arequipa. biB1—786era conducidaporIsidroAsto, quien huyó, pero luego fue intervenido y liberado”(J. Yucra)","trome","2014/01/15","","","","","","","",""
"La pirámide entregaba a sus accionistas altos intereses por sus depósitos en dólares","","","Fueron detectives de Estafas y funcionarios de la Superintendencia de Banca y Seguros (SBS), quienes detectaron que la empresa World Capital Market777 captaba a sus clientes ofreciéndoles suculentos intereses por el dinero que depositaban en la cuenta de una empresa internacional, a modo de inversión. Ayer los agentes allanaron el local delafinanciera, en la cuadra 4 de la avenida España, que se lo alquilaba una iglesia evangélica, a pocos metros de la base de la Región Policial Lima y del edificio. Raúl Pucuhuara, abogado de la SBS, manifestó que esta empresa se constituyó en noviembre del 2013 con un capital de 50 mil soles, teniendo como accionistas al saías Lozano Pérez y Carlos Quispe Llanos. El funcionario agregó que esta empresa usaba la modalidad de 'la pirámide', que consiste en que, del dinero que depositan miles de accionistas, una parte va a pagar a los más antiguos y el resto va al bolsillo de los dueños de la empresa.","trome","2014/01/15","","","","","","","",""
"En Indecopi","","Carla Molina, representante de la Dirección de Protección de esta ciudad","Recordó a los padres de familia que el cobro de la Apaía está permitido, pero que no es posible condicionar la matrícula del alumno al pago de dicha cuota. Carla Molina, representante de la Dirección de Protección de esta ciudad, dijo que los colegios privados están obligados a informar por escrito a los padres las condiciones económicas. Si tiene una denuncia, al 224—77776 44040.","trome","2014/01/15","","","","","","","",""
"Condecoran a Mario Testino en su tierra","","","El fotógrafo Mario Testino fue condecorado ayer como Oficial de la Muy Excelente Orden del Imperio Británico (OBE), por sus servicios a la fotografía en agosto del 2013 y se lo otorgó la Reina Isabel II. El blogger francés 'LeCarrete' señala que el hijo de Hollande nacerá en junio. Además, crece el rumor de que Trierweiler, quien permanece en un hospital en cura de sueño debido al escándalo, no será más la primera dama. La prensa difundió fotos de Hollande en moto, yendo a la casa de Gayet.","trome","2014/01/15","","","","","","","",""
"El mundo se conmueve con la imagen de Sirio Abu Rateb levantando en sus hombros a su hijo Rateb, captado vivo de los escombros de su casa, destruida por un bombardeo en Damasco, denunciado por el presidente Bashar al-Asad. El bombardeo ocurrió hace unos días y el bebé solo tenía 27 días de nacido. Su hermana María también fue rescatada. Hoy ambas están bien de salud.","","","","trome","2014/01/15","","","","","","","",""
"El mundoseconmueve con la imagen de Sirio Abu Rateb levantando en sus hombros a su hijo Rateb, captado vivo de los escombros de su casa, destruida por un bombardeo en Damasco, denunciado por el presidente Bashar al-Asad. El bombardeo ocurrió hace unos días y el bebé solo tenía 27 días de nacido. Su hermana María también fue rescatada. Hoy ambas están bien de salud.","","","","trome","2014/01/15","","","","","","","",""
