"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Ollanta en bronca con el Congreso";"NA";"NA";"Ollanta en bronca con el Congreso";"ojo";"2015-04-01";"1"
"OTRO TRIPLE CHOQUE DE 'CHOSICANOS' Sheyla y Pavón se lucen con sus parejas";"NA";"NA";"Sheyla y Pavón se lucen con sus parejas";"ojo";"2015-04-01";"1"
"Cristo pobre: Tengan fe";"NA";"NA";"Cristo pobre: Tengan fe";"ojo";"2015-04-01";"1"
"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS";"NA";"NA";"Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima";"ojo";"2015-04-01";"1"
"Hoy Miércoles $/ 4'700,000 RESULTADOS EN WWW.TINKA.COM.PE";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
"Ollanta en bronca con el Congreso";"NA";"NA";"Ollanta en bronca con el Congreso";"ojo";"2015-04-01";"1"
"OTRO TRIPLE CHOQUE DE 'CHOSICANOS' Sheyla y Pavón se lucen con sus parejas";"NA";"NA";"Sheyla y Pavón se lucen con sus parejas";"ojo";"2015-04-01";"1"
"Cristo pobre: Tengan fe";"NA";"NA";"Cristo pobre: Tengan fe";"ojo";"2015-04-01";"1"
"MAR CALIENTE POR 'EL NIÑO' ALEJA A ESPECIES MARINAS Y PRECIOS SE DISPARAN SEMANA SANTA SIN PESCADO NI GAS";"NA";"NA";"Amas de casa protestan porque solo encuentran bonito y ojo de uva, que no están al alcance de sus bolsillos. Además, alertan que fuerte oleaje impide embarcar combustible de Pisco a Lima";"ojo";"2015-04-01";"1"
"Hoy Miércoles $/ 4'700,000 RESULTADOS EN WWW.TINKA.COM.PE";"NA";"NA";"NA";"ojo";"2015-04-01";"1"
