"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"La joven murió";"Hace 38 días fue quemada en bus";"NA";"La joven murió. Hace 38 días fue quemada en bus.";"peru21";"2018-06-02";"1"
"Bajan tarifas de teléfonos";"BUENA NOTICIA";"NA";"Bajan tarifas de teléfonos";"peru21";"2018-06-02";"1"
"Toromocha va, pero con conflicto";"EXPANSIÓN DE PROYECTO";"NA";"Toromocha va, pero con conflicto";"peru21";"2018-06-02";"1"
"Lima al revés";"Corredores viales de mal en peor";"NA";"Lima al revés. Corredores viales de mal en peor";"peru21";"2018-06-02";"1"
"Eyvi Águeda no resistió salvaje ataque de acosador";"Carlos Hualpa";"NA";"Eyvi Águeda no resistió salvaje ataque de acosador Carlos Hualpa";"peru21";"2018-06-02";"1"
"headline";"subheadline";"author";"content  ";"peru21";"2018-06-02";"1"
"La joven murió";"Hace 38 días fue quemada en bus";"NA";"La joven murió. Hace 38 días fue quemada en bus.  ";"peru21";"2018-06-02";"1"
"Bajan tarifas de teléfonos";"BUENA NOTICIA";"NA";"Bajan tarifas de teléfonos  ";"peru21";"2018-06-02";"1"
"Toromocha va, pero con conflicto";"EXPANSIÓN DE PROYECTO";"NA";"Toromocha va, pero con conflicto  ";"peru21";"2018-06-02";"1"
"Lima al revés";"Corredores viales de mal en peor";"NA";"Lima al revés. Corredores viales de mal en peor  ";"peru21";"2018-06-02";"1"
"Eyvi Águeda no resistió salvaje ataque de acosador";"Carlos Hualpa";"NA";"Eyvi Águeda no resistió salvaje ataque de acosador Carlos Hualpa";"peru21";"2018-06-02";"1"
