"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Fixture del mundial Rusia 2018";"NA";"NA";"Este lunes reclame gratis fixture del mundial Rusia 2018";"peru21";"2018-06-02";"1"
"Para 2020 saldrán libres 1976 presos por agresión sexual";"NA";"NA";"La joven muña hace 38 días fue quemada en bus y para 2020 saldrán libres 1976 presos por agresión sexual";"peru21";"2018-06-02";"1"
"Bajan tarifas de teléfonos";"NA";"NA";"Bajan tarifas de teléfonos";"peru21";"2018-06-02";"1"
"Toromocho va, pero con conflicto";"NA";"NA";"Toromocho va, pero con conflicto";"peru21";"2018-06-02";"1"
"Corredores viales de mal en peor";"NA";"NA";"Corredores viales de mal en peor";"peru21";"2018-06-02";"1"
"No duele a todos";"Enviagreda no resistió salvaje ataque de acosador Carlos Hualpa";"NA";"No duele a todos Enviagreda no resistió salvaje ataque de acosador Carlos Hualpa";"peru21";"2018-06-02";"1"
"Fixture del mundial Rusia 2018";"NA";"NA";"Este lunes reclame gratis fixture del mundial Rusia 2018";"peru21";"2018-06-02";"1"
"Para 2020 saldrán libres 1976 presos por agresión sexual";"NA";"NA";"La joven muña hace 38 días fue quemada en bus y para 2020 saldrán libres 1976 presos por agresión sexual";"peru21";"2018-06-02";"1"
"Bajan tarifas de teléfonos";"NA";"NA";"Bajan tarifas de teléfonos";"peru21";"2018-06-02";"1"
"Toromocho va, pero con conflicto";"NA";"NA";"Toromocho va, pero con conflicto";"peru21";"2018-06-02";"1"
"Corredores viales de mal en peor";"NA";"NA";"Corredores viales de mal en peor";"peru21";"2018-06-02";"1"
"No duele a todos";"Enviagreda no resistió salvaje ataque de acosador Carlos Hualpa";"NA";"No duele a todos Enviagreda no resistió salvaje ataque de acosador Carlos Hualpa";"peru21";"2018-06-02";"1"
