"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Las estadísticas dicen que acabaremos penúltimos";"Análisis de la BBC de las ocho fechas que faltan en las Eliminatorias";"NA";"LAS ESTADÍSTICAS DICEN QUE ACABAREMOS PENÚLTIMOS ANÁLISIS DE LA BBC DE LAS OCHO FECHAS QUE FALTAN EN LAS ELIMINATORIAS. PÁG. 10";"publimetro";"2016-10-13";"1"
"En agenda proyecto para despenalizar el aborto";"NA";"NA";"En agenda proyecto para despenalizar el aborto En casos de violación, inseminación no consentida o malformación congénita. Iniciativa legislativa presentada por la bancada del Frente Amplio ingresó a trámite documentario en el Congreso. Será revisada en comisiones. Organizaciones de mujeres respaldan la propuesta. PÁGS. 4 Y 16";"publimetro";"2016-10-13";"1"
"Vida animal: Naturaleza reciclada";"NA";"NA";"Naturaleza reciclada Usando piezas de autos desechadas y otros materiales, un artista portugués crea llamativas esculturas. PÁG. 7";"publimetro";"2016-10-13";"1"
"Inie prepara el Censo Nacional 2017";"NA";"NA";"Inie prepara el Censo Nacional 2017 Funcionarios debidamente identificados verifican número de personas por hogar. PÁG. 2";"publimetro";"2016-10-13";"1"
"¡Aló! Te tengo una buena noticia";"NA";"NA";"Operadoras de telefonía sacan planes especiales para discapacitados. PÁG. 6";"publimetro";"2016-10-13";"1"
"El tiempo con tus hijos es lo más valioso";"Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima";"NA";"“El tiempo con tus hijos es lo más valioso” Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima. PÁG. 12";"publimetro";"2016-10-13";"1"
"Las estadísticas dicen que acabaremos penúltimos";"Análisis de la BBC de las ocho fechas que faltan en las Eliminatorias";"NA";"LAS ESTADÍSTICAS DICEN QUE ACABAREMOS PENÚLTIMOS ANÁLISIS DE LA BBC DE LAS OCHO FECHAS QUE FALTAN EN LAS ELIMINATORIAS. PÁG. 10";"publimetro";"2016-10-13";"1"
"En agenda proyecto para despenalizar el aborto";"NA";"NA";"En agenda proyecto para despenalizar el aborto En casos de violación, inseminación no consentida o malformación congénita. Iniciativa legislativa presentada por la bancada del Frente Amplio ingresó a trámite documentario en el Congreso. Será revisada en comisiones. Organizaciones de mujeres respaldan la propuesta. PÁGS. 4 Y 16";"publimetro";"2016-10-13";"1"
"Vida animal: Naturaleza reciclada";"NA";"NA";"Naturaleza reciclada Usando piezas de autos desechadas y otros materiales, un artista portugués crea llamativas esculturas. PÁG. 7";"publimetro";"2016-10-13";"1"
"Inie prepara el Censo Nacional 2017";"NA";"NA";"Inie prepara el Censo Nacional 2017 Funcionarios debidamente identificados verifican número de personas por hogar. PÁG. 2";"publimetro";"2016-10-13";"1"
"¡Aló! Te tengo una buena noticia";"NA";"NA";"Operadoras de telefonía sacan planes especiales para discapacitados. PÁG. 6";"publimetro";"2016-10-13";"1"
"El tiempo con tus hijos es lo más valioso";"Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima";"NA";"“El tiempo con tus hijos es lo más valioso” Jennifer Garner protagoniza junto a Kevin Spacey Mi papá es un gato, comedia sobre la paternidad que hoy se estrena en Lima. PÁG. 12";"publimetro";"2016-10-13";"1"
