"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Devastador Huracán Se Dirige Al Estado De Georgia";"NA";"NA";"El impacto de Michael en Florida ha dejado inundaciones y casas destruidas.";"publimetro";"2018-10-11";"1"
"García Aún No Define Su Once Titular";"Desde Miami, el DT de la Selección Indicó Que Todos Los Jugadores Están Aptos Para El Amistoso Con Chile";"NA";"El entrenador de la selección peruana aún no ha decidido su alineación titular para el próximo partido amistoso contra Chile.";"publimetro";"2018-10-11";"1"
"Detención Preliminar Para Keiko Fujimori";"Lideresa De Fuerza Popular Estará Privada De Su Libertad Por Un Plazo De Diez Días. Orden Del Juez Richard Concepción Carhuancho Indica Que La Excandidata Encabeza Una 'Organización Criminal' Dentro De Su Partido.";"NA";"Keiko Fujimori, líder de Fuerza Popular, ha sido detenida preliminarmente por un plazo de diez días debido a su presunta participación en una organización criminal dentro de su partido, según el juez Richard Concepción Carhuancho.";"publimetro";"2018-10-11";"1"
"Devastador Huracán Se Dirige Al Estado De Georgia";"NA";"NA";"El impacto de Michael en Florida ha dejado inundaciones y casas destruidas.";"publimetro";"2018-10-11";"1"
"García Aún No Define Su Once Titular";"Desde Miami, el DT de la Selección Indicó Que Todos Los Jugadores Están Aptos Para El Amistoso Con Chile";"NA";"El entrenador de la selección peruana aún no ha decidido su alineación titular para el próximo partido amistoso contra Chile.";"publimetro";"2018-10-11";"1"
"Detención Preliminar Para Keiko Fujimori";"Lideresa De Fuerza Popular Estará Privada De Su Libertad Por Un Plazo De Diez Días. Orden Del Juez Richard Concepción Carhuancho Indica Que La Excandidata Encabeza Una 'Organización Criminal' Dentro De Su Partido.";"NA";"Keiko Fujimori, líder de Fuerza Popular, ha sido detenida preliminarmente por un plazo de diez días debido a su presunta participación en una organización criminal dentro de su partido, según el juez Richard Concepción Carhuancho.";"publimetro";"2018-10-11";"1"
"Devastador Huracán Se Dirige Al Estado De Georgia";"NA";"NA";"El impacto de Michael en Florida ha dejado inundaciones y casas destruidas.";"publimetro";"2018-10-11";"1"
"García Aún No Define Su Once Titular";"Desde Miami, el DT de la Selección Indicó Que Todos Los Jugadores Están Aptos Para El Amistoso Con Chile";"NA";"El entrenador de la selección peruana aún no ha decidido su alineación titular para el próximo partido amistoso contra Chile.";"publimetro";"2018-10-11";"1"
"Detención Preliminar Para Keiko Fujimori";"Lideresa De Fuerza Popular Estará Privada De Su Libertad Por Un Plazo De Diez Días. Orden Del Juez Richard Concepción Carhuancho Indica Que La Excandidata Encabeza Una 'Organización Criminal' Dentro De Su Partido.";"NA";"Keiko Fujimori, líder de Fuerza Popular, ha sido detenida preliminarmente por un plazo de diez días debido a su presunta participación en una organización criminal dentro de su partido, según el juez Richard Concepción Carhuancho.";"publimetro";"2018-10-11";"1"
"Devastador Huracán Se Dirige Al Estado De Georgia";"NA";"NA";"El impacto de Michael en Florida ha dejado inundaciones y casas destruidas.";"publimetro";"2018-10-11";"1"
"García Aún No Define Su Once Titular";"Desde Miami, el DT de la Selección Indicó Que Todos Los Jugadores Están Aptos Para El Amistoso Con Chile";"NA";"El entrenador de la selección peruana aún no ha decidido su alineación titular para el próximo partido amistoso contra Chile.";"publimetro";"2018-10-11";"1"
"Detención Preliminar Para Keiko Fujimori";"Lideresa De Fuerza Popular Estará Privada De Su Libertad Por Un Plazo De Diez Días. Orden Del Juez Richard Concepción Carhuancho Indica Que La Excandidata Encabeza Una 'Organización Criminal' Dentro De Su Partido.";"NA";"Keiko Fujimori, líder de Fuerza Popular, ha sido detenida preliminarmente por un plazo de diez días debido a su presunta participación en una organización criminal dentro de su partido, según el juez Richard Concepción Carhuancho.";"publimetro";"2018-10-11";"1"
