"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Se vienen más cuentas congeladas en regiones";"Humala considera que además de Ancash se deben intervenir otros gobiernos regionales";"NA";"El Gobierno plantea cambiar la legislación para ejercer mayor control político a los gobiernos regionales. Considera que el reto de la lucha antidrogas es entrar al Vraem.";"gestion";"2014-06-02";"1"
"Encuesta Nacional Urbana de GFK revela percepción sobre crecimiento económico";"NA";"NA";"En norte del país se siente más que se frenó crecimiento El 53% del nivel AB considera que se crece pero más lento.";"gestion";"2014-06-02";"1"
"Quedan tres postores para Gasoducto del Sur";"Hasta el 20 de junio otras empresas podrán integrarse a consorcios";"NA";"NA";"gestion";"2014-06-02";"1"
"Sindicatos ganan batalla en el TC";"Sentencia establece que arbitraje se obliga a respetar negociación colectiva";"NA";"NA";"gestion";"2014-06-02";"1"
"Alistan proyecto para destrabar las inversiones";"Se evalúan cambios en la Ley de Radio y Televisión";"NA";"Consumidores están cambiando hábitos por cautela. Ya se nota desaceleración, dice presidente de Cámara de Comercio de Lima.";"gestion";"2014-06-02";"1"
"DirecTV crecerá 25% en clientes por Mundial Brasil 2014";"Espera tener más de 300 mil suscriptores";"NA";"NA";"gestion";"2014-06-02";"1"
"Emitirán bonos para salvar al Línea Lima";"Prometo a Blanquiazul plantear emisión a nombre del club por US$ 4 mls";"NA";"NA";"gestion";"2014-06-02";"1"
"Se vienen más cuentas congeladas en regiones";"Humala considera que además de Ancash se deben intervenir otros gobiernos regionales";"NA";"El Gobierno plantea cambiar la legislación para ejercer mayor control político a los gobiernos regionales. Considera que el reto de la lucha antidrogas es entrar al Vraem.";"gestion";"2014-06-02";"1"
"Encuesta Nacional Urbana de GFK revela percepción sobre crecimiento económico";"NA";"NA";"En norte del país se siente más que se frenó crecimiento El 53% del nivel AB considera que se crece pero más lento.";"gestion";"2014-06-02";"1"
"Quedan tres postores para Gasoducto del Sur";"Hasta el 20 de junio otras empresas podrán integrarse a consorcios";"NA";"NA";"gestion";"2014-06-02";"1"
"Sindicatos ganan batalla en el TC";"Sentencia establece que arbitraje se obliga a respetar negociación colectiva";"NA";"NA";"gestion";"2014-06-02";"1"
"Alistan proyecto para destrabar las inversiones";"Se evalúan cambios en la Ley de Radio y Televisión";"NA";"Consumidores están cambiando hábitos por cautela. Ya se nota desaceleración, dice presidente de Cámara de Comercio de Lima.";"gestion";"2014-06-02";"1"
"DirecTV crecerá 25% en clientes por Mundial Brasil 2014";"Espera tener más de 300 mil suscriptores";"NA";"NA";"gestion";"2014-06-02";"1"
"Emitirán bonos para salvar al Línea Lima";"Prometo a Blanquiazul plantear emisión a nombre del club por US$ 4 mls";"NA";"NA";"gestion";"2014-06-02";"1"
