"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Riesgo de que 60% de afiliados a ONP no tengan pensión";"NA";"NA";"FMI advierte riesgo de que 60% de afiliados a ONP no tengan pensión. Informe proyecta que cerca del 50% de los que contribuyeron en últimos cinco años al Sistema Nacional de Pensiones no alcanzarían los 20 años de aporte y por tanto se quedarían sin pensión.";"gestion";"2019-07-12";"1"
"Opiniones sobre cláusulas gobiernales";"NA";"BOLANDO ABELLANO";"A la gran población no le preocupan ‘los cuellos blancos’, sino si su quiosco vende. La gente en su mayoría dice que las cláusulas gobiernales son una pérdida. Sin embargo, dice que no es cierto. Hay la clase que trabaja para mantener lucro y no para el bienestar social.";"gestion";"2019-07-12";"1"
"Viviendas de 36 metros cuadrados";"NA";"NA";"Ya ofrecen viviendas de 36 metros cuadrados.";"gestion";"2019-07-12";"1"
"Población participará en monitoreo ambiental de Tía María";"NA";"NA";"Población participará en monitoreo ambiental de Tía María. También podrán participar el comité para fiscalizar y controlar el desarrollo de la inversión minera que hará Sanborn.";"gestion";"2019-07-12";"1"
"Cae el precio mayorista del pollo, pero no a igual ritmo en mercados";"NA";"NA";"Cae el precio mayorista del pollo, pero no a igual ritmo en mercados. La baja del precio del pollo, el aumento del costo de vehículos en la zona ha provocado que el precio de este sea muy bajo.";"gestion";"2019-07-12";"1"
"Riesgo de que 60% de afiliados a ONP no tengan pensión";"NA";"NA";"FMI advierte riesgo de que 60% de afiliados a ONP no tengan pensión. Informe proyecta que cerca del 50% de los que contribuyeron en últimos cinco años al Sistema Nacional de Pensiones no alcanzarían los 20 años de aporte y por tanto se quedarían sin pensión.";"gestion";"2019-07-12";"1"
"Opiniones sobre cláusulas gobiernales";"NA";"BOLANDO ABELLANO";"A la gran población no le preocupan ‘los cuellos blancos’, sino si su quiosco vende. La gente en su mayoría dice que las cláusulas gobiernales son una pérdida. Sin embargo, dice que no es cierto. Hay la clase que trabaja para mantener lucro y no para el bienestar social.";"gestion";"2019-07-12";"1"
"Viviendas de 36 metros cuadrados";"NA";"NA";"Ya ofrecen viviendas de 36 metros cuadrados.";"gestion";"2019-07-12";"1"
"Población participará en monitoreo ambiental de Tía María";"NA";"NA";"Población participará en monitoreo ambiental de Tía María. También podrán participar el comité para fiscalizar y controlar el desarrollo de la inversión minera que hará Sanborn.";"gestion";"2019-07-12";"1"
"Cae el precio mayorista del pollo, pero no a igual ritmo en mercados";"NA";"NA";"Cae el precio mayorista del pollo, pero no a igual ritmo en mercados. La baja del precio del pollo, el aumento del costo de vehículos en la zona ha provocado que el precio de este sea muy bajo.";"gestion";"2019-07-12";"1"
