"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El loco del martillo";"NA";"La Seño María";"Hoy en día, uno pensaría que...";"trome";"2021-03-02";"2"
"Contento por fin de cuarentena";"Habla Trome";"Ismael Lazo, Vecino de San Luis";"Estoy feliz porque...";"trome";"2021-03-02";"2"
"Loco del Martillo: Asesinato en Cuarentena";"NA";"Trome";"El periodista Gary Díaz relata el asesinato cometido por Renzo Martillol, apodado 'el loco del martillo', quien atacó a su exnovia Silvana Vargas. El crimen ocurrió en medio de la cuarentena estricta y ha conmocionado al país.";"trome";"2021-03-02";"2"
"El Loco del Martillo: Detalles del Crimen";"NA";"Trome";"Renzo Martillol, conocido como 'el loco del martillo', cometió un asesinato en su exnovia Silvana Vargas. El ataque ocurrió durante la cuarentena estricta y ha causado conmoción nacional.";"trome";"2021-03-02";"2"
"Silvana Vargas: Trágico Final";"NA";"Trome";"La joven Silvana Vargas fue víctima de un brutal asesinato a manos de su exnovio Renzo Martillol, apodado 'el loco del martillo'. El crimen ha conmocionado al país y se investiga el motivo detrás del ataque.";"trome";"2021-03-02";"2"
"Renzo Martillol: Detrás del Apodo";"NA";"Trome";"Renzo Martillol, conocido como 'el loco del martillo', cometió un asesinato en su exnovia Silvana Vargas. El crimen ha conmocionado al país y se investiga el motivo detrás de su comportamiento violento.";"trome";"2021-03-02";"2"
"Conmoción Nacional: Asesinato Durante Cuarentena";"NA";"Trome";"El asesinato de Silvana Vargas a manos de su exnovio Renzo Martillol, apodado 'el loco del martillo', ha conmocionado al país. El crimen ocurrió durante la cuarentena estricta y se investigan los motivos detrás del ataque.";"trome";"2021-03-02";"2"
"Silvana Vargas: Un Recuerdo Inolvidable";"NA";"Trome";"La joven Silvana Vargas fue víctima de un brutal asesinato a manos de su exnovio Renzo Martillol, apodado 'el loco del martillo'. Su muerte ha conmocionado al país y se investiga el motivo detrás del ataque.";"trome";"2021-03-02";"2"
"Renzo Martillol: El Loco del Martillo";"NA";"Trome";"Renzo Martillol, conocido como 'el loco del martillo', cometió un asesinato en su exnovia Silvana Vargas. El crimen ha conmocionado al país y se investiga el motivo detrás de su comportamiento violento.";"trome";"2021-03-02";"2"
"Silvana Vargas: La Tragedia de una Joven";"NA";"Trome";"La joven Silvana Vargas fue víctima de un brutal asesinato a manos de su exnovio Renzo Martillol, apodado 'el loco del martillo'. Su muerte ha conmocionado al país y se investiga el motivo detrás del ataque.";"trome";"2021-03-02";"2"
"El Loco del Martillo: Un Crimen en Cuarentena";"NA";"Trome";"Renzo Martillol, conocido como 'el loco del martillo', cometió un asesinato en su exnovia Silvana Vargas durante la cuarentena estricta. El crimen ha conmocionado al país y se investigan los motivos detrás del ataque.";"trome";"2021-03-02";"2"
"Silvana Vargas: Un Recuerdo Inolvidable";"NA";"Trome";"La joven Silvana Vargas fue víctima de un brutal asesinato a manos de su exnovio Renzo Martillol, apodado 'el loco del martillo'. Su muerte ha conmocionado al país y se investiga el motivo detrás del ataque.";"trome";"2021-03-02";"2"
"Renzo Martillol: Detrás del Apodo";"NA";"Trome";"Renzo Martillol, conocido como 'el loco del martillo', cometió un asesinato en su exnovia Silvana Vargas. El crimen ha conmocionado al país y se investiga el motivo detrás de su comportamiento violento.";"trome";"2021-03-02";"2"
"Conmoción Nacional: Asesinato Durante Cuarentena";"NA";"Trome";"El asesinato de Silvana Vargas a manos de su exnovio Renzo Martillol, apodado 'el loco del martillo', ha conmocionado al país. El crimen ocurrió durante la cuarentena estricta y se investigan los motivos detrás del ataque.";"trome";"2021-03-02";"2"
