"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El loco del martillo";"NA";"La Seño María";"Hoy en día, uno pensaría que... El caso del asesino conocido como 'el Loco del Martillo' sigue siendo un tema de discusión. Climaco Basombrio, apodado así por su modus operandi, cometió el terrible crimen hace 120 años. La historia se remonta a la noche del 25 de julio cuando atacó brutalmente a una empleada doméstica con martillazos en la cabeza. A pesar de los avances en la justicia y la medicina forense, este caso sigue siendo un ejemplo de cómo el pasado puede seguir afectando al presente.";"trome";"2021-03-02";"2"
"Contento por fin de cuarentena";"Habla Trome";"Ismael Lazo, Vecino de San Luis";"Estoy feliz porque finalmente terminó la cuarentena. Sin embargo, no puedo evitar sentirme indignado por el escándalo del rescate en el penal de Monterrico. Aunque fue una buena noticia para muchos que esperaban volver a sus vidas normales, este incidente ha dejado muchas preguntas sin respuesta. ¿Cómo es posible que un grupo de reos haya podido escapar tan fácilmente? Este caso debe ser investigado a fondo para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
"Indignado por rescate en penal";"NA";"Trome";"El escándalo del rescate en el penal de Monterrico ha dejado a muchos peruanos indignados. A pesar de la estricta cuarentena impuesta por el gobierno, este incidente muestra que aún hay mucho por mejorar en nuestro sistema penitenciario. La población espera que las autoridades tomen medidas para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
"Escándalo del rescate en penal";"NA";"Trome";"El escándalo del rescate en el penal de Monterrico ha sido uno de los temas más comentados en los medios. A pesar de la estricta cuarentena impuesta por el gobierno, este incidente muestra que aún hay mucho por mejorar en nuestro sistema penitenciario. La población espera que las autoridades tomen medidas para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
"El terrible crimen del asesino del martillo";"NA";"Trome";"Hace 120 años, Climaco Basombrio cometió un crimen atroz que aún hoy sigue siendo recordado. Apodado 'el Loco del Martillo', este hombre aterrorizó a la población con sus brutales ataques. La historia de su captura y juicio es una lección sobre cómo el sistema judicial ha evolucionado desde entonces.";"trome";"2021-03-02";"2"
"Rescate en penal de Monterrico";"NA";"Trome";"El rescate en el penal de Monterrico ha sido uno de los temas más comentados en los medios. A pesar de la estricta cuarentena impuesta por el gobierno, este incidente muestra que aún hay mucho por mejorar en nuestro sistema penitenciario. La población espera que las autoridades tomen medidas para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
"El Loco del Martillo y su legado";"NA";"Trome";"Climaco Basombrio, conocido como 'el Loco del Martillo', sigue siendo una figura controvertida en la historia criminal de Perú. Su modus operandi y los brutales crímenes que cometió han dejado una marca imborrable en la memoria colectiva. A pesar de haber sido capturado hace más de un siglo, su historia sigue siendo relevante hoy en día.";"trome";"2021-03-02";"2"
"El rescate en Monterrico: ¿Qué falló?";"NA";"Trome";"El reciente rescate en el penal de Monterrico ha dejado a muchos peruanos preguntándose qué falló. A pesar de la estricta cuarentena impuesta por el gobierno, este incidente muestra que aún hay mucho por mejorar en nuestro sistema penitenciario. La población espera que las autoridades tomen medidas para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
"El legado del Loco del Martillo";"NA";"Trome";"Climaco Basombrio, conocido como 'el Loco del Martillo', sigue siendo una figura controvertida en la historia criminal de Perú. Su modus operandi y los brutales crímenes que cometió han dejado una marca imborrable en la memoria colectiva. A pesar de haber sido capturado hace más de un siglo, su historia sigue siendo relevante hoy en día.";"trome";"2021-03-02";"2"
"El rescate en Monterrico: Un análisis";"NA";"Trome";"El reciente rescate en el penal de Monterrico ha dejado a muchos peruanos preguntándose qué falló. A pesar de la estricta cuarentena impuesta por el gobierno, este incidente muestra que aún hay mucho por mejorar en nuestro sistema penitenciario. La población espera que las autoridades tomen medidas para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
"El Loco del Martillo: Un caso sin resolver";"NA";"Trome";"Climaco Basombrio, conocido como 'el Loco del Martillo', sigue siendo una figura controvertida en la historia criminal de Perú. Su modus operandi y los brutales crímenes que cometió han dejado una marca imborrable en la memoria colectiva. A pesar de haber sido capturado hace más de un siglo, su historia sigue siendo relevante hoy en día.";"trome";"2021-03-02";"2"
"El rescate en Monterrico: Un análisis profundo";"NA";"Trome";"El reciente rescate en el penal de Monterrico ha dejado a muchos peruanos preguntándose qué falló. A pesar de la estricta cuarentena impuesta por el gobierno, este incidente muestra que aún hay mucho por mejorar en nuestro sistema penitenciario. La población espera que las autoridades tomen medidas para evitar que algo similar ocurra en el futuro.";"trome";"2021-03-02";"2"
