"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. La compra de los aviones tiene como objetivo modernizar la flota aérea de combate del país y fortalecer la defensa nacional.";"trome";"2021-03-02";"2"
"El dólar blue toca un nuevo máximo histórico";"NA";"NA";"El dólar blue alcanzó un nuevo máximo histórico en el mercado informal, cotizando a $785. La fuerte demanda de divisas y la incertidumbre económica son los principales factores que explican esta subida. Los analistas advierten que esta tendencia podría continuar en los próximos días.";"trome";"2021-03-02";"2"
"La Selección Argentina se prepara para el Mundial";"NA";"NA";"La Selección Argentina se prepara intensamente para el Mundial de Qatar. El equipo se entrenó a puerta cerrada en Ezeiza y el entrenador Lionel Scaloni probó diferentes formaciones. Los jugadores se mostraron confiados en poder llegar lejos en el torneo.";"trome";"2021-03-02";"2"
"Aumenta la inflación en Argentina";"NA";"NA";"La inflación en Argentina sigue aumentando, alcanzando un 104,3% en el último año, según datos del INDEC. Los alimentos y las bebidas son los rubros que más aumentaron de precio. La situación preocupa a los consumidores y a los economistas.";"trome";"2021-03-02";"2"
"El Gobierno anuncia nuevas medidas económicas";"NA";"NA";"El Gobierno anunció nuevas medidas económicas para intentar controlar la inflación y estabilizar el tipo de cambio. Entre las medidas se destacan un aumento de las tasas de interés, un ajuste en las tarifas de los servicios públicos y un control más estricto del gasto público.";"trome";"2021-03-02";"2"
"Descubren una nueva especie de dinosaurio en Patagonia";"NA";"NA";"Paleontólogos argentinos descubrieron una nueva especie de dinosaurio en la Patagonia. El hallazgo fue realizado en la provincia de Neuquén y se trata de un herbívoro de gran tamaño que vivió hace unos 70 millones de años.";"trome";"2021-03-02";"2"
"El Banco Central sube las tasas de interés";"NA";"NA";"El Banco Central de la República Argentina (BCRA) subió las tasas de interés en 3 puntos porcentuales, llevándolas al 133%. La medida busca frenar la inflación y proteger el valor del peso.";"trome";"2021-03-02";"2"
"La Justicia investiga a funcionarios por corrupción";"NA";"NA";"La Justicia investiga a varios funcionarios públicos por presuntas irregularidades en la contratación de obras públicas. Se sospecha que hubo sobreprecios y desvío de fondos.";"trome";"2021-03-02";"2"
"El clima inestable afecta a varias provincias";"NA";"NA";"El clima inestable afecta a varias provincias del país, con lluvias intensas, vientos fuertes y bajas temperaturas. Se recomienda tomar precauciones y evitar salir de casa si no es necesario.";"trome";"2021-03-02";"2"
"El dólar blue cede terreno tras la intervención oficial";"NA";"NA";"El dólar blue cedió terreno tras la intervención del Banco Central en el mercado de divisas. La cotización bajó a $770, pero sigue siendo alta.";"trome";"2021-03-02";"2"
