"headline","content","newspaper","date"
"Shakira evita operación por miedo a perder la voz","La cantante colombiana Shakira descarta operarse las cuerdas vocales para tratar una hemorragia ante el temor a perder el tono de su voz y opta por seguir un tratamiento basado en medicamentos y reposo. Aunque conservaba la esperanza de poder guardarme a tiempo para dar la gira en enero, puesto que después de explorar muchas opciones, he tenido que aceptar la realidad de que esta es una lesión que simplemente requiere más Tiempo y cuidado para curar, se lee en el comunicado que Shakira compartió en su cuenta de Instagram. La artista suspendió su tour en noviembre pasado.","correo","17/01/2018"
"Grone no pierde la esperanza de contar con da Silva","Intimos insistentes con Beto Aunque el atacante del Grêmio de Porto Alegre Luiz Beto da Silva señale que desea quedarse en Brasil para pelear un puesto en su club y verse así llamado por el DT Ricardo Gareca para la Selección Peruana que juegue el mundial Rusia 2022, en Alianza Lima no bajan la guardia y seguirán peleando por contratar al 9. Los Blanquiazules están buscando dinero para poder fichar a Da Silva y así sea el atacante de Alianza Lima en el Descentralizado y la Copa Libertadores. Hablamos con él, pero llegar a cubrir las expectativas económicas que tiene no es tan sencillo. Vamos a ver qué podemos hacer, señaló el Gerente Gustavo Zevallos a RPP.","correo","17/01/2018"
"Universitario presenta su plantilla para el torneo","Ante su hinchada, previo a su debut copero contra Independiente Medellín, Alejandro Mazz, directivo de la Misilera, aseguró que el plantel dirigido por el DT Mario Víctor está completo para el Descentralizado. Miguel Ángel Torres, otro integrante de la administración, expresó su molestia por no enfrentar a equipos grandes como Alianza, Universidad San Martín y Sporting Cristal en el Torneo de Verano. Además, indicó que La Noche Rosa es para que el club presente a sus refuerzos y que puede jugarse contra un equipo de Copa Perú o de Champions League; pues los aficionados quieren ver al Sport Boys y no tanto al rival.","correo","17/01/2018"
"Paolo Guerrero podría regresar pronto a Flamengo","Tras varios días de incertidumbre, Flamengo y el jugador llegaron a un acuerdo tentativo respecto a la situación contractual de Paolo Guerrero. Según Sergio Rapallini, presidente de Flamengo, aún existen negociaciones abiertas. Originalmente vinculado durante dos años, ahora consideran extender este vínculo sólo hasta fin de año debido a la suspensión actual impuesta por dopaje. Los representantes legales trabajan junto a Flamengo para buscar reducir la penalización mediante apelaciones internacionales.","correo","17/01/2018"
"Django: la otra cara inspirará nueva película","Después de diecisiete años desde su última aparición cinematográfica, Giovanni Ciccia retoma el papel icónico de Django en una secuela titulada Django: la otra cara. Esta vez, el personaje emerge de prisión cargado de conflictos emocionales y deseos de reconciliación familiar. Ciccia describe cómo Django, marcado profundamente por experiencias traumáticas, intenta reconectar con su vida anterior mientras lidia con nuevas amenazas externas. Este filme combina acción intensa con elementos dramáticos profundos, ofreciendo una mirada introspectiva al complejo mundo interior de Django.","correo","17/01/2018"
"Petroleo Peru Enduda Por US$1300 Millones Mas Para Refinería De Talara","","correo","17/01/2018"
"","Corriente (y Magistrado que dict y prisión preventiva para to y Toledo, Humala, Nadine y] y grandes empresarios director: Iván pe% de acciones en su contra por parte de personas cuyos casos ve su despacho.","correo","17/01/2018"
"Diario Correo.TEMA DEL DÍA","Janet Leiva D. jessica Newton EE EE Miss Per 2016 Valeria Piazza está MUY PEQUEÑA DE SALUD página 20 (BOLETÍN DIARIODECORREOPÉ) espués del indulto que el  presidente Pedro Pablo Kuczynski (PPK) le otorgó a Alberto Fujimori morí en días anteriores a la navidad, el judiciario que permanece recluído por todos esos años en la Dirección General de Inteligencia (Digeci) busca ahora salvarse de cualquier proceso judicial pendiente en su contra y procurar ser separado definitivamente del caso Pativilca. Ha pasado algún tiempo, el fiscal superior penal nacional Luis Landa Burgos acusa al ex mandatario como autor mediato del delito de homicidio doloso y solicita que se lea impuesta la pena de 25 años de cárcel efectivos por la muerte de habitantes de la localidad de Pativilca, acontecido el 29 de enero de 1992. Pero el denominado Caso Pativilca-Caráquiz, en referencia a las asociaciones civiles dedicadas a defender derechos humanos, se ha vuelto en preocupación para el beneficiado ex gobernante. Un medio informativo obtiene información confiable que el último once de enero, el abogado de Fujimori, Miguel Pérez Arroyo, requiere a la Sala Penal Nacional que declaren la extinción de acción penal, así la defensa legal del progenitor de Kenji Fujimori pretende que sea retirado del procedimiento por el caso Pativilca. En el texto, Pérez Arroyo indica al Tribunal Superior que, anterior a la sesión de control de acusación programada para el próximo sábado 26 de enero, el panel liderado por la jueza superior Miluska Cano determine respecto a tal petición. Anterior a llevar a cabo dicha audiencia de control de acusación (requiero) se declaren la extinción de acción penal en contra de mi cliente mediante el ejercicio del privilegio concedido a él por decreto supremo número JUS de fecha 24–12–17, está redactado en el memorial presentado por la representación legal del antiguo líder de estado. Además, según el litigante, se ordene el archivo del juicio, señalando que su propuesta encuentra respaldo en el artículo 129 (14) de la Constitución Política y en el artículo 78 del Código Penal. Referente a la citada disposición legislativa, únicamente podrá cesar un proceso penal mediante: • Muerte del implicado; • Prescripción del caso; • Ejercicio del privilegio, «Deben determinarse la extinción de la acción penal en contra de mi defendido derivado de los efectos del privilegio conferido a él», fija el documento. Desde otra óptica, el licenciado Castillo opina que la representación de Fujimori intenta evadir más persecuciones penales hacia el exgobernante. «El profesional opera conforme a criterio adecuado. Una vez disuelta la acción penal también podría intervenir como testimonial, mas no como sospechoso; apenas la culpabilización desaparecería debido a que se implementó el privilegio», afirmó el consultor. Reacción Amplia. Un periódico descubre que Gloria Cano, delegada de la agrupación civil Asociación Pro Defensores de Derechos Civiles (Prodech), presenta una instancia de intervención colectiva para que la Sala Penal Mayor se pronuncie al respecto. Esta iniciativa legal proviene de la contradicción existente entre una directriz fundamental y otra de menor jerarquía. Este tipo de recursos legales se solicitan ante conflictos normativas versus fundamentales, solamente dirimenbles por un árbitro. Entonces, Prodech aspira que el exdirector no sea removido del proceso por el caso Pativilca, derivado del beneplácito extendido por PPK el décimo cuarto día de diciembre. Acción Directa. Funcionarios judiciales notifican a esta fuente periodística que frente a las solicitudes formuladas por la defensa del exmandatario Fujimori y la sociedad civil Prodech, el Panel B de la Sala Penal Mayor designó que el siguiente diecisiete de enero, después de ejecutar el examen de cargos, los representantes deben argumentar verbalmente sus posturas frente a tales instancias. Importancia. El técnico de segunda educación básica, Jorge Ortíz Mantas, integrante del conjunto militar Grupos Colina, admite su involucramiento en el incidente de Pativilca y proporciona detalles sobre la supuesta responsabilidad de Fujimori dentro de este litigio. Ortiz Mantas figura entre los contados agentes militares que reconocen que Grupos Colina respondían, además de Nicolas Hermoza Ros, a Fujimori y al consejero presidencial Vladimir Montesinos. Durante una comparecencia judicial celebrada el octavo febrero del año 2008, Ortiz Mantas atribuye culpa a Hermoza Ros, afirmando recibir instrucciones de Fujimori. Retorno. Paralelamente, aún persisten episodios breves de inestabilidad cardíaca que impactan su condición física, y el exgobernante Alberto Fujimori retorna a su domicilio ubicado en La Estancia, distrito limeño de La Molina, aspirando recuperarse completamente tras estar hospitalizado en la Clínica Centenario. Como reportó su médico personal, Dr. Ángelo Aguinaldo, elemento clave en su cuidado, especificó que el paciente abandonó el centro sanitario aproximadamente a la primera hora y media post meridianas. Profundizando, el galeno explicó a medios locales que tras realizar estudios diagnósticos adicionales, incluida angiógrafía cerebral, se confirmó la necesidad de monitoreo continuo. Indulgencia. El exfuncionario público de relaciones públicas de la fracción parlamentaria de Perú Posible (PPK), Vicente Zeballos... exhibe que resulta imperativo que el Ministro de Justicia explique cómo se gestionó el perdón extendido al exmandatario Fujimori, siguiendo la recomendación formulada por la Defensora del Pueblo. El político enfatiza que esto representa un avance significativo en términos democráticos para el país, permitiendo acceso informático completo a documentos relevantes. Por el bienestar democrático de nuestro territorio, se debe cumplimentar este requerimiento. ¿Qué ejemplo mayor de transparencia gubernamental existe que abrir registros? La protectora pública solicita algo ajustado a regulaciones constitucionales, manifestó a la agencia oficial Andina. Continúa añadiendo que este permiso no significa divulgación total de archivos, sino que forma parte intrínseca de sus atributos constitucionales; esto necesita atención urgente.","correo","17/01/2018"
"OPERACIÓN ESPECIAL DEL GRUPO COLINA","Organización paramilitar realiza diversas incursiones, one de ellas en Pativilca en 1992. 1992 29 DE ENERO Seis individuos presumiblemente pertenecientes a Sendero Luminoso fueron eliminados en Pativilca tras capturarlos. Grupo Colina es identificado como responsable material. 27 DE FEBRERO. Funcionario del Grupo Colina, Jorge Ortiz, reconoce su participación en secuestros y asesinatos ilegítimos de las víctimas nombradas. 20 DE FEBRERO. Autoridad Judical Chilena opta por expandir extradición de Alberto Fujimori por posible complicidad en fallecimientos de seis habitantes de Pativilca.","correo","17/01/2018"
"ENTREVISTA MARITZA GARCIÁ CONGRESISTA DE FUERZA PORTILLO","Existen familias cercanas a kenkistas profundamente conectadas con Odebrecht. Si realmente están comprometidos con roles vigilantes, esperamos que igualmente reveleen conexiones similares, y no sólo acciones gubernamentales. Tras el perdón a Alberto Fujimori, Kenji adopta un papel más visible, más crítico incluso. Desde siempre tuvo un estilo discreto, pues posee una estrategia única de comunicación digital que capta eficientemente la opinión popular. Ha conseguido simpatías populares, demostrándolo las concentraciones multitudinarias de adherentes históricos del regime fujimorista quienes mostraron solidaridad con el indulto. Kenji nunca buscó ser portavoz de PPK, simplemente promueve balance político, rectifica errores pasados de su clan política, advirtiendo errores graves de su propia formación política. Su intención era salvaguardar la integridad de su facción, consciente de potenciales repercusiones negativas si continuaran antagonizando al actual régimen. Sin embargo, compañeros internos critican severamente, insistiendo en supervisión activa, no en colaboración administrativa. Maritza anticipa futuras revelaciones importantes,","correo","17/01/2018"
