"headline","content","newspaper","date"
"Legislador podría ser suspendido","Podría ser sancionado con 120 días de suspensión y que el expediente legislativo sea derivado al Ministerio Público. También se menciona que el documento apartamentalmente lo responsabiliza por la comisión de un delito. Trascendió que los legisladores Mauricio Mulder, Juan Díaz Dios, Mesías Guevara y Humberto Lay estarían de acuerdo en respaldar el referido proyecto y que éste sea elevado al Pleno del Congreso para su aprobación.  En tanto, los legisladores Martín Belaunde Moreyra y Daniel Mora no estarían a favor de aprobar dicha sanción contra Leon. Como es público, Leon denunció que no se había respetado su derecho a la defensa, ya que no le permitieron sustentar sus argumentos en la Comisión de Ética. Consultado sobre una eventual sanción a Leon, Marcial Ayaipoma, secretario general de Perú Posible, dijo que el partido no tomará ninguna medida al respecto, aunque no descarta que la bancada parlamentaria separe de sus filas al congresista (ahora solo con licencia) u otra medida.","correo","15/12/2014"
"Orden judicial favorece a expareja de Carmén Ontime","El Poder Judicial ordenó que predio pase a favor del exesposo de Carmen Onimate. Inician desalojo en casa de Hurtado Miller. Por decisión del Poder Judicial, ayer se ejecutó el desalojo de la casa del exministro de Economía Juan Carlos Hurtado Miller, ubicada en San Ma. y Seguros (SBS) la vendió después de que un juicio pendiente por 33 años concluyera favorablemente para él.","correo","15/12/2014"
"Violencia impacta celebración juvenil","Una inocente fiesta de promoción en Santiago se tornó violenta cuando capuchados abrieron fuego durante Hora Loca, según relatan testigos. Seis individuos provistos de armas atacaron a cerca de cien personas, robándole objetos valiosos incluido equipo fotográfico. Uno de los afectados, el fotógrafo Sergio Ruiz Torres, fue herido gravemente mientras intentaba proteger su material profesional.","correo","15/12/2014"
"Peaje aumentará en Vía de Evitamiento","Incremento genera molestia entre conductores. Desde $4 a $45 será el nuevo costo por uso del peaje en el segmento comprendido entre Habicht y Javier Prado Este. Conductores señalan falta de información adecuada, aunque la compañía asegura distribución de folletos informativos. Exigen clarificación y transparencia en futuros ajustes económicos relacionados con infraestructura vial.","correo","15/12/2014"
"Venta ilegal de pirotecnia continúa","Pirotécnicos prohibidos aún disponibles en mercados clandestinos. Artículos explosivos como ‘chapanas’ y ‘guty’, así como castillos inflables están siendo comercializados públicamente, ignorando normativas establecidas. Críticas surgen también hacia medidas gubernamentales percibidas como laxas, sugiriéndose reformas severas mediante proyectos legislativos enfocados en penalización rigurosa de infracciones similares.","correo","15/12/2014"
"Incendio fatal deja huella en comunidad","Muerte infantil provocada por accidente doméstico. Niña de dos años pierde la vida en tragedia ocurrida en Barrio Alto. Presumiblemente causado por falla eléctrica asociada a decoraciones navideñas, incidente destaca riesgos inherentes a prácticas festivas populares. Familia damnificada espera respuesta oficial y acciones preventivas adicionales por parte de autoridades competentes.","correo","15/12/2014"
"Humalismo en Jaque","Hoy en día, uno pensaría que la gente está más loca que antes. Pues no existe la voluntad de ir hacia adelante. El Gobierno se ha fajado descaradamente para que nada salga a la luz, y solo queda esperar : véa que deje el poder.","correo","15/12/2014"
"Especial Cop 20","Calentamiento. La ONU y Lima Hablan de Éxito, pero Ambientalistas Advirtien un Fraude COP20 Impío La Cumbre en cifras 14,000 de 195 países llegaron para participar de la COP 20, en tre representantes de gobierno, sociedad civil y empresarios. tuvo la Feria Voces Por el Clima en el Jockey Club del Perú entre el 1 y 12 de diciembre, 1200 voluntarios participaron en el evento. etre peruanos y extranjeros, cubrieron la COP 20, Hubo 140 conferencias de prensa en la sede del Cuartel General del Ejército. Tarea. Cada país tiene ahora que Presentar Sus Compromisos de  Reducción de Emisiones de Carbono hasta el Mes de Marzo de 2015. El borrador debería ser aprobado en la COP 21 para Reemplazar el Protocolo de Kyoto. Acuerdo de COP 20 es Un Plan a Medio Cocinar Borrador Que Será Llevado a Paris en 2015 Demandó 14 días de Intensas Negociación y Compromiso que para Algunos Fuera un Rotundo éxito para Otros Resultó un Fracaso. Luego de Dos Semanas de Negotiation, la Cumbre por el Cambio Climático (COP 20) Culmino con la Firma de un Acuerdo –de 37 páginas– que No Dejaría a Todos Contentos. y es que la Brecha Entre los Países Desarrollados y los País Emergentes Puso Renos a las Negociaciones. Fue Recién en la Madrugada Del Domingo que las Partes Logran un Acuerdo que –Sea Aprobado en Paris a Finales de 2015. Éxito? Texto Denominado ‘Llamado de Lima’ para la Acción Climática e Aceptado Finalmente Por los Delegados de los 195 Países Participantes. Y Aunque Ofrezca Muchísimas Amplías para Contrarrestar los Efectos del Cambio Climático, Se Avanzó en Temas Importantes Como el Financiamiento para Enfrentar el Calentamiento Global al Superar la Meta de 10 Millones de Dolares para el Fondo Verde. el Ministro del Ambiente y Presidente de la COP 20, Manuel Pulgar Vidal, señaló que el Documento Firmado Contiene Decisiones Solidas para Avanzar en el Acuerdo Global Rumbo a Paris. ‘La Decisión de Lima es Solida, no Solo Porque Cumpliera los Mandatos que Le Estableció la COP 19 de Varsovia, sino También Porque Su Propia Aprobación Contiene Elementos para la Negociación, cosa que Nunca Antes había Ocurred’, Subrayó. Su Turno, La Secretaria Ejecutiva de la Cumbre, Christiana Figueres, Vo Que Adoptaron Decisiones Importantes que Permiten Mirar con Entusiasmo la COP 21. ‘Los Gobiernos Se Van de Lima con una Nueva Onda de Positivdad para Paris, con el Acuerdo de una Serie de Decisiones Clave y con Agenda de Acciones que Incluirán cómo Lograr Aumentar la Financiación a la Adaptación así como Medidas Forestales y Educativas, Precisó. Dudas. Pese al Optimismo con el que se Cierran las Negociaciones, las Organi-zaciones Ambientalistas Si Critican Duramente los Resultados de la Cumbre. Como Se Recordará, el Objetivo Era Buscar Métodos para Limitar el Calentamiento de la Tierra a un Máximo de 2 Grados Celsius. Para Esto, según los científicos, se Debía Reducir las Emisiones de Carbono Entonces, la Wwf (Fundación Mundial para la Naturaleza) Sostuvo que las Negociaciones Cas-Fracasaron de Manera Spectacular al Entregar un Plano Opaco con Mucho Pequeña Certificación. Samantha Smith, líder de la Iniciativa Global de Clima y Energía de Wwf, lamentó que los Países No Fijaran Metas Concretas a Favor del Medio Ambiente. A Pesar de los Excesivos Eventos Climáticos en Filipinas y Donde Este año Es Personalmente el Más Catastróficamente Jamás Registrado, los Gobiernos Optaron por un Plano a Media Cocinar para Reducir las Emisiones’. Críticas también que los Países Desarrollados No Hayan Explicado Cómo Lograrían los 100 Miles de Millones de Dólares Anuales para el Financiamiento del Fondo Verde al 2020. ‘Los Gobiernos Fallaron Rotundamente en Conseguir un Acuerdo Sobre Normativas Específicas para Reducir las Emisiones Antes del 2020, con el Cual se Sentarían las Bases para Terminar la Era de Combustibles Fósiles’, Indicó. Del Mis Mo Modo, Voceros de Oxfam International Consideraron que la Cumbre Evitó el Fracaso con un Acuerdo Débil.’ ‘Los Negociadores Han Logrado que el Barco No Se Hundiese en Lima, pero Les Espera un Mar Picado en Paris 2015 (... Las Decisiones Tomadas en Lima No Excluyen la Posibilidad de un Acuerdo en Paris, pero hacen Poco para Mejorar las Probabilidades de Éxito’, Dijo Winnie Byanyima, Director Ejecutivo de Oxfam Internacional.","correo","15/12/2014"
"Alerta. Están Entre 34% y 50%","Sobretasas Encarecen el Maíz, Arroz y Azúcar Sociedad Nacional de Industrias Pide al Ejecutivo Revisarlas para Permitir Abaratamiento de Alimentos Clorinda Flores F. Cflores@GrupoEpensa.Pe Sobretasas Aplicadas Desde Hace Varias Años No Permiten Tener Alimentos Mas Económicos Cuando los Precios Internacionales están a la Baja, Precisa el Instituto Peruano de Economía (Ipe). al Respecto, el Presidente de la Sociedad Nacional de Industrias (Sn), Luis Salazar, Señaló a Correo que Son Tasas que Se Aplican a estos Tres Productos, Principalmente, para Proteger a los Agricultores Peruanos. Petición. ‘Son Sobretasas que Se Aplican Desde Hace Varias Años y No Permitemos Tener Alimentos Más Económicos Cuando los Precios en el Mercado Internacional Estén a la Baja’, Precisó. Cabe Precisar que el Maíz Importado Permite a la Industria Avícola del País Mantener una Producción Constante de Pollo, Pues su Precio Forma Parte de la Estructura de Costo de las Empresas en un 30%, Es Decir, Si Siguen Alto su Valor, el del Pollo se Mantendrá Arriba. Absurdo. Según el Director del Ipe, Roberto Absalón, las Sobretasas que Se Aplican a la Importación de Estos Tres Productos Agrícolas (Entre 34% y 50%) Rayan en lo Absurdo por Que Su Aplicación Toma Como Referencia los Precios Internacionales de los Últimos 60 Meses.","correo","15/12/2014"
"Evalúan Procesador","Peruanos Son Exigentes con la Tecnología Consumo. Precio, Marca y Garantía a Nivel de Procesadores Son los Tres Factores que Más Evalúa los Peruanos al Momento de Comprar una Pc, Notebook o Tableta para Esta Navidad, Generó lo Reveló un Estudio Realizado por Ipsos para Intel. En el Caso de las PCs, el 68% de Compras Se Definen Basándose en la Marca del Proceso-r, Mientras Que Cuando se Tratan de Notebooks y Tablets la Estadística Baja a 44% y 25%. Además, Cabe Destacar que el 68% de Quienes Poseen una Pc la Usan para Trabajar, un dato que no varió a Niveles de Note-books, pero que en el Caso de las Tablets se Redujo a 37%","correo","15/12/2014"
"Canjes!","Ya Se Inician los Canjes! Canje Tu Smartphone Zte Kiss® Pose Chip E3 Te Traen Tu Smart-phone Que Escogiste al Reservar. Para Mayor Información Entrar a: www.Promo-smartszte.Com Cupones de Descuentos con Valor Agregado Se Impusieron Ban-cos con Valor Agregado Se Impusieron Ztekiss® Chip Prepago con Bono Inicial, LLévatelo S./50 * $mil Carcasas de Colores (+ Funda) Por Primera Vez, Promoción válida Hasta el 17 de Diciembre Promoción a Nivel nacional Una Carcasa de Color (-)","correo","15/12/2014"
"Exprocuradores aseguran que asistirán al Parlamento si son convocados","Christian Salas y Yeni Vilcatoma consideraron ayer que la primera dama Nadine Heredia debe declarar ante la Comisión del Congreso que investiga los supuestos lobbies del prófugo empresario Martín Belaunde Lossio. Como se recuerda, el presidente Ollanta Humala rechazó esa posibilidad con el argumento de que la Primera Dama no es funcionaria pública.  Sí, precisó Salas, yo también acudiría en caso de ser citado por el referido grupo investigador. El exprocurador menciona además que hay otros involucrados, incluidendo al fiscal de la nación, Carlos Ramos Núñez, quien inicialmente insinuó públicamente la posible colaboración efectiva de Belaunde Lossio.   Salas enfatizó que el fiscal superior provincial anti-corrupción, Marco Huamán, debería ser removido «inmediatamente» pues violó principios fundamentales según él. Además, ambos ex-procuradores solicitan mayor acción judicial hacia Daniel Figallo, señalándolo por favores impropios relacionados con Belaunde Lossio.","correo","15/12/2014"
"Denuncian interferencias en el proceso de Fujimori","Interferencias orientadas a dañar el proceso: así describe el abogado William Castillo el contenido de un hábeas corpus aceptado por el poder judicial, buscando revertir la situación penitenciaria de Alberto Fujimori. Este nuevo recurso podría cambiar el confinamiento del exmandatario en la Base Naval del Callao. Benavides, encargado del expediente, iniciará audiencias clave pronto, anticipando decisiones cruciales en breve. Las sospechas giran entorno a manipulaciones judiciales evidenciadas mediante correspondencia electrónica comprometedora entre jueces implicados anteriormente en el fallo definitivo contra Fujimori.","correo","15/12/2014"
"Propuesta de sanción para José Luna","José Luna enfrenta potencial suspensión de 120 días después de controversias ligadas a vínculos con el narcotráfico mexicano. Su relación contractual con Rodrigo Torres generó debate ético intensificado en el Congreso. Si bien algunos diputados muestran disposición a imponer castigos severos, existen discrepancias internas que complican la decisión final. Paralelamente, Luna critica falta de oportunidad para defenderse adecuadamente bajo normativas establecidas.","correo","15/12/2014"
