"headline","content","newspaper","date"
"NA","sistible para los usuarios de la popular red social: bastaba con darle ‘me gusta’ a la foto de una camioneta, compartirla con sus contactos y comentar si se quería en blanco o negro para participar en un sorteo y tener la posibilidad de ganarla.  Aunque a todas luces era sospechoso que solo bastaran unos cuantos clics para participar en el sorteo, varias decenas de miles de personas lo hicieron. En cuestión de horas, la empresa aclaró que el concurso no era auspiciado por ellos y, automáticamente, la página fraudulenta desapareció.  Seguramente pensar que nadie salió perjudicado. Son cosas de Facebook. Pero se equivoca. Se trata de una estrategia que es usada constantemente por los ciberdelincuentes para obtener uno de los más preciados valores: nuestra información personal.  As es. Según diversos especialistas, hacer clic en ‘me gusta’ permite compartir hasta siete datos sensibles del usuario. Existen malos negociantes que crean fanpages falsas solo con la intención de captar esta información y luego revenderla. ¿Todavía seguir compartiendo esa foto para ganar el LED de 65 pulgadas?  Recuerde que sus datos personales son, en estos días, una de sus más preciadas posesiones y debe decidir bien con quién compartirlos.  Las redes sociales más populares, como Facebook y Twitter, tienen mecanismos para verificar cuentas y que usted sepa que es un sitio relacionado con el oficial. Ya lo sabe. Piénselo dos veces antes de dar un ‘me gusta’ para ganar el iPhone 6S.","elcomercio","02/01/2016"
"HitchBot, el robot que pedía aventón, será exhibido en museo","El robot que se hizo conocido por atravesar Canadá pidiendo aventones en las carreteras formará parte de la exposición permanente del Museo de Ciencia y Tecnología de Ottawa, cuando éste vuelva a abrir sus puertas en noviembre del 2017.  En junio del 2014, HitchBot inici su primer viaje. En solo 26 días fue desde Halifax hacia Columbia Británica en Canadá gracias a 19 aventones.  El experimento encabezado por Frauke Zeller, profesor de la Universidad de Ryerson, buscaba ver la reacción de las personas que viajan por carretera cuando un humanoide les pedía que lo llevaran algunos kilómetros, pero también saber si los robots podían confiar en los seres humanos.  En el 2015 el experimento terminó de manera abrupta. En junio de ese año partió desde Salem, Massachusetts (EE.UU.), hacia San Francisco. Sin embargo, el 1 de agosto del año pasado, al pasar por Filadelfia, fue destruido por desconocidos mientras esperaba un nuevo aventón.  El museo ha decidido incluir una versión de HitchBot con la que los visitantes podrán, además, interactuar.  Por su parte, los creadores del proyecto esperan desarrollar un nuevo humanoide y continuar con su experimento en el segundo trimestre de este año.","elcomercio","02/01/2016"
"- La realidad virtual será una de las estrellas en feria de Las Vegas","La próxima semana se inicia una nueva edición de la Feria de Electrónica de Consumo (CES) 2016 y all se conocerán las nuevas propuestas de la industria para la popularización de los aparatos de realidad virtual.  Los expertos esperan que no corra la misma suerte que el 3D.","elcomercio","02/01/2016"
"Desafíos en el Interior del País","Prevencción y elección  El 2016 es para las regiones un año clave. Afrontar El Niño, evitar una plaga de dengue y saber elegir a sus congresistas son algunos retos.  EL NIÑO  Con menos presupuesto que el año pasado y en medio de un evento atmosférico, los gobiernos regionales y municipalidades afrontarán el desafío de mejorar el nivel de sus gestiones. La población, en tanto, tiene el reto de informarse para elegir a sus representantes en el Congreso.  La gran amenaza climática  El verano supone el inicio de una prueba para el gobierno saliente, que ha invertido aproximadamente S/.4.500 millones para atender la emergencia del fenómeno de El Niño, una de las principales amenazas de nuestra economía en el 2016.  El ministro de Agricultura, Juan Manuel Benites, señaló que solo su sector ya gastó US$219 millones (unos S/.745 millones) en obras de prevención para evitar pérdidas por US$2.500 millones (unos S/.8.500 millones).  Actualmente 14 departamentos y la provincia constitucional del Callao se encuentran en estado de emergencia por el peligro ante un inminente período de lluvias torrenciales. La declaratoria vence mañana 3 de enero, sin embargo el Ejecutivo ha anunciado que será prorrogada, al menos por dos meses más.  El Comité Multisectorial encargado del Estudio Nacional del Fenómeno El Niño (ENFEN) ha reafirmado que las precipitaciones más fuertes se presentarán en Tumbes y Piura.  La probabilidad para el verano de que El Niño costero tenga una magnitud moderada es de 50%, mientras que el escenario fuerte tendría una probabilidad de 35%, seala el último comunicado.  EL DENGUE  Sebastián Castaeda / archivo  LAS ELECCIONES  Hugo Prez / archivo  FUTUROS LEGISLADORES  La reducción de las asignaciones por canon y sobrecanon trajo consigo la disminución del presupuesto de los gobiernos regionales para el 2016 en más de S/.1.000 millones. En conjunto, este año, los 25 departamentos del país disponen de S/.19.314929.555 (13,86% del presupuesto nacional).  Una situación similar vivirán las municipalidades provinciales y distritales que cuentan con S/.14.858582.106 (10,24%).  El cumplimiento de metas de las gestiones se torna incierto, sobre todo porque el país sufrirá el impacto del fenómeno de El Niño y las plagas que trae consigo. La proliferación del mosquito ‘Aedes aegypti’, transmisor del dengue, la chikungunya y la zika es una preocupación, especialmente en las ciudades costeras y de la selva.  Año complicado  Para el presidente de la Asamblea Nacional de Gobiernos Regionales (ANGR), Nelson Chui, la clave para superar la crisis será ser eficientes en el gasto.  El cumplimiento de metas de las gestiones se torna incierto, sobre todo porque el país sufrirá el impacto del fenómeno de El Niño.  Las autoridades del interior del país también tienen el desafío de desterrar el cartel de corrupción al que se les asocia, tras conocerse diversos casos de gobernadores regionales y alcaldes inmersos en delitos contra la administración pública e incluso contra la vida de sus adversarios políticos.  La ciudadana, por su parte, tiene la consigna de informarse adecuadamente de las propuestas de los candidatos que aspiran a representarlos en el Parlamento. Recordemos que casi el 75% de los congresistas serán electos en el interior del país. Y quizás el próximo presidente de la República también.  El futuro político estará en juego  Las graves denuncias contra congresistas electos en las regiones son una buena razón para pensar en que la próxima elección congresal es clave para el futuro político del país.  El especialista en temas electorales Fernando Tuesta consideró que son pocos los parlamentarios de regiones que destacaron por su labor legislativa. La mayoría han tenido desencuentros con sus partidos y hay un grueso número de congresistas silenciosos, señal.  Según Tuesta, el actual sistema electoral dificulta que la población elija al mejor candidato. Una región con cuatro escaños debe votar entre unos 80 postulantes. Entonces, el voto es más emocional que racional. Se elige al más conocido, al que hace más ofrecimientos, declar.  Una plaga que no se va  Piura y Tumbes son también las regiones más propensas a desarrollar la plaga del dengue, chikungunya y zika. Sus autoridades han señalado que los recursos asignados por el Estado para la prevención son insuficientes. Nunca ha existido un presupuesto exclusivo para el dengue, salvo en los casos de emergencia, como este año en que hubo más de 10 mil casos, expresó el director regional de Salud de Piura, Jesús Jurez.  El titular de este sector en Tumbes, Mariano Yez, indicó que, al igual que Piura, solo poseen aproximadamente S/.2 millones para contratar personal para la fumigación, monto que considera insuficiente.  Cuestión de análisis  Las 25 regiones elegirán a 95 de los 130 representantes en el Parlamento. En la actual gestión varios estuvieron involucrados en problemas típicos e incluso en denuncias penales; algunos, como Michael Urtecho, fueron destituidos y defraudaron a quienes les confiaron sus votos. Es esta la ocasión para analizar las hojas de vida, los antecedentes de los postulantes y especialmente sus propuestas.  En los comicios generales del próximo 10 de abril votarán cerca de 22 millones de peruanos. De acuerdo con la ONPE, más de la mitad de la población electoral está en los departamentos. Su decisión será clave.  Alonso Chero / archivo  Buscan reducir brechas durante crisis  Los gobernadores de las principales regiones del país coinciden en que buscarán lograr el desarrollo de sus jurisdicciones, a pesar de la reducción del presupuesto y del evento climático que se avecina.  Luis Valdez Faras asumió el cargo de gobernador regional de La Libertad recién en octubre, tras la renuncia de César Acuña Peralta, quien postula a la Presidencia de la República. En diálogo con El Comercio, Valdez dijo que en el 2016 centrará su gestión en dos sectores: salud y educación.  Por su parte, la gobernadora regional de Arequipa, Yamila Osorio, considera que el 2016 estará marcado por medidas destinadas a combatir la corrupción en la administración regional.  Metas  Los trabajos de prevención que se ejecutaron en los últimos meses contra El Niño dan cierta tranquilidad al gobernador de Lambayeque, Humberto Acuña Peralta, quien confía en que este año habrá mejoras en el abastecimiento de agua potable y en el acceso al desagüe en su región.  Reynaldo Hilbck, el gobernador de Piura, asume el 2016 como un desafío para mejorar la atención a la primera infancia. Mejorar la calidad de vida de las personas depende de articular esfuerzos, expres.  GOBERNADORA. Yamila Osorio dijo que espera conseguir recursos para construir los hospitales de Islay y Caman, en Arequipa.","elcomercio","02/01/2016"
"Invaden humedal de Santa Julia","Vecinos denunciaron que se han levantado viviendas de triplay dentro de este paraje piurano habitado por aves migratorias.  Piura. A 10 minutos de Piura se ubica el humedal de San Julia, un paraje de 20 hectáreas que sirve de ecosistema para flamencos, patillos, playeritos, garzas y otras aves migratorias. El lugar, sin duda, es un atractivo natural de la ciudad. Sin embargo, en los últimos días, un grupo de invasores instaló 10 viviendas de triplay a unos 30 metros de este humedal.  Alberto Navarro, de la ONG Naturaleza y Cultura Internacional, quien además es vecino del lugar, denunció que las personas invasoras están poniendo en riesgo la integridad de 200 familias. Han deteriorado el montículo de tierra que protege nuestras viviendas ante un posible desborde de las aguas, denunció.  Añadió que para la invasión se han cortado dos algarrobos y que se ha bloqueado la mejor vista al lugar, en donde se proyectaba construir un mirador turístico.  Según Navarro, un grupo de vecinos de los asentamientos humanos Tpac Amaru II-sector 3, Santa Julia y el sector de Pennsula, en el distrito de Veintiséis de Octubre, informaron a","elcomercio","02/01/2016"
"Este es un ao electoral, por lo que los polticos...","Este es un ao electoral, por lo que los polticos –esa “lite que logra la mediocridad por el bien cmn”, segn George Will– intentan con cierto xito hacernos creer en las maravillas de sus promesas (proyecciones) y de la democracia. Vale la pena entonces recordar las palabras del escritor H.L. Mencken: “La democracia es la teora de que la gente comn sabe lo que desea, y que merece que se lo den, puro y duro”.   No es injusta ni clasista esa aseveracin. Lord Acton lo tena claro: “El peligro no es que una clase en particular no sea apta para gobernar. Ninguna clase lo es”. Se refera al viejo reto de limitar el poder de quienes gobiernan, sean quienes sean. Un aspecto de la defectuosa institucionalidad que aflige a la regin lo describi Juan Bautista Alberdi en el siglo XIX: “Con un derecho constitucional republicano y un derecho administrativo colonial y monrquico, la Amrica del Sur arrebata por un lado lo que promete por otro: la libertad en la superficie y la esclavitud en el fondo”.   Sigue viva la burocracia asfixiante, que es una forma del poder concentrado. No recortarla es seguir alentando la informalidad por un lado y el favoritismo por el otro lado. Y debilita el Estado de derecho. Como deca Frdric Bastiat: “Cuando la ley y la moral se contradicen, el ciudadano se encuentra ante la cruel alternativa de perder la nocin de moral o perder el respeto a la ley”.   La mayor expresin del poder no limitado en la regin es Cuba –“nico pas del mundo en el que es ms fcil cambiar de sexo que de partido poltico”, segn Carlos Alberto Montaner– seguido por las variantes populistas. En todas esas seudo o cuasidemocracias los polticos pudieron usar abstracciones como “el pueblo” para acumular el poder, y as corromper democracias autnticas. Cicern deca que “el imperio de la multitud no es menos tirnico que el de un solo hombre y esta tirana es tanto ms cruel cuanto que no hay monstruo ms terrible que esa fiera que toma la forma y nombre del pueblo”. Pero ya hemos visto los casos venezolano y el argentino que el populismo ya no es popular ahora que termin la bonanza de materias primas y se tiene que pagar por aos de polticas irresponsables. Confirma la observacin del premio Nobel Ronald Coase: “La demanda de tonteras parece estar sujeta a la ley universal de la demanda: demandamos menos de estas cuando el precio es ms alto”.   Las experiencias desgraciadas de los rganos populistas son relevantes para todo pas. Y muestran una vez ms que el economista Peter Bauer tena razn cuando deca: “La prosperidad a largo plazo le debe poco o nada a los recursos naturales [...]. La pobreza o las riquezas y las satisfacciones personales y sociales dependen del hombre, su cultura, y de su marco institucional”. No s si estas viejas sabiduras sueltas nos guen mejor en el 2016 que en aos anteriores, pero suelen ser ms confiables que las predicciones. Feliz Ao Nuevo!","elcomercio","02/01/2016"
"Guapachoso, -a. En No me esperen en abril Alfredo Bryce escribe sobre cierto personaje...","Guapachoso, -a. En No me esperen en abril Alfredo Bryce escribe sobre cierto personaje: “… hasta saba pasarse el chicle con la guapachosa gringuita Helen…” (Lima 1995, p. 50). Guapachoso, -a es un adjetivo reciente en nuestra lengua coloquial, que equivale a guapo (palabra que en espaol general significa ‘bien parecido’ y ‘valiente’). Segn el oficial Diccionario de americanismos (2010), guapachoso, -a se aplica en otros pases a la msica tropical o de ritmo alegre.","elcomercio","02/01/2016"
"Jorge Sanjinez Lenz","Peruano que combati en la Segunda Guerra Mundial  Nac en Moquegua y el 24 de enero cumplir 99 aos. Me he casado tres veces y tengo seis hijos. He vivido solo desde nio, mi padre era alcohlico, por lo que tuve que escapar de mi casa siendo muy joven. De joven trabaj en el hipdromo de Lima. Fue entonces que se dio la oportunidad de ir a combatir en la Brigada Belga de Infantera en la Segunda Guerra Mundial. De las medallas que tengo destaco la Cruz de Guerra belga y la Orden de Caballero Leopoldo II. Fui gerente comercial en la empresa Faucett. He sido el nico latino invitado al aniversario 50 de la liberacin de Bruselas. Tengo un gran deseo: vivir hasta el ltimo da junto a mi esposa.  “Tres peruanos participamos en el desembarco de Normanda, uno de ellos fui yo” rEnzO GinEr vSqUEz archivo histrico el comercio  En junio de 1944 dos millones de soldados aliados se enfrentaron a las fuerzas de la Alemania nazi en la baha de Normanda. Entre ellos estaba Jorge Sanjinez, un peruano que luch por el Ejrcito belga durante la Segunda Guerra Mundial. Un hombre condecorado por el rey de Blgica que no ha recibido reconocimiento alguno del Gobierno Peruano.  la gran memoria de Jorge Sanjinez hace que uno olvide su edad. Asegura ser el ltimo peruano vivo que ha participado en la Segunda Guerra Mundial. “La medalla ms importante que me dieron fue por construir una pasarela [puente temporal en poca de guerra] que nos permiti llegar a Blgica. Es una medalla de valor”.   —Cmo lleg a la Segunda Guerra Mundial? En 1940 o 1941 trabajaba en el hipdromo. Tenia un amigo que viva cerca de mi casa y con el que siempre conversaba sobre la guerra. Una maana lleg, toc la puerta y me dijo: “Oye, quieres ir a la guerra?”.  La Embajada de Blgica estaba recibiendo voluntarios, as que nos presentamos al da siguiente y hablamos con el embajador. Nos dijo que no haba problema, pero que era necesaria la autorizacin del presidente (Manuel Prado Ugarteche) para no perder la nacionalidad. A los tres das ya tenamos el permiso. Luego fuimos a la clnica Angloamericana para ser evaluados. Ah iba a haber un problema...  —Por qu? Cuando cumpl 16 aos me present a la Marina y tuve que pasar un examen mdico. Me parece que era la inauguracin del Hospital naval porque haba muchos mdicos extranjeros invitados. Un doctor me pregunt algunas cosas de rutina, me examin y se puso serio. Consult con su colega y me dijo que no poda entrar a la Marina porque mi corazn estaba psimo. Me dieron seis meses de vida. As que cuando fuimos para el examen de la embajada le adelant a mi compaero que yo no iba a pasarlo por ese problema.  —Qu hizo entonces? Fuimos de todas maneras. Ocho mdicos nos analizaron a cada uno porque los ingleses –que eran los que centralizaban toda la ayuda para el ejrcito aliado, que inclua a Blgica– queran gente sana. Regresamos tres das despus para recoger los resultados y el mdico me dijo que yo estaba excelente. Casi colaps, me haban aceptado! Luego enviaron nuestros documentos a Inglaterra. A los 30 das encontr un sobre debajo de la puerta de mi casa, deca que el comando aliado me haba aceptado. En cinco das deba abordar un barco chileno rumbo a EE.UU., nos dieron dinero y dos pasaportes: uno belga y otro peruano. Tenamos que llevar dos pasaportes porque haba naves nazis en el camino que podan interceptarnos y tomar represalias.  —Cuntos viajaban en ese barco? Cuatro argentinos, tres chilenos y siete peruanos, ms o menos. Entramos a Nueva Orleans atravs del ro Misisip. Fuimos a Miami en tren y de ah nos volvimos a subir a otro tren que nos llev a Nueva York.  —Cunto tiempo estuvieron ah? Tres o cuatro das, luego partimos hacia Montreal. No sabamos cunto tiempo estaramos all. Nos metieron en un tren y viajamos por 12 horas. Al bajar en Montreal nos llevaron al cuartel, ah comenc a sentirme soldado. Hababa cerca de 200 latinos en esa base. Estuvimos seis meses en Montreal hasta que un da nos dijeron: “Maana nos embarcamos para cruzar el Atlntico Norte, hay submarinos nazis en todo el ocano. Ac empez la guerra”. Viajamos en el Queen Mary, un barco acondicionado para llevar tropas. Durante ese viaje nos bombardearon al menos en dos ocasiones, pero tenamos tan buenas defensas que no tuvimos prdidas pese a eso. Finalmente llegamos a Irlanda, ramos 10 mil soldados. Tenamos un hotel preparado en Londres para todos. Recuerdo que ese da sal a dar una vuelta con un amigo cuando comenzaron a sonar las alarmas, estaban bombardeando.  —Qu sinti en ese momento? Nos tiramos al suelo, nos escondimos bajo las bancas del parque en el que estbamos. No nos iban a proteger mucho evidentemente [risas]. Con el tiempo nos acostumbramos, ver que los ingleses eran tan diferentes nos ayud.  —Cundo salieron de Inglaterra? Entrbamos todos los das y todos preguntaban cundo iramos a la guerra. Todos hablaban de que se haba abierto el segundo frente porque una derrota en Italia los haba obligado a planificar otra estrategia. Nadie saba cundo saldramos hacia Francia, era el secreto ms grande en Inglaterra. Hasta que el da lleg. Entr un comandante y nos dijo que saldramos a hacer un entrenamiento de playa. “Vamos a demorar cuatro das, as que lleven todas sus cosas”, nos dijo. En el barco llamaron a reunin: “Seores, esto no es entrenamiento, esto es Normanda”. Todos estbamos plidos. Al da siguiente ya estbamos en el Canal de la Mancha. Desembarcamos 17 das despus del Da D [6 de junio de 1944].  —Qu sinti cuando le toc desembarcar? Todos hablan de miedo, pero para m el miedo no existe. En un momento as no hay tiempo para el miedo, ah matas o te matan. Un da nos informaron que debamos ir a la playa Arromanches, ah perdimos al primer compaero del 4 pelotn [suspira]. Que pena, era un gran amigo. Logramos avanzar. Delante nuestro iba un grupo de polacos, se la dieron de valientes y avanzaron ms que nosotros. En una guerra no puedes avanzar un metro ms de lo que te ordenan. Entraron en una zona de bombardeo y murieron todos, eran cerca de 10 mil polacos.  —Ustedes siguieron? S, debamos hacer la limpieza de toda la costa francesa hasta Blgica. Un da moran dos, otro cinco, otro diez. Pero todos comprendamos que as era la guerra, no podamos evitarlo.  —Los peruanos seguían vivos? Solo fuimos tres peruanos en Normanda: Carlos Prez Barreto, Carlos Oyanguren y yo. Segn me dijeron, Oyanguren se ahog a la bajada de la playa. Prez Barreto estuvo conmigo siempre, ramos amigos desde el Per. Llegamos a la frontera con Blgica, tuvimos cinco o seis batallas tremendas. Nadie se quejaba, habamos ido a eso. Ah fue cuando constru la pasarela, los nazis estaban a un lado y nosotros en el otro. Ped voluntarios y lo hicimos, nos tom 16 horas. Pero estaba decidido, haba ido a la guerra para morir.  —Pero no muri. Cmo se sinti cuando le informaron que haba acabado la guerra? Todos celebraban, tiraban sus gorras. Yo era el nico que no lo hacaa, para m no era el fin de la guerra. Debaba pensar en cmo sobrevivir cuando volviera al Per. Sin embargo, la vida me tena preparadas ms sorpresas.","elcomercio","02/01/2016"
"Humala designa nuevos comandantes en divisiones militares","La Quinta División del Ejército (Iquitos) ha sido encomendada al general de brigada Carlos Mayca, también de la promoción de Antauro Humala. Las estratégicas Primera División del Ejército (Piura) y Tercera División del Ejército (Arequipa) se mantendrán bajo las órdenes de los generales de división Manuel Gómez de la Torre y Manuel Rodríguez Luna Victoria respectivamente. Estos dos son de la misma promoción del presidente Ollanta Humala. El general de división Germán Gonzáles se hará cargo de la Segunda División del Ejército (Lima) en tanto que el general de división Moisés del Castillo ha sido asignado al Comando de Inteligencia y Operaciones Especiales Conjuntas.","elcomercio","02/01/2016"
"Canches advierte trabas en Comisión de Ética por elecciones","La coyuntura electoral comienza a tener sus repercusiones en el Congreso, especialmente durante el receso parlamentario. Es por ello que el presidente de la Comisión de Ética, Rogelio Canches, advirtió sobre posibles trabas para demorar las investigaciones pendientes. Canches indica haber remitido un oficio escrito a los miembros del grupo de trabajo para determinar si es posible sesionar pese al receso, pues el reglamento del Congreso lo habilita. Existen trabas para no sesionar porque se viene la campaña y se quiere aguantar todas las denuncias pendientes que suman 13, indicó a El Comercio. En ese sentido, el legislador de Unión Regional señaló que ya comenzaron a llegar denuncias por faltas éticas ligadas a la campaña. Hemos recibido una denuncia contra el congresista José Luna por el uso de su universidad en la campaña, pero tenemos que analizarla, expresó. Otros pendientes Entre los casos que ya están para emitir un informe final se encuentra el del nacionalista Agustín Molina, acusado de recortarle el sueldo a sus trabajadores; así como una denuncia por calificar contra el legislador Jorge Rimarachín por supuestamente haber allanado unos terrenos de campesinos. De otro lado, Canches lamentó que no se haya aprobado la investigación contra Juan José Díaz Dios por agresión física. Lamentablemente tengo que decirlo: all hicieron lobby para no investigarlo, manifestó.","elcomercio","02/01/2016"
