"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"Venezolanos caen por muerte de policía";"NA";"NA";"La noche del 18 de febrero, Royner Navarro y José Ramírez, localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4"
"Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’";"EN ATE";"NA";"NA";"trome";"2020-03-13";"4"
"Chapan a ‘Borrado’ por robar banco";"CERCADO DE LIMA";"NA";"Detectives Antirrobo arrestaron a un taxista, en el Cercado de Lima, y sospechan que habría participado en el asalto a un banco y a un cambista, donde robaron más de 20 mil soles.";"trome";"2020-03-13";"4"
"“July” iba a asaltar grifo""";"COMAS";"NA";"Una peligrosa mujer, de la banda ‘Los Rápidos de Korichana’, fue detenida cuando iba a asaltar un grifo en Comas. En su brasilero escondía un revólver.";"trome";"2020-03-13";"4"
"Atrapan a mañosos";"CARABAYLLO";"NA";"Dos depravados fueron arrestados en Carabayllo y la Policía los acusa de haber violado a dos menores de edad, a quienes les habían capturado por Facebook. Christian Quintanilla Aragón (40) y Benancio Baltazar Carabajal (51) cayeron en un departamento del condominio ‘Sol de Carabayllo’. A este lugar llegaron a dos adolescentes, a las que dieron licor con sustancias tóxicas para doparlas. Una de ellas escapó y dio aviso a la Policía.";"trome";"2020-03-13";"4"
"Venezolanos caen por muerte de policía";"NA";"NA";"La noche del 18 de febrero, Royner Navarro y José Ramírez, localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4"
"Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’";"EN ATE";"NA";"NA";"trome";"2020-03-13";"4"
"Chapan a ‘Borrado’ por robar banco";"CERCADO DE LIMA";"NA";"Detectives Antirrobo arrestaron a un taxista, en el Cercado de Lima, y sospechan que habría participado en el asalto a un banco y a un cambista, donde robaron más de 20 mil soles.";"trome";"2020-03-13";"4"
"“July” iba a asaltar grifo""";"COMAS";"NA";"Una peligrosa mujer, de la banda ‘Los Rápidos de Korichana’, fue detenida cuando iba a asaltar un grifo en Comas. En su brasilero escondía un revólver.";"trome";"2020-03-13";"4"
"Atrapan a mañosos";"CARABAYLLO";"NA";"Dos depravados fueron arrestados en Carabayllo y la Policía los acusa de haber violado a dos menores de edad, a quienes les habían capturado por Facebook. Christian Quintanilla Aragón (40) y Benancio Baltazar Carabajal (51) cayeron en un departamento del condominio ‘Sol de Carabayllo’. A este lugar llegaron a dos adolescentes, a las que dieron licor con sustancias tóxicas para doparlas. Una de ellas escapó y dio aviso a la Policía.";"trome";"2020-03-13";"4"
