"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El loco del martillo";"NA";"La Seño María";"Hoy en día, uno pensaría que...";"trome";"2021-03-02";"2"
"Contento por fin de cuarentena";"Habla Trome";"Ismael Lazo, Vecino de San Luis";"Estoy feliz porque el levantamiento de la cuarentena nos permite volver a disfrutar de actividades cotidianas y reunirnos con amigos y familiares. Aunque todavía debemos ser cuidadosos y seguir las medidas sanitarias para evitar contagios, es un gran alivio poder respirar un poco más libremente.";"trome";"2021-03-02";"2"
"El crimen increíble cobertura";"NA";"NA";"Ayer me tocó cubrir el conocido como 'el rescate del loco del martillo'. El caso que se ha vuelto tan famoso parece sacado de una película, con un escenario inesperado y actores involucrados en un drama lleno de giros. La cobertura mediática fue intensa, reflejando el impacto social que este suceso ha tenido.";"trome";"2021-03-02";"2"
"El loco del martillo";"NA";"Trome";"Según los amigos, Climaco estaba algo intranquilo antes del incidente. El asesino, apodado 'el loco del martillo', actuó en un momento de ira y desesperación, dejando a la víctima sin posibilidad de defensa. La policía logró capturar al agresor poco después, pero el impacto emocional en la comunidad sigue siendo fuerte.";"trome";"2021-03-02";"2"
"La historia del sonambulo";"NA";"Trome";"El periodista legendario de policiales cuenta que el asesino del 'renzo he martillol' es un caso que ha intrigado a muchos. Climaco Basombrio, apodado 'el loco del martillo', cometió su crimen en una noche de julio hace 120 años, dejando una marca indeleble en la historia criminal del país.";"trome";"2021-03-02";"2"
"El rescate escandaloso";"NA";"Trome";"Durante el levantamiento de la cuarentena, un grupo de hampones entró a una canchita serrana para ensayar con su banda de rock subterráneo. Sin embargo, lo que parecía ser una simple reunión musical se convirtió en un escándalo cuando los vigilantes descubrieron el plan y la operación fue frustrada por las autoridades.";"trome";"2021-03-02";"2"
"La tragedia del martillo";"NA";"Trome";"Silvana Vargas lamenta que su hermana, una trabajadora del hogar, fuera víctima de un ataque brutal. El agresor, con un martillo en mano, la golpeó repetidamente hasta dejarla inconsciente. A pesar de los esfuerzos médicos, la joven no pudo sobrevivir a sus heridas.";"trome";"2021-03-02";"2"
"El juicio del loco";"NA";"Trome";"Durante dos años, el juicio se repitió con las mismas acusaciones y defensas. Los psiquiatras debatieron si Climaco podía ser considerado un peligro público o si su estado mental justificaba una pena más indulgente. Finalmente, la decisión del tribunal dejó a muchos en el país reflexionando sobre la justicia y la rehabilitación.";"trome";"2021-03-02";"2"
"El legado de un crimen";"NA";"Trome";"Este caso ha sido analizado por expertos en toxicología y psicología criminal, quienes intentan entender las motivaciones detrás del acto. La comunidad sigue conmocionada, recordando a la víctima y buscando respuestas sobre cómo prevenir futuros crímenes de esta naturaleza.";"trome";"2021-03-02";"2"
"El impacto social";"NA";"Trome";"La cobertura mediática del 'loco del martillo' ha generado un debate público sobre la seguridad ciudadana y el tratamiento de personas con problemas mentales. Muchos piden medidas más estrictas para prevenir crímenes violentos, mientras que otros abogan por una mayor atención a la salud mental en el país.";"trome";"2021-03-02";"2"
