"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"EL LOCo DEL MARTILLO";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"CONTENTO POR FIN DE CUARENTENA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"RESUMEN";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"INDIGNADO POR RESCATE DE REO";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"CONTAGIO";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ROJO";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"TR;";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"NO A LA VACUNA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"SI A LA VACUNA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
"ENCUESTA";"";"NA";"No information available for this record.";"trome";"2021-03-02";"2"
