"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"NA";"NA";"NA";"El presidente Alberto Fernández anunció hoy el pago de un bono de $7000 para jubilados y pensionados. El anuncio se realizó en un acto en Casa Rosada, donde el mandatario estuvo acompañado por varios de sus ministros. El bono se pagará en dos cuotas de $3500 en enero y febrero, y alcanzará a más de 7 millones de personas. Fernández destacó que esta medida busca aliviar el impacto de la inflación en los ingresos de los jubilados y pensionados, y aseguró que su gobierno seguirá trabajando para mejorar su calidad de vida. Por su parte, representantes de organizaciones de jubilados y pensionados recibieron el anuncio con satisfacción, aunque pidieron que se evalúen otras medidas para garantizar un aumento permanente de las jubilaciones.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El dólar blue cerró hoy a $320, marcando un nuevo máximo histórico. La cotización del dólar paralelo sigue en ascenso, impulsada por la incertidumbre económica y la demanda de divisas. Analistas advierten que la brecha entre el dólar oficial y el dólar blue podría seguir ampliándose en las próximas semanas, lo que podría generar tensiones en la economía. El Banco Central intervino en el mercado cambiario para tratar de contener la subida del dólar, pero sin resultados significativos.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de créditos para pequeñas y medianas empresas (PyMEs). El programa, que cuenta con una financiación de $500 millones, permitirá a las PyMEs acceder a créditos a tasas subsidiadas para financiar sus proyectos de inversión y capital de trabajo. El objetivo del programa es impulsar el crecimiento económico y generar empleo. Las PyMEs interesadas en acceder a los créditos podrán presentar sus solicitudes a través de las entidades bancarias adheridas al programa.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Salud informó hoy que se registraron 500 nuevos casos de dengue en las últimas 24 horas. Con este aumento, el número total de casos confirmados en lo que va del año asciende a 10.000. Las autoridades sanitarias alertaron sobre el riesgo de una epidemia de dengue y recomendaron a la población tomar medidas preventivas para evitar la propagación del virus.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Servicio Meteorológico Nacional (SMN) informó que se espera una ola de calor para los próximos días en gran parte del país. Las temperaturas podrían superar los 40 grados en algunas provincias. Las autoridades sanitarias recomendaron a la población tomar medidas preventivas para evitar los golpes de calor, como hidratarse adecuadamente, evitar la exposición al sol en las horas pico y usar ropa ligera.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un aumento en las tarifas del transporte público. El aumento, que se aplicará a partir del próximo mes, alcanzará a los colectivos, trenes y subterráneos. Las autoridades justificaron el aumento argumentando que es necesario para garantizar la sustentabilidad del sistema de transporte público.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Educación informó hoy que se suspenden las clases en algunas escuelas debido a las altas temperaturas. La medida, que se aplicará en las provincias más afectadas, busca proteger la salud de los alumnos y evitar los golpes de calor.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un nuevo plan de viviendas para familias de bajos recursos. El plan, que cuenta con una financiación de $200 millones, permitirá construir 5000 nuevas viviendas en todo el país.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Trabajo informó hoy que la tasa de desempleo se mantuvo estable en el 9% durante el último trimestre. Según las autoridades, la economía sigue mostrando signos de recuperación, pero el ritmo de crecimiento es lento.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de becas para estudiantes universitarios. El programa, que cuenta con una financiación de $100 millones, permitirá otorgar becas a 10.000 estudiantes de bajos recursos.";"trome";"2021-03-02";"2"
