"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. Los aviones serán utilizados para reforzar la defensa aérea del país y reemplazar la flota de aviones Mirage III que se encuentra obsoleta.";"trome";"2021-03-02";"2"
"El dólar blue sube y alcanza un nuevo récord";"NA";"NA";"El dólar blue cerró la jornada de hoy en un nuevo máximo histórico, alcanzando los $350. La subida se debe a la incertidumbre económica y política que vive el país, así como a la alta demanda de divisas por parte de empresas y particulares. Los analistas advierten que esta tendencia podría continuar en los próximos días.";"trome";"2021-03-02";"2"
"La Selección Argentina se prepara para el Mundial";"NA";"NA";"La Selección Argentina se prepara intensamente para el Mundial de Qatar, que se celebrará a partir del 20 de noviembre. El equipo dirigido por Lionel Scaloni se encuentra concentrado en Ezeiza, donde realiza entrenamientos y trabajos de preparación física. Los jugadores se muestran optimistas y confiados en poder lograr un buen desempeño en el torneo.";"trome";"2021-03-02";"2"
"El Banco Central sube la tasa de interés";"NA";"NA";"El Banco Central de la República Argentina (BCRA) subió la tasa de interés de referencia en 300 puntos básicos, llevándola al 75%. La medida busca contener la inflación y evitar una mayor depreciación del peso. Los analistas advierten que esta medida podría tener un impacto negativo en la actividad económica.";"trome";"2021-03-02";"2"
"El Gobierno anuncia nuevas medidas para combatir la inflación";"NA";"NA";"El Gobierno anunció una serie de nuevas medidas para combatir la inflación, que incluyen la reducción de impuestos a ciertos productos, el aumento de las tasas de interés y el control de precios. Las medidas buscan frenar el aumento de los precios y proteger el poder adquisitivo de los ciudadanos.";"trome";"2021-03-02";"2"
"El dólar oficial supera los $200";"NA";"NA";"El dólar oficial superó hoy los $200, alcanzando un nuevo récord histórico. La subida se debe a la alta demanda de divisas por parte de empresas y particulares, así como a la incertidumbre económica y política que vive el país. El Gobierno intenta controlar la situación a través de medidas cambiarias.";"trome";"2021-03-02";"2"
"El Gobierno lanza un nuevo programa de asistencia social";"NA";"NA";"El Gobierno lanzó un nuevo programa de asistencia social destinado a familias de bajos recursos. El programa incluye la entrega de alimentos, ropa y útiles escolares, así como la capacitación laboral. El objetivo es mejorar las condiciones de vida de los sectores más vulnerables de la población.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo aumento en las tarifas de los servicios públicos";"NA";"NA";"El Gobierno anunció un nuevo aumento en las tarifas de los servicios públicos, como la electricidad, el gas y el agua. El aumento se justifica por la necesidad de cubrir los costos de producción y garantizar la calidad del servicio. La medida generó críticas por parte de la oposición y los usuarios.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo plan de obras públicas";"NA";"NA";"El Gobierno anunció un nuevo plan de obras públicas que incluye la construcción de carreteras, hospitales y escuelas. El plan tiene como objetivo generar empleo y mejorar la infraestructura del país. La inversión total estimada es de 10.000 millones de dólares.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo acuerdo con el Fondo Monetario Internacional";"NA";"NA";"El Gobierno anunció un nuevo acuerdo con el Fondo Monetario Internacional (FMI) por un monto de 4.000 millones de dólares. El acuerdo permitirá al país refinanciar su deuda externa y obtener nuevos financiamientos. La oposición critica el acuerdo por considerar que impone condiciones demasiado duras.";"trome";"2021-03-02";"2"
