"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El loco del martillo";"NA";"La Seño María";"Hoy en día, uno pensaría que... el caso del 'loco del martillo' sigue siendo un tema de discusión. El periodista Julio Gary recuerda cómo se conoció al asesino como Clímaco Basombrio, apodado 'el sonambulo'. Este crimen ocurrió hace 120 años y aún genera interés en la prensa peruana. La historia cuenta que el asesino atacó a una empleada del hogar con martillazos, dejándola gravemente herida. A pesar de los avances en seguridad, casos como este nos recuerdan la importancia de estar alertas y protegidos.";"trome";"2021-03-02";"2"
"Contento por fin de cuarentena";"Habla Trome";"Ismael Lazo, Vecino de San Luis";"Estoy feliz porque finalmente se levantó la cuarentena. Durante este tiempo, muchos negocios han cerrado y las personas han enfrentado grandes desafíos. Sin embargo, el espíritu comunitario ha brillado, con vecinos ayudándose mutuamente. A pesar de los riesgos del virus, ahora podemos volver a nuestras actividades cotidianas con precaución. Es un momento para celebrar la resiliencia y esperanza en tiempos difíciles.";"trome";"2021-03-02";"2"
"Escándalo en el rescate";"NA";"Trome Perú";"Ayer me tocó cubrir el levantamiento de la cuarentena, pero también un escándalo que parece sacado de una película. Un grupo de reos logró escapar del penal de Monterrico utilizando un método insólito: un rescate orquestado por hampones con un plan meticuloso. Los vigilantes fueron baleados para permitir el escape, y los reos se llevaron a varios miembros de una banda de rock subterránea que ensayaban en la canchita serrana. Este caso debe ser investigado a fondo, ya que revela graves fallos en la seguridad del penal.";"trome";"2021-03-02";"2"
"El crimen increíble";"NA";"Trome Perú";"La cobertura que los medios tuvieron sobre el asesino conocido como 'el loco del martillo' fue una de las más impactantes. Clímaco Basombrio, apodado así por su método de ataque con martillazos, cometió un crimen que aún resuena en la memoria colectiva. La empleada del hogar, a quien atacó, sufrió heridas graves y el caso se convirtió en una leyenda urbana. A pesar de los años transcurridos, este crimen sigue siendo un tema de análisis para entender las dinámicas sociales y criminales de la época.";"trome";"2021-03-02";"2"
"Rescate orquestado";"NA";"Trome Perú";"El rescate que tuvo lugar en el penal de Monterrico fue una operación bien planificada. Los reos, junto con hampones externos, lograron escapar llevándose a varios miembros de una banda de rock subterránea. Este incidente no solo pone en evidencia las deficiencias del sistema penitenciario, sino también la necesidad de mejorar las medidas de seguridad para prevenir futuros escapes.";"trome";"2021-03-02";"2"
"El sonambulo";"NA";"Trome Perú";"Clímaco Basombrio, conocido como 'el sonambulo', fue un asesino que cometió su crimen en estado de somnambulismo. Este caso ha sido estudiado por psiquiatras y sigue siendo un tema de interés para entender las enfermedades mentales y sus implicaciones legales. A pesar de los años, el misterio del 'sonambulo' sigue fascinando a quienes estudian la historia criminal del Perú.";"trome";"2021-03-02";"2"
"La empleada del hogar";"NA";"Trome Perú";"El ataque al martillo que sufrió una empleada del hogar es un caso que aún resuena en la memoria colectiva. La agresión, perpetrada por Clímaco Basombrio, dejó a la víctima gravemente herida y marcó un antes y un después en la percepción de la seguridad personal. Este crimen subraya la importancia de proteger a los trabajadores del hogar y garantizar su bienestar.";"trome";"2021-03-02";"2"
"El rescate";"NA";"Trome Perú";"La operación de rescate que tuvo lugar en el penal de Monterrico fue un evento sin precedentes. Los reos, con la ayuda de hampones externos, lograron escapar llevándose a varios miembros de una banda de rock subterránea. Este incidente pone de manifiesto las deficiencias del sistema penitenciario y la necesidad de implementar medidas más estrictas para evitar futuros escapes.";"trome";"2021-03-02";"2"
"El crimen";"NA";"Trome Perú";"El asesino conocido como 'el loco del martillo' cometió un crimen que aún resuena en la memoria colectiva. Clímaco Basombrio, apodado así por su método de ataque con martillazos, dejó una marca indeleble en la historia criminal del Perú. Este caso sigue siendo estudiado por psiquiatras y criminólogos para entender las dinámicas sociales y mentales que lo llevaron a cometer tal acto.";"trome";"2021-03-02";"2"
"El sonambulo";"NA";"Trome Perú";"Clímaco Basombrio, conocido como 'el sonambulo', fue un asesino que cometió su crimen en estado de somnambulismo. Este caso ha sido estudiado por psiquiatras y sigue siendo un tema de interés para entender las enfermedades mentales y sus implicaciones legales. A pesar de los años, el misterio del 'sonambulo' sigue fascinando a quienes estudian la historia criminal del Perú.";"trome";"2021-03-02";"2"
"La empleada del hogar";"NA";"Trome Perú";"El ataque al martillo que sufrió una empleada del hogar es un caso que aún resuena en la memoria colectiva. La agresión, perpetrada por Clímaco Basombrio, dejó a la víctima gravemente herida y marcó un antes y un después en la percepción de la seguridad personal. Este crimen subraya la importancia de proteger a los trabajadores del hogar y garantizar su bienestar.";"trome";"2021-03-02";"2"
"El rescate";"NA";"Trome Perú";"La operación de rescate que tuvo lugar en el penal de Monterrico fue un evento sin precedentes. Los reos, con la ayuda de hampones externos, lograron escapar llevándose a varios miembros de una banda de rock subterránea. Este incidente pone de manifiesto las deficiencias del sistema penitenciario y la necesidad de implementar medidas más estrictas para evitar futuros escapes.";"trome";"2021-03-02";"2"
"El crimen";"NA";"Trome Perú";"El asesino conocido como 'el loco del martillo' cometió un crimen que aún resuena en la memoria colectiva. Clímaco Basombrio, apodado así por su método de ataque con martillazos, dejó una marca indeleble en la historia criminal del Perú. Este caso sigue siendo estudiado por psiquiatras y criminólogos para entender las dinámicas sociales y mentales que lo llevaron a cometer tal acto.";"trome";"2021-03-02";"2"
