"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"NA";"NA";"NA";"El presidente Joe Biden anunció hoy que el gobierno federal...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"La ciudad de Lima está en alerta naranja debido a la...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Educación anunció hoy que se suspenderán las...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"La empresa minera Southern Copper Corp. informó hoy que su...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El gobierno regional de La Libertad declaró hoy el estado de...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"La cantante y compositora Taylor Swift anunció hoy que lanzará...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Salud reportó hoy un nuevo récord de casos...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"La empresa minera Gold Fields informó hoy que su mina Salobo...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El presidente Pedro Castillo anunció hoy que el gobierno...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"La ciudad de Arequipa se encuentra en alerta roja debido a...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Educación anunció hoy que se suspenderán las...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"La empresa minera Southern Copper Corp. informó hoy que su...";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El gobierno regional de La Libertad declaró hoy el estado de...";"trome";"2021-03-02";"2"
