"headline","content","newspaper","date"
"ena 14aosydescubrilo","que sera su pasatiempo: parar radios y amplificadores.  Aosdespus, abrun ller, Fender Radio and Record Shop, donde arreglaba y perfeccionaba el sonido de aparatos malogrados. Perea los 36 aos fund con su socio, Clayton Kauffman, su propia empresa, dedicada a crear  parlantes y tarras hawaianas l.apSteel.  Visionaro ennovedor Sabiendo que ganaba ms inventando sus propios deseos que reparando los de otros, Leo Fender apost todo su capital a innovar. As naci la primera guitarra de cuerpo slido (es decir, sin caja acstica): la ter (hoy llamada ter). Kauffman, sin embargo, no creyesu amigo y se sali del negocio.  Fender sigui solo su aventura y en 1951 fund Fender Musical Instrument :…: gestion diariogestion.com.pe  mens, all cre el primer bajo elctrico y en1954vio la luz la mundialmente famosa Stratocaster.  Aos finalas  En 1965, a Fender le diagnosticaron por error una enfermedad mortal. Decide entonces vendersu sa a Columbia ting System (CBS) , que pag US$13 millones.  Debidoala alta demanda de instrumentos por la irrupcin del rock, la CBS prefiri anteponer cantidad en vez de calidad asus productos. Eso fren elauge de la compaa, segn expertos. Aos despus, un trabajador de la CBS compr la firma yle devolvisu nombre original.  Por su parte, Fender, al constatarque no estaba enfermo,se una Music Man y luego G&L, empresas conlas quesigudiseande guitarras hasta 1991.","gestion","28/04/2016"
"Nmeros rojos","Para Fender, la venta de gutarras disminuy en los ltimosaos. En 312011, la compaa report ganancias por US$ 700 millones, mientras que en el 2012 creciemna US$ 622millones ya US$ 505 millones en el 2015, segn Expansin.","gestion","28/04/2016"
"Ayudan!wador.5lf—ereci biuna solicitud de Ecuador para conbaroon unalneade crédito, después del terremoto que azotalapas.","La entidad estarán analizando la solicitud que hizo Ecuador para contar con el llamado instrumento de Financiamiento Rápido (FR) mientras las inversiones en infraestructura van a la zaga de las de los países asiáticos con los que compite Latinoamérica en los mercados de exportación, dijo el reporte. Sin embargo, el impacto de la depreciación de las monedas más fuertes en la inflación regional ha sido menor que en el pasado, gracias a regímenes cambiarios más flexibles y.","gestion","28/04/2016"
"Referendo en Venezuela","Oposición a reunir firmas para revocar a Maduro (Agendas) Opositores venezolanos iniciaron una campaña de recolección de firmas que les permitirá realizar un referendo para revocar el mandato del presidente Nicolás Maduro, mientras focos de protestas sacuden a varias ciudades del país. Como respuesta, Maduro consideró sin ‘viabilidad política’ lo intentos de la oposición para buscar la salida de Maduro. ‘Nada de lo que están haciendo tiene viabilidad política, y la revolución aquí se va a mantener, yo voy a continuar siendo este presidente por lo menos hasta el 2018’, manifest Maduro en un encuentro con sus seguidores. Venezuela está atravesando una dura crisis de escasez, una fuerte alza de los precios y una recesión, que en las últimas semanas se ha agravado por cortes diarios de agua y electricidad que causaron descontento y fortalecieron los argumentos de la oposición para buscar la salida de Maduro. Jueves 28 de abril de 2016 GESTIÓN. SOS empieza MADURO EHUA a Mela. Oposición necesita 3197,000 firmas para seguir el proceso. Protesta En la ciudad petrolera de Maracaibo, las autoridades contabilizaron el martes 30 pequeñas manifestaciones antigubernamentales, vehículos quemados y una veintena de saqueos a comercios, entre ellos supermercados y farmacias. Ayer no se registraron protestas, pero algunas vías amanecieron repletas de basura y escombros, que las autoridades despejaron rápidamente, según cuenta.","gestion","28/04/2016"
"Chile, Brasil, Estados Unidos","Incertidumbre por Temer no subirá impuestos ante crisis Trump y Clinton equilibrio de las cuentas públicas de Brasil y teniendo en cuenta la cercanía de . Tribuna Constitucional (TC) contaron a la agencia de noticias Reuters. Breves ... CHILE BRASIL ESTADOS UNIDOS Incertidumbre por Temer no subirá impuestos ante crisis Trump y Clinton reforma laboral Equilibrar las castigadas Romero jur, presidente interino del Tribunal Constitucional (TC) cuentas escalas de Brasil y teniendo en cuenta la cercanía de . El republicano Donald Trump y la demócrata Hillary Clinton empezaron rápidamente a intercambiar críticas, con un ojo puesto en la elección presidencial de noviembre, tras historias en los estados nororientales tales de Estados Unidos. La contienda se traslada ahora a Indiana, que podría ser la mejor oportunidad de Cruz para frenar el impulso de Trump. Juicio ?8<1c.b…1 (101?()I6$GESTIÓN AVISO 19 & % número ) cnunn Calquipa QUÍMICA NATURAL CALQUIPA S.A.C. A la opinión pública Calquipo S.A.C., compañía subsidiaria de Grupo Calidra S.A. de CV., empresa líder con más de un siglo en la industria de la cal en México, se dirige a la opinión pública, en referencia al comunicado de Inversiones G & Minerales S.A.C., publicado el miércoles 27 del presente, para manifestar lo siguiente: Negamos y rechazamos categóricamente toda alusión a que nuestras actividades económicas se encuentren vinculadas al tráfico ilegal de insumos químicos, puesto que el embarque en cuestión estaba dirigido a una importante empresa minera. Así mismo, el transporte de nuestros productos el pasado 25 de abril se realizó contando con todas las autorizaciones y documentos requeridos, debidamente emitidos por la SUNAT. Somos una compañía de capitales mexicanos que en marzo de 2011 decidió invertir en el Perú; ya tal efecto, cumplimos puntualmente con obtener todos y cada uno de los títulos y actos administrativos habilitantes requeridos por la legislación peruana. Hoy, tras haber observado rigurosamente el marco normativo peruano, nos enorgullece poder ofrecer un producto que cumple con los más altos estándares de calidad, como lo es OXID xido de Calcio, cuyo precio es de US$70/TM, el que, comparado con el de US$ 140/TM del mercado actual, brinda un significativo ahorro a nuestros clientes. En ese sentido, reiteramos nuestro compromiso de seguir operando con absoluta observancia de las leyes del Perú, generando empleo formal en el marco de la responsabilidad social corporativa, respetando el medio ambiente y, promoviendo la libre competencia en la industria de la cal en Arequipa. Arequipa, 27 de abril de 2016 Calquipa S.A.C. Urb San José D-11, Yanahuara. Arequipa Tel: 054 270702","gestion","28/04/2016"
"Flancos abiertos","NARCOTERRORISMO. La política antidrogas y la situación del valle de los ríos Apurímac, Ene y Mantaro (Vraem) no despiertan mucho interés en la opinión pública, menos que ocurra una tragedia. Como la del 9 de abril, el día previo a las elecciones, cuando una patrulla del Ejército que transportaba material electoral fue boscada por terroristas. En el ataque, murieron diez personas —ocho militares y dos civiles—, pero con la atención puesta en los resultados de la primera vuelta y el inicio de la segunda, hemos vuelto a olvidar el tema. ‘Sobre esta problemática, los candidatos a la Presidencia no se han pronunciado’. La existencia de remanentes terroristas, financiados por el narcotráfico, es un indicio de que la política antidrogas tiene varios flancos abiertos. En primer lugar, la inteligencia, pues si bien las zonas donde operan esos grupos son de difícil acceso, existen las herramientas tecnológicas adecuadas para detectar su presencia. Es cierto que son muy sofisticadas y costosas, pero los beneficios que aportarían serían inmensamente superiores. Al parecer, la capacitación de las fuerzas del orden tampoco está a la altura de la responsabilidad, lo mismo que la logística y la articulación de la política antidrogas con la política económica y social no funcionan. Hace falta una visión moderna en la sustitución de cultivos —es decir, que puedan ofrecerse al mercado y reporten retornos a los agricultores-. Otro flanco abierto es la comunicación. El Gobierno falló en informar adecuadamente sobre el ataque y maltrato a los familiares de las víctimas, que se enteraron por los medios de que sus seres queridos habían fallecido. El narcotráfico es más nocivo que el terrorismo y su presencia se hace cada vez más notoria en las zonas urbanas no solo con lo que sucede en las calles de la ciudad o el taponado caso Oropeza, sino también en la política. Según el especialista Jaime Antezana, existirían 21 cocandidatos electos y están repartidos en todas las agrupaciones que tienen presencia en el Congreso. Sobre esta problemática, los candidatos a la Presidencia no se han pronunciado ni han profundizado en sus planes de gobierno. ¿Acaso no merece su atención? No basta ir al Vraem ni todo se puede resolver con infraestructura, también se requiere una política antidrogas y hasta el momento ningún candidato al sillón de Pizarro la ha planteado claramente.","gestion","28/04/2016"
"El pragmatismo como problema","OPINION INTERNACIONAL Falta de poder e influencia su afines los países chicos o medianos, como el Perú, suelen sobreponderar la recurrencia a principios como instrumentos de ética exterior. Algunos piensan, simplistamente, que su adecuado cumplimiento otorgará a estos países mayor gravitación internacional. Esta versión de ética exterior está reñida con el pragmatismo como principal característica de la acción externa. Más aún cuando esta es condicionada por una cierta ilusión de eficacia derivada de una gestión interna generalmente coercitiva. Y, sin embargo, como si fuera novedad, algunos polítologos se preocupan hoy por elogiar el pragmatismo como la virtud principal del fujimorismo. El problema con este enfoque es que el pragmatismo es débil e incierto. El pragmatismo liberal puede sacrificar por un tiempo las virtudes del bien político en la solución de problemas. Y en tiempos mercantilistas, el pragmatismo no tendrá ningún pacto con el abuso del poder para emprender el ordenamiento interno. Por carecer de una referencia principista, el pragmatismo puede justificar cualquier trasgresión. Así un gobernante ‘pragmático’, que en el Perú conduce también la política exterior como representante del Estado y la Nación, puede no contrariar contradicción en el desempeño de sus funciones con el hecho de ser japonés o de ser tratado como tal por autoridades japonesas. Casos, si la primera dama que acompañaba al gobernante pragmático pretendía luego dirigir la política exterior del Perú en un ámbito en que el Japón gravita (digamos, la cuenca del Pacífico), carecería de la capacidad suficiente con los interlocutores involucrados y generar incertidumbre entre los ciudadanos peruanos manos cada vez que lo intente. Y si ese expresidente protegió a su principal asesor cuando este vendió armas mal habidas a las FARC (el hecho fue denunciado por el presidente Pastrana), su heredera generará cierta alerta cuando intente presidir con la autoridad nacional, digamos, una reunión de Gabinete binacional. Especialmente, si ella era primera dama cuando se produjeron los hechos en las selvas colombianas. Por lo demás, qué tranquilidad podr tener la ciudadana si una eventual presidenta, que era ex primera dama cuando su progenitor fue interrogado en secreto por autoridades chilenas a las que él se entregó, deba tratar asuntos como, digamos, el triángulo terrestre pendiente de solución? Si el pragmatismo no involucra sólo la negociación de un contrato de hidrocarburos sino el conjunto de la soberanía nacional, entonces es evidente que la gestión y contenido de la política exterior que esa eventual gobernante quisiera conducir carecería del sustento elemental hasta para resultar eficaz (su tan mentada virtud). En tiempos en que esa política implica una inserción diversificada y compromete al conjunto del sector público y privado, el pragmatismo debe ser cuidadosamente evaluado.","gestion","28/04/2016"
"El voto: homo economicus o politicus?","Tras conocer los resultados de las últimas elecciones, volví a analizar estadísticamente los motivos detrás del voto (ver análisis en www.economico.org). El análisis de la relación entre el voto y diferentes variables económicas, a nivel regional, permite confirmar una serie de intuiciones sobre la relación entre el (homo economicus) y el voto, las cuales se resumen a continuación.","gestion","28/04/2016"
"El riesgo de esto está en que, mientras el PBI potencial sigue bajando y la aceleración temporal continua, se puedan generar presiones adicionales inflacionarias.","En los próximos años no se espera que las curvas de rendimiento del BCR vuelvan a estar en azul. Sea cual sea el ganador de la segunda vuelta electoral, habrá una política fiscal expansiva que llevará las cuentas fiscales a... Obra. La medida pretende dar más margen de gestión a comunas.  Impacto. De acuerdo a las últimas cifras de recaudación de la Sunat, al cierre del año pasado, cada punto porcentual del IGV equivalía a poco más de S/ 2,870 millones. Es decir, con un punto más a favor de los municipios, esta cifra tendría que repartirse entre las 1,850 comunas distritales del país.  ANDINA. Frente a una rebaja en el IGV, Semana la candidata presidencial de Fuerza Popular, Keiko Fujimori adelanta en una reciente entrevista a un medio que planeaban incrementar el aporte para el Foncomún en un punto, pero aclara que no están contemplando reducir el IGV en caso de llegar al Gobierno. Esta propuesta de su oponente PPK, de reducir gradualmente dicho impuesto.  Para 2017 se debe volver a una situación superavitaria. Para este año - calcula el organismo multilateral - se podría contar hasta en 1% del PBI de déficit, que debe acercarse a cero en el 2017. De 2018 en adelante habría que ver superávit, si es posible.  Además, este reparto no sería equitativo, porque el método estipulado en el decreto señala que primero se debe distribuir el monto total entre las 197 municipalidades provinciales, y después cada una de estas debe repartir el monto que le toca entre todos los distritos de cada provincia. De esta manera, cada provincia recibiría unos S/ 5.14.6 millones; pero, por ejemplo, Bagua repartiría esta cantidad entre sus seis distritos (S/ 2.4 millones para cada uno), mientras que Chachapoyas tendría que hacerlo entre sus 21 distritos (S/ 57000).  Cajafiscal. Si bien en neto sobre la caja fiscal el impacto de esta medida sería nulo, sí habría un cambio en la distribución de los recursos. Se entregaran más y directamente a los gobiernos locales, al margen de la cantidad que recibirá cada uno, consideró el economista tributario Guillermo Grellaud. Me parece una medida más positiva que la de reducir el IGV, que no creo que se pueda lograr, pero el tema de la recaudación hay que analizarlo mejor en función de qué tamaño de Estado queremos, explicó.  Mientras que, por otro lado, los recursos del Gobierno central se verían mermados en esos S/ 5.2870 millones que significa cada punto del IGV y, por lo tanto, la ejecución de algunos programas de entidades ministerios.","gestion","28/04/2016"
"GASODUCTO SUR PERUANO","Estudios para llevar gas del GSP a ciudades del sur estarán listos en agosto.  DIFUSIÓN. GSP. Sus estudios de ingeniería y ambientales están avanzados.  – El consorcio del Gasoducto Sur Peruano estima que este espera transportar 500 millones de pies cúbicos diarios de gas natural hacia la zona sur del país. Los estudios del Tramo C del proyecto Gasoducto Sur Peruano (GSP), que contempla la extensión de seis ramales para dotar de gas natural a las regiones de la zona sur del país, estarán listos en agosto, según informó el gerente general del consorcio concesionario, David San Frutos. El Tramo C establece ramales para llevar gas a las ciudades de Apurímac, Cuzco, Puno, Arequipa, Moquegua y Tacna.  Avance. San Frutos afirmó que los estudios de ingeniería y ambientales del gasoducto van muy avanzados, por lo que el consorcio estima que estarán listos a mediados de este año.  Operación. Por otro lado, se sabe que el Gasoducto Sur Peruano espera transportar en sus primeros años de operación cerca de 500 millones de pies cúbicos por día (mmpcd). El gerente general del citado consorcio recordó que el GSP transportará gas extraído del lote 88, el mismo que es destinado exclusivamente al consumo interno. Las reservas de gas son un tema que está gestionando el Estado con el Consorcio Camisea, en el cual el Consorcio Gasoducto Sur Peruano no forma parte.  Sin embargo, sabemos que la información que ha facilitado el Organismo Supervisor de la Inversión en Energía y Minería (Ositrán) es que sí hay las reservas suficientes, apuntó el ejecutivo.","gestion","28/04/2016"
