prefix,prefix2,augmentation,aa,ht,cv,up,samples,metric,date,eval_accuracy,eval_mean_task_accuracy,eval_macro_f1
test,results,None,False,False,False,True,1000,accuracy,2025-12-06,0.7466666666666667,0.7466666666666666,0.5444751987772916
test,results,None,False,False,False,True,1000,macro_f1,2025-12-06,0.76,0.76,0.5055124040123606
test,results,None,False,False,False,True,100,accuracy,2025-12-06,0.6266666666666667,0.6266666666666667,0.4707426872644264
test,results,None,False,False,False,True,100,macro_f1,2025-12-06,0.5466666666666666,0.5466666666666666,0.40729646360081145
test,results,None,False,False,False,True,1100,accuracy,2025-12-06,0.7890909090909091,0.7890909090909091,0.5735986453925566
test,results,None,False,False,False,True,1100,macro_f1,2025-12-06,0.8024242424242424,0.8024242424242424,0.5598897504368325
test,results,None,False,False,False,True,1200,accuracy,2025-12-06,0.7844444444444445,0.7844444444444445,0.5498478696413905
test,results,None,False,False,False,True,1200,macro_f1,2025-12-06,0.7833333333333333,0.7833333333333333,0.5082393459441321
test,results,None,False,False,False,True,200,accuracy,2025-12-06,0.7333333333333333,0.7333333333333334,0.5329044152728363
test,results,None,False,False,False,True,200,macro_f1,2025-12-06,0.7666666666666667,0.7666666666666667,0.5830787819693367
test,results,None,False,False,False,True,300,accuracy,2025-12-06,0.7377777777777778,0.7377777777777779,0.543293880875366
test,results,None,False,False,False,True,300,macro_f1,2025-12-06,0.7111111111111111,0.711111111111111,0.5402576244678452
test,results,None,False,False,False,True,400,accuracy,2025-12-06,0.6666666666666666,0.6666666666666667,0.4940675528701103
test,results,None,False,False,False,True,400,macro_f1,2025-12-06,0.6533333333333333,0.6533333333333333,0.48148681647186303
test,results,None,False,False,False,True,500,accuracy,2025-12-06,0.6986666666666667,0.6986666666666668,0.5230549206808514
test,results,None,False,False,False,True,500,macro_f1,2025-12-06,0.7253333333333334,0.7253333333333332,0.5737808847849728
test,results,None,False,False,False,True,600,accuracy,2025-12-06,0.7088888888888889,0.7088888888888889,0.5168684898219846
test,results,None,False,False,False,True,600,macro_f1,2025-12-06,0.7177777777777777,0.7177777777777777,0.5869488336210013
test,results,None,False,False,False,True,700,accuracy,2025-12-06,0.7085714285714285,0.7085714285714285,0.46508295260894633
test,results,None,False,False,False,True,700,macro_f1,2025-12-06,0.6647619047619048,0.6647619047619048,0.46651543573526216
test,results,None,False,False,False,True,800,accuracy,2025-12-06,0.74,0.74,0.45316482460416985
test,results,None,False,False,False,True,800,macro_f1,2025-12-06,0.74,0.74,0.5201706203807779
test,results,None,False,False,False,True,900,accuracy,2025-12-06,0.762962962962963,0.7629629629629628,0.5716875114546356
test,results,None,False,False,False,True,900,macro_f1,2025-12-06,0.7866666666666666,0.7866666666666667,0.5879456105875297
test,results,None,False,False,True,True,1000,accuracy,2025-12-07,0.7773333333333333,0.7773333333333333,0.5895896501121304
test,results,None,False,False,True,True,1000,macro_f1,2025-12-07,0.768,0.768,0.5140117030013516
test,results,None,False,False,True,True,1100,accuracy,2025-12-07,0.8024242424242424,0.8024242424242424,0.5612680672793704
test,results,None,False,False,True,True,1100,macro_f1,2025-12-07,0.7951515151515152,0.7951515151515152,0.5550436122764121
test,results,None,False,False,True,True,1200,accuracy,2025-12-07,0.7888888888888889,0.788888888888889,0.5420580700329847
test,results,None,False,False,True,True,1200,macro_f1,2025-12-07,0.7966666666666666,0.7966666666666666,0.5888708383158876
test,results,None,False,False,True,True,500,macro_f1,2025-12-07,0.704,0.704,0.5132082665780471
test,results,None,False,False,True,True,600,macro_f1,2025-12-06,0.7466666666666667,0.7466666666666667,0.5508817688182328
test,results,None,False,False,True,True,900,accuracy,2025-12-07,0.7570370370370371,0.7570370370370371,0.529600246405297
test,results,None,False,False,True,True,900,macro_f1,2025-12-06,0.7481481481481481,0.7481481481481482,0.5597117954480677
test,results,None,False,True,False,True,1000,accuracy,2025-12-07,0.6893333333333334,0.6893333333333334,0.43044163298593485
test,results,None,False,True,False,True,1000,macro_f1,2025-12-07,0.7186666666666667,0.7186666666666668,0.517261186347287
test,results,None,False,True,False,True,1100,accuracy,2025-12-07,0.806060606060606,0.806060606060606,0.5525744700991437
test,results,None,False,True,False,True,1100,macro_f1,2025-12-06,0.7951515151515152,0.7951515151515152,0.5686275034032348
test,results,None,False,True,False,True,1200,accuracy,2025-12-07,0.7988888888888889,0.7988888888888889,0.6238056415366316
test,results,None,False,True,False,True,1200,macro_f1,2025-12-07,0.7722222222222223,0.7722222222222221,0.4838104134129037
test,results,None,False,True,False,True,500,macro_f1,2025-12-07,0.6373333333333333,0.6373333333333333,0.4945361642137699
test,results,None,False,True,False,True,600,macro_f1,2025-12-07,0.7311111111111112,0.7311111111111112,0.5460140976423551
test,results,None,False,True,False,True,900,accuracy,2025-12-07,0.7911111111111111,0.7911111111111111,0.5563958897627093
test,results,None,False,True,False,True,900,macro_f1,2025-12-07,0.725925925925926,0.725925925925926,0.5382879362215554
