"headline","subheadline","author","content","newspaper","date","It seems you've provided some dialogue rather than full news articles for extraction. Based on your input, there's insufficient context to extract complete articles according to the specified criteria. Here’s what I can offer:"
"MARTINEZ ES CAPTURADO TRAS INTIMACIÓN DEL PJ","","","Martinez fue capturado luego de recibir intimación del Poder Judicial.","peru21","2014/07/15",""
"HERRERA GANO LAS PASANTIAS EN UNIVERSIDADES PRIVADAS","","","Herrera resultó victorioso en las pasantías ofrecidas por varias universidades privadas.","peru21","2014/07/15",""
"CAMPAMENTO INDIGNADO PROTESTA CONTINUARA HOY","","","Campamentos indignados mantienen protestas programadas para continuar hoy.","peru21","2014/07/15",""
"SINDICALISTAS AMPLIAN PARO AL TRANSPORTE PUBLICO","","","Trabajadores sindicalizados amplian medidas de huelga afectando servicios de transporte público.","peru21","2014/07/15",""
"PROMOCIONES HOTEL CASINO SAN MARCO ","- NA","","Hotel Casino San Marco ofrece diversas promociones exclusivas para visitantes.","peru21","2014/07/15",""
"FALLECIDO JOSEPH STALLINGS AUTORIZA DONACION ORGANOS","","","Joseph Stallings otorgó permisos necesarios para donar órganos después de su fallecimiento.","peru21","2014/07/15",""
"APOYO SOCIAL ENTREGA MEDICAMENTOS GRATUITOS","","","Organización Social entrega medicamentos gratuitos a comunidades vulnerables.","peru21","2014/07/15",""
"BANCOS OFRECEN TARIFAS PROMOCIONALES TEMPORALES","","","Numerosos bancos lanzan tarifas especiales temporales para nuevos clientes.","peru21","2014/07/15",""
"NUEVO PROGRAMA EDUCATIVO INCUBADORAS EMPRENDEDORES","","","Nuevo programa diseñado para incubadoras enfocándose en desarrollar habilidades empresariales.","peru21","2014/07/15",""
"Finn ¿Villarán Ya No Es De Izquierdas?","","","FA NN ¿VILLARÁN YA NO ES DE IZQUIERDA?","peru21","2014/07/15",""
"","","","Le debe haber sido especialmente doloroso a Villarán leer que el 49% considera más corrupta su gestión que la de Castañeda (27%) según Pulso rú, En lo personal la creo honesta, pero sí me inquieta que su gasto edil en consultorías solo en el primer semestre del año sea de unos astronómicos S/9.5 millones y ya de salida.","peru21","2014/07/15",""
"","","","O que ya hayan sido casi S/22 millones todo el año pasado, según Gestión. No vayan los caviares y sus ONGs a estar se ufainción allí....Lo que sí me duele cómo Villarán se ha corrido ahora tanto al centro, rompiendo toda su relación con la izquierda (TyD, PR, PS) en su lista edil. Ahí están los allegados (Augusto Rey, Castro), toledistas (Freitas y el primo de Toledo) o los disidentes de Somos Perú.","peru21","2014/07/15",""
"Tensiones Internacionales","Putin Devuelve Apoyo Ruso a Cuba","","Linda jugada de Putin de volver a otorgar respaldo renovado a Cuba la misión ‘gringa’ en Ucrania, su ’patio trasero eslavo’. ¡Eso es geopolítica!","peru21","2014/07/15",""
"Evasión Fiscal y Corrupción Local","","","Hay bastantes electorado's en el poder social A'. El 23% va a votar por Villarán. ¿Básicamente por identificación de clase, como la que siempre se detecta en RMP con ella?","peru21","2014/07/15",""
"Audiencia Dramática","'Eres un Mentiroso Probable Asesino'","","‘Eres un mentiroso probable asesino’, dice Eva Bracamonte durante el enfrentamiento legal con su hermano Ariel. Ella afirma sentirse injustamente culpada por la muerte de su madre, argumentando tener mayor amor maternal que Ariel.","peru21","2014/07/15",""
"Ataque Violento a Funcionarios","Choferes Irán a la Cárcel","","Alexander Ingaruca Sánchez y Clodomiro Huamán Tacas recibirán prisión preventiva después de ataques violentos a funcionarios de Transito.","peru21","2014/07/15",""
