"headline","content","newspaper","date"
"Blur lanza disco luego de doce años","La banda británica Blur confirmó que luego de doce años lanzará un nuevo disco este 27 de abril, titulado The Magic Whip.  Creo que no estábamos realmente pensando que estábamos haciendo un disco, pero les informo que hemos grabado uno nuevo, comunicó Damon Albarn, vocalista del grupo, durante una conferencia en Londres, y donde advirtió que es posible que este nuevo disco suene diferente a lo que han hecho antes.","peru21","20/02/2015"
"Se inician grabaciones de Spectre","El rodaje de la tan esperada película Spectre, que cuenta con la actuación de Daniel Craig, como James Bond; y la italiana Monica Bellucci, encarnando a la chica Bond, se inició ayer en la ciudad de Roma.  Las primeras escenas de la cinta se filmaron en el Museo de la Civilización Romana, bajo la atenta mirada de muchos curiosos.  El estreno de este filme está previsto para noviembre de este año.  Habrá una novedad espectacular, pero no la puedo decir... Hasta yo me sorprendí. Creo que sale algo de una descendiente que yo ni imaginaba. Pero, bueno, Peter es una caja de sorpresas y por eso también creo mucho.","peru21","20/02/2015"
"Revela que habría una gran sorpresa para su personaje","Peter en la nueva temporada de la serie, El Coqui Tapia, pero estamos viendo las posibilidades, suponiéndose, porque así como ellos han aparecido, también desaparecen. Pareja ya no se esconde. Gia e 20 EX M cen Juntos. SE RECLAMARON EN TV. col t6 Mi Intra Luis Miguel : ml::tlt|:=.o, ffent idra i a ir me pickinson; volais!; o la aggruin, revel Gue pa i Pp ee E e eme ) tucha contra la enfermedad. El vocalista de su Mai-- de quimioterapia y radiología anunció, a d EtucucO ta a satisfactoria. P3 o misiva p= E no o agrupación la lengua IV* 13 sgl tumor fue pniie o eO easado. Cag? nicial, por lo 3o ) PTCop ea de Navidad. Bruce $ M Pst t o ei a rario. astos exmenes e l F pequeokmor n ie fins de mayo pero e -- en su lengua PEAEA a E . PPl a","peru21","20/02/2015"
"Conoce el procedimiento para registrar la adquisición de un nuevo vehículo en la Superintendencia Nacional de Registros Públicos","La Sunarp ha dado la bienvenida a la recepción de los comprobantes de pago electrónicos para el registro vehicular desde el 5 de enero de este año.  Para más información, puedes llamar al teléfono 208-31000 o visitar la página web de la Sunarp: www.sunarp.gob.pe.","peru21","20/02/2015"
"Grecia acatará supervisión de las instituciones financieras internacionales","El Gobierno griego aceptó que la Comisión Europea, el Banco Central Europeo y el Fondo Monetario Internacional tendrán supervisión durante el período en que reciban asistencia financiera, según la carta de Yanis Varufakis, ministro de Finanzas, enviada a Jeroen Dijsselbloem, jefe del Eurogrupo. Además, se comprometió a no tomar acciones unilaterales que menoscaben las metas fiscales y la recuperación.","peru21","20/02/2015"
"Obama: Occidente no está en guerra con el Islam","Grupos como la milicia terrorista Estado Islámico (EI) o la red terrorista Al Qaeda han manipulado la religión para sus propios fines, dijo Obama en la capital estadounidense al término de la Cumbre contra el Extremismo Violento que se celebró en el Departamento de Estado y en la que han participado delegaciones de más de 60 países. Obama dej claro que Estados Unidos y sus aliados no están en guerra con el Islam, calificándolo como una horrible mentira utilizada por organizaciones terroristas. Destacó que el terrorismo no se combate solo con intervenciones militares, sino también atrapando a aquellos que incitan al radicalismo y reclutan jóvenes para convertirlos en terroristas.","peru21","20/02/2015"
"Bolivia: Investigan fraude de US$10 millones","Ocho organizaciones campesinas, leales al presidente boliviano Evo Morales, son investigadas por la justicia por la defraudación de unos US$10.2 millones destinados a proyectos sociales. Una investigación de la Contralora General de dicho país descubrió que los recursos de un fondo indígena fueron desviados entre 2010 y 2013, en 153 proyectos que nunca fueron ejecutados.","peru21","20/02/2015"
"Detienen a alcalde de Caracas","Antonio Ledezma, alcalde de Caracas y opositor al gobierno de Nicolás Maduro, fue detenido por el Servicio Bolivariano de Inteligencia (SEBIN), según informó la esposa del político y fuentes de la oposición venezolana.","peru21","20/02/2015"
"Parlamento francés rechaza censura contra Gobierno","Los diputados franceses rechazaron la moción de censura presentada por la oposición contra el gobierno del primer ministro Manuel Valls después de que este impusiera una ley de reformas económicas sin voto del Parlamento, lo cual ha sido criticado por la derecha y la izquierda. La ley llamada Macron fue crítica por la oposición de derecha, así como por la izquierda; ambas se oponen al giro liberal en la política económica del Gobierno Francés.","peru21","20/02/2015"
"Entrevista: Patricia Quispe V.","Lo que tiene que entender el Congreso es que nos organizamos en un estado de emergencia permanente. Solo a cambio de algo más, el problema es que requiere el respaldo del presidente para que el Ministerio de Economía logre implementar un plan integral para combatir la inseguridad, sostiene el ex viceministro del Interior Dardo López-Dolz. Prez Guadalupe es una persona integra y un profesional honesto que conoce el sector y con un nivel intelectual y de conocimiento superior al de su predecesor. Cierto es que tiene un periodo muy corto y un capital político muy chico para hacer las grandes transformaciones que se quieren, pero sí puede iniciar algunas transformaciones, sobre todo con la Policía.","peru21","20/02/2015"
