headline,content,newspaper,date,combined_text,model_0_topic,model_0_topic_label,model_0_prob,model_1_topic,model_1_topic_label,model_1_prob,model_2_topic,model_2_topic_label,model_2_prob,pos_0,pos_1,pos_10,pos_100,pos_101,pos_102,pos_103,pos_104,pos_105,pos_106,pos_107,pos_108,pos_109,pos_11,pos_110,pos_111,pos_112,pos_113,pos_114,pos_115,pos_116,pos_117,pos_118,pos_119,pos_12,pos_120,pos_121,pos_122,pos_123,pos_124,pos_125,pos_126,pos_127,pos_128,pos_129,pos_13,pos_130,pos_131,pos_132,pos_133,pos_134,pos_135,pos_136,pos_137,pos_138,pos_139,pos_14,pos_140,pos_141,pos_142,pos_143,pos_144,pos_145,pos_146,pos_147,pos_148,pos_149,pos_15,pos_150,pos_151,pos_152,pos_153,pos_154,pos_155,pos_156,pos_157,pos_158,pos_159,pos_16,pos_160,pos_161,pos_162,pos_163,pos_164,pos_165,pos_166,pos_167,pos_168,pos_169,pos_17,pos_170,pos_171,pos_172,pos_173,pos_174,pos_175,pos_176,pos_177,pos_178,pos_179,pos_18,pos_180,pos_181,pos_182,pos_183,pos_184,pos_185,pos_186,pos_187,pos_188,pos_189,pos_19,pos_190,pos_191,pos_192,pos_193,pos_194,pos_195,pos_196,pos_197,pos_198,pos_199,pos_2,pos_20,pos_200,pos_201,pos_202,pos_203,pos_204,pos_205,pos_206,pos_207,pos_208,pos_209,pos_21,pos_210,pos_211,pos_212,pos_213,pos_214,pos_215,pos_216,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_3,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,pos_36,pos_37,pos_38,pos_39,pos_4,pos_40,pos_41,pos_42,pos_43,pos_44,pos_45,pos_46,pos_47,pos_48,pos_49,pos_5,pos_50,pos_51,pos_52,pos_53,pos_54,pos_55,pos_56,pos_57,pos_58,pos_59,pos_6,pos_60,pos_61,pos_62,pos_63,pos_64,pos_65,pos_66,pos_67,pos_68,pos_69,pos_7,pos_70,pos_71,pos_72,pos_73,pos_74,pos_75,pos_76,pos_77,pos_78,pos_79,pos_8,pos_80,pos_81,pos_82,pos_83,pos_84,pos_85,pos_86,pos_87,pos_88,pos_89,pos_9,pos_90,pos_91,pos_92,pos_93,pos_94,pos_95,pos_96,pos_97,pos_98,pos_99
EL CONSUMO DE LAS FAMILIAS CRECIÓ 2.9%,"En el primer trimestre 2015, el consumo de las familias en el país aumentó 2.9% frente a igual trimestre 2012. Informó el Instituto Nacional de Estadística e Informática (INEI). Precisó que este resultado se explica principalmente por la mejora en algunos indicadores que contribuyen con el consumo de los hogares, como el empleo y los ingresos. Según la Encuesta Permanente de Empleo de Lima Metropolitana, en el trimestre de estudio, el número de personas ocupadas se incrementó en 0.1% y su ingreso mensual fue superior en 10.2% en comparación con igual trimestre 2014. Según los resultados de la Encuesta Nacional de Hogares, en el primer trimestre 2015 el gasto en alimentos consumidos dentro del hogar aumentó en 5.7%. Entre los productos que registraron un mayor incremento en el gasto están el pescado, carne, embutidos y hortalizas; alimentos preparados consumidos dentro del hogar, pan y cereales, frutas; leche, queso y huevos (4.3%), así como aceites y grasas. Además, los alimentos consumidos dentro y fuera del hogar, medidos en el Índice de Precios al Consumidor de Lima Metropolitana, aumentaron en 4.8%.",correo,2015-05-21,"EL CONSUMO DE LAS FAMILIAS CRECIÓ 2.9%. En el primer trimestre 2015, el consumo de las familias en el país aumentó 2.9% frente a igual trimestre 2012. Informó el Instituto Nacional de Estadística e Informática (INEI).  Precisó que este resultado se explica principalmente por la mejora en algunos indicadores que contribuyen con el consumo de los hogares, como el empleo y los ingresos.  Según la Encuesta Permanente de Empleo de Lima Metropolitana, en el trimestre de estudio, el número de personas ocupadas se incrementó en 0.1% y su ingreso mensual fue superior en 10.2% en comparación con igual trimestre 2014.  Según los resultados de la Encuesta Nacional de Hogares, en el primer trimestre 2015 el gasto en alimentos consumidos dentro del hogar aumentó en 5.7%. Entre los productos que registraron un mayor incremento en el gasto están el pescado, carne, embutidos y hortalizas; alimentos preparados consumidos dentro del hogar, pan y cereales, frutas; leche, queso y huevos (4.3%), así como aceites y grasas.  Además, los alimentos consumidos dentro y fuera del hogar, medidos en el Índice de Precios al Consumidor de Lima Metropolitana, aumentaron en 4.8%.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.0448,6,"economia peruana, sumaron millones, abril, primer trimestre, marzo",0.2401,237,"precios consumidor lima, tasa inflacion, indice precios consumidor, nacional lima metropolitana, precios septiembre",0.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAGO DE UTILIDADES 2014,"Se comunica, de conformidad con el Decreto Legislativo No. 892 - Ley de Utilidades y su Reglamento, a todo el personal que laboró en la empreta CARTONES VILLA MARINA S.A. - CARVIMSA durante el ejercicio fiscal del año 2014, podrán acercarse el 20 y 23 de Abril del 2015 a realizar el cobro de sus utilidades, preguntar por el área de RRHH. En caso de los trabajadores activos a la fecha, el pago de las utilidades del ejercicio 2014, se realizará a través de una transferencia bancaria. La Gerencia General.",correo,2015-03-19,"PAGO DE UTILIDADES 2014. Se comunica, de conformidad con el Decreto Legislativo No. 892 - Ley de Utilidades y su Reglamento, a todo el personal que laboró en la empreta CARTONES VILLA MARINA S.A. - CARVIMSA durante el ejercicio fiscal del año 2014, podrán acercarse el 20 y 23 de Abril del 2015 a realizar el cobro de sus utilidades, preguntar por el área de RRHH. En caso de los trabajadores activos a la fecha, el pago de las utilidades del ejercicio 2014, se realizará a través de una transferencia bancaria. La Gerencia General.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.0343,-1,Unknown,0.2018,204,"pago participacion utilidades, participacion utilidades, reparto utilidades, participar distribucion utilidades, distribucion utilidades empresa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medida no está incluida en las facultades,"PPK señala que el seguro de desempleo será un logro histórico. El jefe de Estado, Pedro Pablo Kuczynski, aseguró ayer que el seguro de desempleo, una de las propuestas planteadas en su campaña electoral, será una innovación histórica en el país y recalcó que acceder a esta protección será opcional para los trabajadores.",correo,2016-10-01,"Medida no está incluida en las facultades. PPK señala que el seguro de desempleo será un logro histórico. El jefe de Estado, Pedro Pablo Kuczynski, aseguró ayer que el seguro de desempleo, una de las propuestas planteadas en su campaña electoral, será una innovación histórica en el país y recalcó que acceder a esta protección será opcional para los trabajadores.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.1115,-1,Unknown,0.031,-1,Unknown,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPK señala que el seguro de desempleo será un logro histórico,"El jefe de Estado, Pedro Pablo Kuczynski, asegur ayer que el seguro de desempleo, una de las propuestas planteadas en su campaña electoral, será una innovación histórica en el país y recaló que acceder a esta protección será opcional para los trabajadores. Refirió que la creación de este seguro ante la pérdida del puesto de trabajo no fue incluido en el pedido de facultades legislativas que fueron delegadas al Poder Ejecutivo, sino que será materia de un proyecto de ley que se viene elaborando y que será enviado al Parlamento. Ser un proyecto que lo analizaremos en el Congreso y va a darle a la gente que está dentro del sistema, algo que nadie ha tenido en la historia del Perú hasta ahora, manifestó el mandatario, tras visitar la planta de tratamiento de agua El Milagro, en la región Cajamarca.",correo,2016-10-01,"PPK señala que el seguro de desempleo será un logro histórico. El jefe de Estado, Pedro Pablo Kuczynski, asegur ayer que el seguro de desempleo, una de las propuestas planteadas en su campaña electoral, será una innovación histórica en el país y recaló que acceder a esta protección será opcional para los trabajadores.  Refirió que la creación de este seguro ante la pérdida del puesto de trabajo no fue incluido en el pedido de facultades legislativas que fueron delegadas al Poder Ejecutivo, sino que será materia de un proyecto de ley que se viene elaborando y que será enviado al Parlamento. Ser un proyecto que lo analizaremos en el Congreso y va a darle a la gente que está dentro del sistema, algo que nadie ha tenido en la historia del Perú hasta ahora, manifestó el mandatario, tras visitar la planta de tratamiento de agua El Milagro, en la región Cajamarca.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.0373,146,"ministra trabajo, ministro trabajo, nacional trabajo cnt, ministerio trabajo, ministro trabajo promocion",1,-1,Unknown,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El nivel de ingresos en Lima Metropolitana se increment en 6.4%,"El ingreso promedio mensual de los limeños aumentó 6.4% durante el trimestre que va de mayo a julio con respecto al mismo periodo de 2015, informó INEI. De esta manera, el ingreso promedio ascendió a S/1617.5. Según sexo, el ingreso de las mujeres aumentó en 9.1% (S/111.2), en tanto que el ingreso de los hombres lo hizo en 5% (S/86.8). A pesar de ello, la brecha de género en los ingresos se mantiene. El salario promedio de los hombres es de S/523.4, mientras que el de las mujeres es de S/499. Por otro lado, de acuerdo con la Encuesta Permanente de Empleo (EPE), y según cada actividad, el ingreso promedio mensual se incrementó en mayor proporción en construcción (10.4%), manufactura (7.5%), servicios (5.4%) y comercio (4.6%). El incremento más elevado estuvo entre los que tienen educación universitaria (6.5%).",correo,2016-08-16,"El nivel de ingresos en Lima Metropolitana se increment en 6.4%. El ingreso promedio mensual de los limeños aumentó 6.4% durante el trimestre que va de mayo a julio con respecto al mismo periodo de 2015, informó INEI.  De esta manera, el ingreso promedio ascendió a S/1617.5. Según sexo, el ingreso de las mujeres aumentó en 9.1% (S/111.2), en tanto que el ingreso de los hombres lo hizo en 5% (S/86.8).  A pesar de ello, la brecha de género en los ingresos se mantiene. El salario promedio de los hombres es de S/523.4, mientras que el de las mujeres es de S/499. Por otro lado, de acuerdo con la Encuesta Permanente de Empleo (EPE), y según cada actividad, el ingreso promedio mensual se incrementó en mayor proporción en construcción (10.4%), manufactura (7.5%), servicios (5.4%) y comercio (4.6%). El incremento más elevado estuvo entre los que tienen educación universitaria (6.5%).",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.0312,-1,Unknown,0.0284,216,"desempleo lima metropolitana, empleo lima, mercado laboral lima, laboral lima metropolitana, desempleo lima",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habilidades y tareas no van de la mano, según Caf","El ministro Alfonso Grados dijo que la legislación para que empresas formen a sus trabajadores será más simple. María C. Medina Se general se calcula que el 70% de los puestos de trabajo en el Perú son informales. Sin embargo, cuando se analiza solo a los empleos formales, el índice llega a más del 80%, indicó el ministro de Trabajo y Promoción del Empleo, Alfonso Grados, durante el tiempo Reporte de Economía y Sociedad de América Latina y el Caribe 2016, realizado por la CEPAL. En este entorno, no permite a los jóvenes desarrollar una línea de carrera. Existe legislación en el país para que las empresas formen a los jóvenes en los ui ud Hay unalegisiacion que prácticamente no es utilizada por las empresas, por lo engorroso de los cumplimientos, comentó el economista jefe de la CEPAL, señal en declaraciones a Correo que está comprobada la capacidad de las grandes para desarrollar mayores aprendizajes. Este aprendizaje no se limita solo a la capacitación, sino sobre todo a través de experiencias, en empresas con compañeros de trabajo con mayor experiencia, explicó. LOS SOBRECUALIFICADOS. Otro de los problemas detectados en el estudio indica que en América Latina solo 1 de cada 10 trabajadores está bien calificado, lo cual es un problema porque no encuentran desafiantes sus tareas y no tienen incentivos para capacitarse, afirmó Sanguinetti.",correo,2016-10-25,"Habilidades y tareas no van de la mano, según Caf. El ministro Alfonso Grados dijo que la legislación para que empresas formen a sus trabajadores será más simple.  María C. Medina  Se general se calcula que el 70% de los puestos de trabajo en el Perú son informales. Sin embargo, cuando se analiza solo a los empleos formales, el índice llega a más del 80%, indicó el ministro de Trabajo y Promoción del Empleo, Alfonso Grados, durante el tiempo Reporte de Economía y Sociedad de América Latina y el Caribe 2016, realizado por la CEPAL.  En este entorno, no permite a los jóvenes desarrollar una línea de carrera. Existe legislación en el país para que las empresas formen a los jóvenes en los ui ud Hay unalegisiacion que prácticamente no es utilizada por las empresas, por lo engorroso de los cumplimientos, comentó el economista jefe de la CEPAL, señal en declaraciones a Correo que está comprobada la capacidad de las grandes para desarrollar mayores aprendizajes.  Este aprendizaje no se limita solo a la capacitación, sino sobre todo a través de experiencias, en empresas con compañeros de trabajo con mayor experiencia, explicó.  LOS SOBRECUALIFICADOS.  Otro de los problemas detectados en el estudio indica que en América Latina solo 1 de cada 10 trabajadores está bien calificado, lo cual es un problema porque no encuentran desafiantes sus tareas y no tienen incentivos para capacitarse, afirmó Sanguinetti.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.2172,-1,Unknown,0.0212,205,"laborales jovenes, ingresa mercado laboral, formalizacion laboral, mercado laboral, empleo informal",0.0739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lima sin ambulantes y recuperan espacios en Damero,"El municipio de Lima recuperó los espacios públicos del Damero de Pizarro donde habían 2 mil ambulantes, principalmente en el Jr. de la Unión.",correo,2015-01-14,"Lima sin ambulantes y recuperan espacios en Damero. El municipio de Lima recuperó los espacios públicos del Damero de Pizarro donde habían 2 mil ambulantes, principalmente en el Jr. de la Unión.",1,"ministerio transportes comunicaciones, transporte urbano, linea metro lima, ministerio transportes, transporte publico",0.0603,-1,Unknown,0.0045,101,"municipalidad lima, municipalidad victoria, comerciantes informales, alcalde victoria, comerciantes ambulantes",0.1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMERO LIBRE DE AMBULANTES,"Unos dos mil ambulantes han sido desalojados del Damero de Pizarro, informó ayer Cristian Rosenthal, gerente de fiscalización de la Municipalidad Metropolitana de Lima (MMD). Sostuvo que esa medida se logró en el marco del Primer Plan de Trabajo Enero 2015 con la movilización de 130 fiscalizadores y el apoyo en tres turnos del personal de Serenazgo de la Gerencia de Seguridad Ciudadana. Rosenthal destacó que en los primeros doce días se han realizado 270 retenciones de mercadería de los ambulantes.",correo,2015-01-14,"DAMERO LIBRE DE AMBULANTES. Unos dos mil ambulantes han sido desalojados del Damero de Pizarro, informó ayer Cristian Rosenthal, gerente de fiscalización de la Municipalidad Metropolitana de Lima (MMD). Sostuvo que esa medida se logró en el marco del Primer Plan de Trabajo Enero 2015 con la movilización de 130 fiscalizadores y el apoyo en tres turnos del personal de Serenazgo de la Gerencia de Seguridad Ciudadana. Rosenthal destacó que en los primeros doce días se han realizado 270 retenciones de mercadería de los ambulantes.",-1,Unknown,0.0913,-1,Unknown,0.0615,101,"municipalidad lima, municipalidad victoria, comerciantes informales, alcalde victoria, comerciantes ambulantes",0.1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortalecen la vocación de jóvenes,"Mediante talleres gratuitos, el Ministerio de Trabajo viene ayudando a los jóvenes entre los 16 y 24 años a cubrir su vocación. El Centro de Orientación Vocacional del sector atiende a los padres y jóvenes en dos turnos, a las 9:30 a.m. y a las 2:00 p.m., en Av. Salaverry 655, Jesús María.",correo,2016-01-19,"Fortalecen la vocación de jóvenes. Mediante talleres gratuitos, el Ministerio de Trabajo viene ayudando a los jóvenes entre los 16 y 24 años a cubrir su vocación. El Centro de Orientación Vocacional del sector atiende a los padres y jóvenes en dos turnos, a las 9:30 a.m. y a las 2:00 p.m., en Av. Salaverry 655, Jesús María.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.055,24,"nacional educacion, calidad educativa, magisterial, ministerio educacion, sistema educativo",0.1598,-1,Unknown,0.0509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falta alinear educación a las necesidades del mercado,"37.5% de fuerza laboral está mal capacitada El informe «Educación técnica y formación profesional en América Latina: El reto de la productividad», del Banco de Desarrollo de América Latina (CAF), señala que el 37.5% de la fuerza laboral está inadecuadamente capacitado en el Perú. Agrega que el reto de las instituciones educativas técnicas es enfrentar la maldad y crear medidas para promover procesos de formalización tanto del trabajador como de las empresas. El informe se presentó en el marco de la participación de la CAF en la Conferencia CADE por la Educación, que organiza IPAE y que busca que el sector educativo figure el alineamiento de la capacitación brindada a las necesidades del mercado laboral, a fin de garantizar el crecimiento sostenido del país.",correo,2015-06-20,"Falta alinear educación a las necesidades del mercado. 37.5% de fuerza laboral está mal capacitada El informe «Educación  técnica y formación profesional en América Latina: El reto de la productividad», del Banco de Desarrollo de América  Latina (CAF), señala que el 37.5% de la fuerza laboral está inadecuadamente  capacitado en el Perú. Agrega que el reto de las instituciones educativas técnicas es enfrentar la  maldad y crear  medidas para promover  procesos de formalización tanto del trabajador como de las empresas. El informe se presentó en el marco de la participación de la CAF en la Conferencia CADE por la Educación, que organiza IPAE y que busca que el sector educativo  figure el alineamiento de la  capacitación brindada a las  necesidades del mercado laboral, a fin de garantizar el  crecimiento sostenido del país.",16,"tasa desempleo, informalidad laboral, trabajo promocion empleo, promocion empleo mtpe, promocion empleo",0.0494,24,"nacional educacion, calidad educativa, magisterial, ministerio educacion, sistema educativo",1,-1,Unknown,0.0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
