"headline","content","newspaper","date"
"MAXIMA ACUA, HEROINA DEL MEDIO AMBIENTE","Recibe hoy el prestigioso Premio Medioambiental Goldman. Considerada el Nobel del medio ambiente, será honrada en Estados Unidos por proteger su territorio frente a intereses mineros.","publimetro","18/04/2016"
"LA II BIENAL MARIO VARGAS LLLOSA ABRE SUS ACTIVIDADES","Comienza hoy participación de varios autores latinoamericanos y españoles. Actividades arrancan mañana en universidades locales, concluyen el próximo jueves con ceremonia de entrega del premio.","publimetro","18/04/2016"
"PERÚ ENVÍA APOYO HUMANITARIO A ECUADOR TRAS TERREMOTO","Ministros de Relaciones exteriores y salud organizan respaldo post-sismos. Brigadistas y equipos médicos están siendo movilizados para ayudar a víctimas ecuatorianas.","publimetro","18/04/2016"
"YA SE PUEDEN RETIRAR LOS APORTE A LAS AFP?","Normativas aún pendientes después de aprobación legislativa. Necesitan firma presidencial y regulación específica para permitir retiros efectivos.","publimetro","18/04/2016"
"Saludo cordial","Sr. Presidente Humala.  Además, se requiere un reglamento para conocer el proceso de los retiros.","publimetro","18/04/2016"
"Libre disponibilidad de fondos","El jueves pasado, con 84  votos a favor, 2 en contra y 0 abstenciones, el Congreso aprobó por insistencia la libre disposición del 95,5% de los fondos de las doras de Fondos de Pensiones (AFP). Sin embargo, eso no significa que los afiliados de 65 años o más ya puedan recibir sus aportes. ¿Qué hace falta para eso?  1. Entrada en vigor. Todavía falta un paso importante. Una vez que la norma haya sido firmada por el presidente Ollanta Humala y publicada en el diario El Peruano, recién entrará en vigencia.  2. Reglamentación. Si bien las AFP están preparadas para devolver los fondos, se necesita primero el reglamento de esta ley —que está siendo elaborado por la Superintendencia de Banca, Seguros y AFP (SBS)— para conocer el procedimiento que regulará los retiros, según detalla Jorge Ramos, director de AFP Integra.  Inconstitucionalidad. Ya en enero pasado, el Ejecutivo observó la ley en vez de ratificarla para su publicación. Por ello, tras conocérsele la aprobación por insistencia del Congreso, el primer ministro Pedro Cateriano señaló a través de su cuenta de Twitter que el mandatario evaluará si interpone una acción de inconstitucionalidad contra la norma. Dijo que se ha herido de muerte al Sistema Privado de Pensiones (SPP).  4. Evaluación. Tras la decisión del Congreso, el gerente de estudios económicos del BCR, Adrián Armas, indicó que evaluarían el impacto de la disposición aprobada para poder pronunciarse. Señaló que es momento de mirar hacia adelante, principalmente hacia una reforma integral del sistema de pensiones.","publimetro","18/04/2016"
"Extensión del plazo para sistemas de internet","El Organismo Supervisor de la Inversión Privada en Telecomunicaciones (OSIPTEL) informó ayer que se ha extendido hasta octubre el plazo para que las operadoras implementen un sistema de medida de la velocidad de Internet. El plazo vence el 20 de abril en un principio. Según el organismo, las empresas Telefónica, Movistar, Entel, Viettel, Americatel y Olitek solicitaron esta extensión de tiempo para poder implementar en su página web o a través de apps dicho sistema. Pregunta: ¿Por qué medir? De acuerdo al OSIPTEL, esta opción permite a los usuarios contrastar si la empresa operadora cumple con brindar lo que indica su contrato.","publimetro","18/04/2016"
"Recomendaciones post-verano para autos","Las altas temperaturas de Lima han afectado muchas partes de los vehículos. Aquí van algunos consejos para mantener tu coche en buen estado después del verano:  Durante el verano, nuestro auto se encuentra expuesto al sol gran parte del tiempo, representando un desgaste en los acabados de la carrocería. Además, el trayecto a la playa genera consumo de los productos que protegen el motor. Así pues, aquí tienes cinco sugerencias clave proporcionadas por el entrenador comercial de Volkswagen, Agusto Pérez:","publimetro","18/04/2016"
"Inicio emocionante del CCTC","Este sábado, el Autódromo de La Chutana albergó la fecha inaugural del Campeonato de Circuitos Turismo Competición (CCTC), donde Salvador Ricci capturó toda atención al ganar la categoría principal, TC 2000, conduciendo su KA Cerato. Dominó ambas series de la jornada, acumulando 30 vueltas completas.","publimetro","18/04/2016"
"Terremoto deja devastación en Ecuador","Trágicamente, el terremoto de magnitud 7.8 Richter sacudió el noroeste de Ecuador el último sábado, resultando en pérdidas humanas significativas. Hasta el cierre de esta edición, se contabilizaron 262 víctimas mortales y 2.527 lesionados, conforme a datos provistos por las autoridades locales. Este evento natural provocó múltiples réplicas, exacerbando aún más la situación crítica en varias regiones.","publimetro","18/04/2016"
"Progreso político en Brasil","Los parlamentarios brasileños avanzaron notablemente al aprobar el proceso de impeachement contra la presidenta Dilma Rousseff. Después de intensos debates, obtuvieron suficientes votos para enviar el caso al Senado Federal, donde será necesario obtener mayoría simple para continuar con el proceso judicial. Esto podría implicar cambios importantes dentro del gobierno brasileño dependiendo del resultado final.","publimetro","18/04/2016"
"Triunfos olímpicos y atléticos","Destaca la participación exitosa de varios atletas peruanos en eventos internacionales. Entre estos éxitos figura la inscripción histórica de Ariana Orrego en gimnasia artística para los próximos juegos olímpicos, así como el retorno competitivo de Gladys Tejeda en maratonismo internacional, demostrando fortaleza y determinación ante adversidades previas relacionadas con regulaciones anti-doping.","publimetro","18/04/2016"
