"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number";"combined_text";"agreed_topic";"agreed_topic_prob";"agreed_topic_label"
"Venezolanos caen por muerte de policía";"NA";"NA";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"3";"1.0";"ate, josé, venezolanos, ser, navarro"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"NA";"NA";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"6";"1.0";"bojórquez, bojórquez álvarez, vecinos, medio insultos, medio"
"Navarro Márquez alquilaba mototaxi para actos delictivos";"NA";"NA";"Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"trome";"2020-03-13";"4";"Navarro Márquez alquilaba mototaxi para actos delictivos. Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"5";"1.0";"actos, alquilaba, actos delictivos, alquilaba mototaxi, delictivos"
"Valiente efectivo persigue a delincuentes";"NA";"NA";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"4";"1.0";"agente, valiente, delincuentes, fue, policía"
"Valiente efectivo persigue a delincuentes";"NA";"NA";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"4";"0.9699";"agente, valiente, delincuentes, fue, policía"
"Venezolanos caen por muerte de policía";"NA";"NA";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"3";"0.9519";"ate, josé, venezolanos, ser, navarro"
"Navarro Márquez alquilaba mototaxi para actos delictivos";"NA";"NA";"Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"trome";"2020-03-13";"4";"Navarro Márquez alquilaba mototaxi para actos delictivos. Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"5";"1.0";"actos, alquilaba, actos delictivos, alquilaba mototaxi, delictivos"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"NA";"NA";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"6";"1.0";"bojórquez, bojórquez álvarez, vecinos, medio insultos, medio"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"NA";"NA";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"7";"1.0";"escuadrón, escuadrón águilas, negras, águilas negras, águilas"
"Venezolanos caen por muerte de policía";"NA";"NA";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"3";"1.0";"ate, josé, venezolanos, ser, navarro"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"NA";"NA";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"6";"1.0";"bojórquez, bojórquez álvarez, vecinos, medio insultos, medio"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"NA";"NA";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"7";"1.0";"escuadrón, escuadrón águilas, negras, águilas negras, águilas"
"Navarro Márquez alquilaba mototaxi para actos delictivos";"NA";"NA";"Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"trome";"2020-03-13";"4";"Navarro Márquez alquilaba mototaxi para actos delictivos. Navarro Márquez era quien alquilaba la mototaxi, supuestamente para trabajar, pero la utilizaba para actos delictivos, junto a su compatriota Ramírez Ontiveros. Asaltaban bajo la modalidad del ‘raqueo’. La noche del 18 de febrero último, ambos salieron a cometer sus fechorías. Localizaron una víctima, la encañonaron con una pistola y le robaron su celular.";"5";"1.0";"actos, alquilaba, actos delictivos, alquilaba mototaxi, delictivos"
"Valiente efectivo persigue a delincuentes";"NA";"NA";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"4";"1.0";"agente, valiente, delincuentes, fue, policía"
"Venezolanos caen por muerte de policía";"NA";"NA";"Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Venezolanos caen por muerte de policía. Aquilaban una mototaxi para hacer de las suyas y terminaron siendo atrapados. Los venezolanos Royner José Navarro Márquez (24) y José Ángel Ramírez Ontiveros (18) fueron detenidos al ser acusados y reconocidos por varios testigos de ser autores del asesinato del policía en situación de retiro José Antonio Navarro Ríos (59). Esto ocurrió en Ate. Fue un equipo de detectives del Depincri Ate, el que descubrió a lo que verdaderamente se dedicaban estos extranjeros. Para capturarlos contaron con una orden de detención preliminar por el presunto delito de homicidio, emitida por el Juzgado de Investigación Preparatoria Permanente de Ate.";"3";"1.0";"ate, josé, venezolanos, ser, navarro"
"Valiente efectivo persigue a delincuentes";"NA";"NA";"El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"trome";"2020-03-13";"4";"Valiente efectivo persigue a delincuentes. El agraviado se subió a otro mototaxi y empezó a seguir a los delincuentes gritando: ‘¡Atrapen a esos rateros!’ Esto último fue escuchado por el policía retirado Navarro Ríos, quien laboraba como agente de seguridad de una empresa de gas. Persiguió a los venezolanos y estos le dispararon en el abdomen para escapar. El valiente agente fue trasladado al Hospital de la Policía, pero días después falleció.";"4";"1.0";"agente, valiente, delincuentes, fue, policía"
"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’";"NA";"NA";"Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"trome";"2020-03-13";"4";"Policía retirado pertenecía a escuadrón de las ‘Águilas Negras’. Pertenece al escuadrón de las ‘Águilas Negras’ (seguridad de bancos) y laboró en la comisaría de Alfonso Ugarte. Tras ser detenidos, Navarro Márquez y Ramírez Ontiveros fueron trasladados a la Juzgado de Investigación Preparatoria Permanente de Ate.";"7";"1.0";"escuadrón, escuadrón águilas, negras, águilas negras, águilas"
"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen";"NA";"NA";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"trome";"2020-03-13";"4";"En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez narra crimen. En medio de insultos de sus vecinos, Ricardo Bojórquez Álvarez (20) narró con sangre fría cómo mataron y descuartizaron al estudiante de Economía, Martín Jesús Cacciare Castañeda (25), en la cocina del departamento donde vivía, en Los Olivos. Alquilaban mototaxi para cometer sus fechorías bajo la modalidad del ‘raqueo’. La noche del 18 de febrero, Royner Navarro y José Ramírez localizaron a una víctima y le robaron su celular. Cuadras más abajo, el policía retirado José Navarro Ríos los enfrentó, pero recibió un balazo en el abdomen y falleció.";"6";"0.9699";"bojórquez, bojórquez álvarez, vecinos, medio insultos, medio"
