"El loco del martillo","NA","La Seño María","Hoy en día, uno pensaría que...  ","newspaper","date","headline","subheadline","author","content"
"Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque...  ","trome","2014/01/02","","","",""
"Vamos a crear un vínculo espiritual con tu familia. Solo te pido que cuides mucho a tu bebé y te cuides también, porque eres joven y necesitas cumplir tu proyecto de vida","","Pedro Mascaro, directo del INMP","El médico Pedro Mascaro, directo del INMP, precisó que debido al gran tamaño de la criatura se tuvo que hacer un cesárea y, por su peso, está en observación ya no complicación, tan sólo y con buen desarrollo neurológico; comentó.  ","trome","2014/01/02","","","",""
"El segundo bebé en cera en el citado hospital fue Hammer Neymar, quien llegó a las 2:04 horas, con 2 kilos 260 gramos de peso y 49 centímetros de talla. Es el primer hijo de Sara Ascencio (34) y Juan Carlos Yangle (36), de ocupación grifero.","","","NA  ","trome","2014/01/02","","","",""
"Debido al gran tamaño de la criatura se tuvo que hacer un cesárea y, por su peso, está en observación ya no complicación, tan sólo y con buen desarrollo neurológico; comentó."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
"El segundo bebé en cera en el citado hospital fue Hammer Neymar, quien llegó a las 2:04 horas, con 2 kilos 260 gramos de peso y 49 centímetros de talla. Es el primer hijo de Sara Ascencio (34) y Juan Carlos Yangle (36), de ocupación grifero."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
"Debido al gran tamaño de la criatura se tuvo que hacer un cesárea y, por su peso, está en observación ya no complicación, tan sólo y con buen desarrollo neurológico; comentó."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
"El segundo bebé en cera en el citado hospital fue Hammer Neymar, quien llegó a las 2:04 horas, con 2 kilos 260 gramos de peso y 49 centímetros de talla. Es el primer hijo de Sara Ascencio (34) y Juan Carlos Yangle (36), de ocupación grifero."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
"Debido al gran tamaño de la criatura se tuvo que hacer un cesárea y, por su peso, está en observación ya no complicación, tan sólo y con buen desarrollo neurológico; comentó."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
"Debido al gran tamaño de la criatura se tuvo que hacer un cesárea y, por su peso, está en observación ya no complicación, tan sólo y con buen desarrollo neurológico; comentó."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
"Debido al gran tamaño de la criatura se tuvo que hacer un cesárea y, por su peso, está en observación ya no complicación, tan sólo y con buen desarrollo neurológico; comentó."," ""NA"""," ""NA"""," ""NA""  ","trome","2014/01/02","","","",""
