"headline","subheadline","author","content","newspaper","date","El loco del martillo","NA","La Seño María","Hoy en día, uno pensaría que..."
"El loco del martillo","","La Seño María","Hoy en día, uno pensaría que...","trome","2014/01/18","","","",""
"Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque...","trome","2014/01/18","","","",""
"Policía capturó a 'Mudo' cuando se daba a la fuga","","","Nadine de 15 años fue brutalmente asesinada de varias cuchilladas por su propio amigo, a quien exigió que dejara de acosar a su enamorada, durante la celebración del cumpleaños de la chica, en la cuadra 16 de la avenida Ramiro Prialé. Los familiares del crimen, tras enterarse del hecho, enfurecieron y enfrentaron a la policía para linchar al asesino. Después de jugar fulbito, Rusbel Alexander (16) se reunió con su pareja y otras dos chicas en casa de Edgardo Puse Jiménez (22), 'Mudo', en el asentamiento humano 'Ramiro Prialé'. Después de varias horas de beber licor, el sujeto mayor de edad encerró en el baño a Rusbel y lo golpeó salvajemente. Rusbel lanzó una botella a su agresor. Minutos después, cuando el menor se disponía a retirarse, 'Mudo' armado con un cuchillo lo atacó por la espalda. Rusbel Alexander cayó al suelo y el criminal lo remató de forma brutal, apuñalándolo en el corazón. 'El ataque fue tan salvaje que la hoja del cuchillo se rompió, quedando incrustada en el pecho del menor que murió en el hospital, mientras el asesino huyó'. Tras enterarse del hecho, la policía realizó un operativo y capturó al asesino en su casa cuando intentaba fugarse.","trome","2014/01/18","","","",""
"Roban pistolas y escopetas","","","Once pistolas, escopetas, un revólver y municiones, así como 10 mil dólares y 4 mil soles robaron por una chica Los res del fallecido acudieron a la comisaría 'La Ensenada', donde atacaron a los policías para arrebatarles al detenido con la intención de lincharlo. Después de jugar a la 'tellita borracha', dos primos de 15 y 16 años asesinaron de una cuchillada en el pecho a su amigo Omar Uruhua Yo Huamán (20), 'Cholo', cuyo cadáver metieron en una caja de cartón para desaparecerlo, en San Juan de Lurigancho. La comerciante Neyda hermano R.R.D. (15) en el cuarto que alquilaba en el jirón Las Anémonas 475, 'El cuerpo estaba en la caja solo con calzoncillos, dos cortes y un hincón', dijo un agente. Los menores fugaron, pero luego cayeron en el Cercado. 'Habrían peleado por el botín de un robo, 'Cholo' dio a Ricardo y trelos dos lo ron', dijo el efectivo. El menor de 15 años habría estado en 'Maranguita' por robo.","trome","2014/01/18","","","",""
"La policía capturó a 'Mudo' cuando se daba a la fuga","","","Nadine de 15 años fue brutalmente asesinada de varias cuchilladas por su propio amigo, a quien exigió que dejara de acosar a su enamorada, durante la celebración del cumpleaños de la chica, en la cuadra 16 de la avenida Ramiro Prialé. Los familiares del crimen, tras enterarse del hecho, enfurecieron y enfrentaron a la policía para linchar al asesino. Después de jugar fulbito, Rusbel Alexander (16) se reunió con su pareja y otras dos chicas en casa de Edgardo Puse Jiménez (22), 'Mudo', en el asentamiento humano 'Ramiro Prialé'. Después de varias horas de beber licor, el sujeto mayor de edad encerró en el baño a Rusbel y lo golpeó salvajemente. Rusbel lanzó una botella a su agresor. Minutos después, cuando el menor se disponía a retirarse, 'Mudo' armado con un cuchillo lo atacó por la espalda. Rusbel Alexander cayó al suelo y el criminal lo remató de forma brutal, apuñalándolo en el corazón. 'El ataque fue tan salvaje que la hoja del cuchillo se rompió, quedando incrustada en el pecho del menor que murió en el hospital, mientras el asesino huyó'. Tras enterarse del hecho, la policía realizó un operativo y capturó al asesino en su casa cuando intentaba fugarse.","trome","2014/01/18","","","",""
"","","","","trome","2014/01/18","Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque..."
"","","","","trome","2014/01/18","El valor de la verdad","NA","NA","Ezio Oliva lamentó, en la reunión que tuvo con sus compañeros de Addamo; que se haya difundido el video íntimo en el que aparece con una expareja. 'Ni biensesupo del video, Ezio estuvo acompañado delos chicos de la banda, porque lloraba y lamentaba el momento en que perdió su celular' dijo nuestra fuente. También se informó que Ezio pensó que había borrado de su celular las imágenes calentonas y por eso no estaba preocupado cuando se le extravió el móvil. 'No sabes cómo se ha lamentado. El juraba que lo había borrado y no fue así. Además, se siente terrible porque la joven que aparece es una expareja y ella está en shock', comentó el informante."
"","","","","trome","2014/01/18","El valor de la verdad","NA","NA","Ezio Oliva lamentó, en la reunión que tuvo con sus compañeros de Addamo; que se haya difundido el video íntimo en el que aparece con una expareja. 'Ni biensesupo del video, Ezio estuvo acompañado delos chicos de la banda, porque lloraba y lamentaba el momento en que perdió su celular' dijo nuestra fuente. También se informó que Ezio pensó que había borrado de su celular las imágenes calentonas y por eso no estaba preocupado cuando se le extravió el móvil. 'No sabes cómo se ha lamentado. El juraba que lo había borrado y no fue así. Además, se siente terrible porque la joven que aparece es una expareja y ella está en shock', comentó el informante."
"","","","","trome","2014/01/18","El valor de la verdad","NA","NA","Ezio Oliva lamentó, en la reunión que tuvo con sus compañeros de Addamo; que se haya difundido el video íntimo en el que aparece con una expareja. 'Ni biensesupo del video, Ezio estuvo acompañado delos chicos de la banda, porque lloraba y lamentaba el momento en que perdió su celular' dijo nuestra fuente. También se informó que Ezio pensó que había borrado de su celular las imágenes calentonas y por eso no estaba preocupado cuando se le extravió el móvil. 'No sabes cómo se ha lamentado. El juraba que lo había borrado y no fue así. Además, se siente terrible porque la joven que aparece es una expareja y ella está en shock', comentó el informante."
"","","","","trome","2014/01/18","El valor de la verdad","NA","NA","Ezio Oliva lamentó, en la reunión que tuvo con sus compañeros de Addamo; que se haya difundido el video íntimo en el que aparece con una expareja. 'Ni biensesupo del video, Ezio estuvo acompañado delos chicos de la banda, porque lloraba y lamentaba el momento en que perdió su celular' dijo nuestra fuente. También se informó que Ezio pensó que había borrado de su celular las imágenes calentonas y por eso no estaba preocupado cuando se le extravió el móvil. 'No sabes cómo se ha lamentado. El juraba que lo había borrado y no fue así. Además, se siente terrible porque la joven que aparece es una expareja y ella está en shock', comentó el informante."
