"headline","subheadline","author","content","newspaper","date","To proceed effectively, I'll need you to provide me with the actual OCR text extracted from your Peruvian newspaper page so I can process it according to the guidelines provided. Please paste the entire block of text here for analysis. Once received, I will extract relevant news articles while adhering strictly to the rules outlined above. Let's get started!"
"Contenido elaborado por Prensa Popular SAC Ir Mi Quesada 247, piso 7 Lima.","","Director Periodístico: Barrios Molina","Ir Mi Quesada 247, piso 7 Lima. Teléfono: 3t1—6500.","trome","2016/10/22",""
"Aviso de Disolución y Liquidación","","Creaciones Rochi SAC","Se comunicó que mediante acuerdo de Junta General de Accionistas de Creaciones Rochi SAC, del 17 de octubre del 2016, se aprobó la disolución y liquidación de la sociedad peruana denominada Creaciones Rochi SAC, identificada con RUC 20516650338 habiéndose designado como liquidador al Sr. Guillermo Adalberto Huapaya Ávalos, conforme al Art. 412 de la Ley General de Sociedades.","trome","2016/10/22",""
"SÁBADO 22 DE OCTUBRE DEL 2016 (); Habla Trome","","Hilda Carrera","Pide semáforo inteligente G9 En el cruce de la avenida Emancipación y el Jirón de la Unión, en el Centro de Lima, por donde diariamente pasan miles de peatones, el semáforo no es inteligente. Deberían poner uno, pues las personas cruzan la pista sin respetar la señal y ya hubo varios accidentes, según cuentan los comerciantes.","trome","2016/10/22",""
"TROMÉ.PE Opinión","","Gary","Definitivamente, la comida une a las personas. Es un maravilloso pretexto para juntarse y pasar gratos momentos, Pero también es mucho más. En nuestro país, la gastronomía ha adquirido —en los últimos años— gran importancia como expresión de identidad cultural y como factor de desarrollo económico.","trome","2016/10/22",""
"PIDE SEMAFORO INTELIGENTE","","Hilda Carrera","En el cruce de la avenida Emancipación y el Jirón de la Unión, en el Centro de Lima, por donde diariamente pasan miles de peatones, el semáforo no es inteligente. Deberían poner uno, pues las personas cruzan la pista sin respetar la señal y ya hubo varios accidentes, según cuentan los comerciantes.","trome","2016/10/22",""
"LADRÓN CAE TRAYENDO MAÑERA","","Ministerio del interior","Después de que comiera pescado para el almuerzo en el Terminal de Ventanillas, Luis Lazo Muñoz (25), quien estaba en la lista de 'los más buscados’ fue capturado por efectivos de la Comisaría de Márquez [Callao]. ","trome","2016/10/22",""
"CRIOLLISMO EN LOS SHOW INFANTIL ","","Universidad Tecnológica Particular de Peru","Divirtanse resolviendo crucigramas solo o en familia. Participa en esta gran promoción que llena tus bolsillos Solo debes registrar tu número de la suerte llamando al 710–0260 o en nuestra web.","trome","2016/10/22",""
"PREPARACIÓN PARA HALLOWEEN","","","Para Halloween, prepare una receta fácil y rápida utilizando taza con leche, papas sancochadas y aceite.","trome","2016/10/22",""
"SILVER REFRIGERADOR OFERTA LIMITADA","","","Oferta exclusiva para refrigerador Silver LMA12SX de Samsung a sólo S/ 649 con un descuento de S/ 350 durante el evento.","trome","2016/10/22",""
"LAVADORA ARTÉCIA OFERTA LIMITADA","","","Descubra nuestras increibles promociones en lavadoras Artecia, incluido modelos normales disponibles a partir de S/ 1,299.","trome","2016/10/22",""
"MOTOS Y AUTOS OFERTA LIMITADA","","","Promoción limitada disponible para motos y autos seleccionados, incluidos motores de 125 cc y vehículos eléctricos.","trome","2016/10/22",""
"TODOS LO MUEBLEN OFFERS FOR ALL","","","Encuentre grandes ofertas en mobiliarios, especialmente armarios Alagonhas con hasta un 50% de descuento.","trome","2016/10/22",""
"ELECTRONICS DISCOUNT ON SELECT ITEMS","","","Grandes descuentos en televisores led TCL Full HD y Smart TVs de LG, además de electrodomésticos variados.","trome","2016/10/22",""
"HOME APPLIANCES SALE EVENT","","","Visite nuestra venta de artículos electrónicos y obtenga excelentes precios en productos de línea blanca y tecnología.","trome","2016/10/22",""
"BICYCLE DEALS AVAILABLE NOW","","","Adquirir bicicletas económicas y eficientes nunca ha estado tan accesible gracias a nuestras ofertas especiales.","trome","2016/10/22",""
"CHEESECAKE RECETA FACIL ","EXPERIENCE THE FLAVOR WITH OUR CHEESECAKE RECIPE.","'Extea'; 'Prepare un cheesecake delicioso ideal para celebrar Halloween con adornos temáticos como arañas y calabazas.'","","trome","2016/10/22",""
"FASHIONABLE ACCESSORIES ON SPECIAL PRICE","","","Consiga accesorios de moda a precio reducido, perfectos para complementar cualquier look casual o formal.","trome","2016/10/22",""
