"headline","content","newspaper","date"
"ALIMENTACIÓN: COMO TORTUGAS, MEJOR FRUTAS, QUE CARNE. MINIMIZAR QUÍMICOS","NO CONSUMAS IGUANAS, ETC. VERDURAS Y PRODUCTOS EL USO DE COMO AEROSOLES, ANIMALES EXÓTICOS CONSUME LEGUMBRES QUÍMICOS: COMPUESTOS FERTILIZANTES, ETC.","trome","13/02/2017"
"KAREN FLIRTEADA POR CUPIDO","Dulce y sensual, la guapa Karen se prepara para celebrar el Día de los Enamorados, No nos quiso decir el nombre del afortunado, pero afirmó que es cariñoso, romántico y muy gentil, pues de lo contrario hace rato le habría puesto punto final a la relación.","trome","13/02/2017"
"SALTADITOS! DE EL BUHO","Este Buho ve el panorama político como un inmenso huaico que arrasar con muchos políticos, empresarios y personas que se hacían pasar como muy decentes, pero la realidad era otra. Por eso, agarré mi espada de los Thundercats para ver más allá de lo evidente. OTRA MENDA VERGÜENZA: Alejandro Toledo no puede actuar como cualquier ciudadano. Al ser el hombre que una vez encarnó a la Nación, su obligación moral es presentarse ante la justicia que lo requiere, responder y afrontar con valentía las consecuencias de sus actos. Si tiene que irse tras las rejas por ser culpable, que así sea. Aquí no hay ninguna persecución política! Por eso, es penoso ver a un expresidente esquivar a la justicia, escondiéndose como un vulgar delincuente. Israel lo trat ayer como a un apestado, al negarle el ingreso a su territorio, así que al parecer tuvo que quedarse en Estados Unidos, donde la policía podría capturarlo. Penoso. OPASAN PIOLA: En esta hora de desgracia del Cholo de Cajamarca, est alucinante ver cómo todos aquellos que vivieron a su costa, y son muchos, hoy miran para otro lado y silban. Con ellos no es la cosa, Muchos cobraron miles de dólares por asesorarlo o  escríble discursos. Otros fueron premiados sospechosamente con consulados, embajadas y hasta ministerios sin tener los méritos necesarios. También están los que hicieron grandes negocios y se volvieron ricos a costa del Estado. Todos esos o están calladitos pasando piola o tienen la caradura de subirse al carro de los  indignados, fingiendo ser honrados. Increíble! OPPK EN CAJA: El presidente exhibía una aprobación del 63% a mediados de septiembre, pero hoy, cinco meses después, muestra apenas 38%, según la última encuesta de Ipsos.  Más, su desaprobación ya llegó al 51%. La gente está  decepcionada, molesta e indignada porque lo sienten desconectado con el pueblo. Algo similar pasa con la mayoría de sus ministros, Entre los menos populares se encuentra Carlos Basombrío, con 42% de desaprobación, solo superado por el premier Fernando Zavala y el primer vicepresidente Martín Vizcarra, ambos con 44%. Esto es peligroso para la estabilidad del país. Me pregunto de qué magnitud sería el terremoto si su nombre sale en el escándalo de Odebrecht. OCURREN LOS DINOSAURIOS: Julio Guzmán está en campaña con miras a las elecciones del 2021. Se la pasa recorriendo  pueblos y Trome lo encontró en Tarapoto, donde lo entrevistó, El Moradito señala que Odebrecht es el meteorito que extinguirá a los dinosaurios de la política que están metidos en la corrupción. Afirma que Toledo debe ir a la cárcel si es culpable y no duda en señalar que, en cualquier momento, se conocerán las evidencias de que Alan García está involucrado en hechos de corrupción. HOSTORIO DE LA CORRUPCIÓN: Las multimillonarias coimas que la empresa brasileña pagó a funcionarios de mediano y alto nivel en nuestro país, llámese presidentes de la República,  presidentes regionales, alcaldes en Lima y provincias, directores de millonarios proyectos, gerentes y otros, es solo el capítulo más reciente de la larga historia de corrupción en el Perú. Ese cáncer que nos ataca desde la Colonia y se hizo más fuerte durante toda la República hasta nuestros días. El famoso pago de los Bonos de la Independencia es el primer gran caso de corrupción documentado, y se dio prácticamente en el nacimiento mismo del Perú como país libre. Por eso, la compra de tractores chinos o los  congresistas tránsfugas en el fujimorismo, Comunicore, Odebrecht, el robo en el cobro de los peajes y tantos otros escándalos son solo la continuación de nuestra historia. Algún día podremos vencer esta lacra? Apagué el televisor.","trome","13/02/2017"
"HACER OBRA NO HAY QUE ROBAR","Mi amigo, el fotgrafo Gary, lleg al restaurante por un tiradito de cojinova y un arroz con mariscos con conchas, langostinos, pulpito y erizo. Tambin se pidi un empanada libre y observ un rato para ir un rato alaplayacmnifamia.M os, por mi trabajo dede periodista, son muy complicados y es normal para m trabajar sbados, domingos, incluso feriados. La verdad, ya estoy acostumbrado y, adems, lo disfruto porque es mi pasin. Pero tambin hay que darse tiempo para relajar la mente y el espritu. Cuando el sol sale con fuerza, se me alegra el corazn, pese a que sudo como loco. El verano es eso, sol, arena, mar y chicas lindas que dan felicidad. Siempre que puedo, me voy al sur. Pero eso s, tomando todas las precauciones del caso. La primera es llevar bloqueador solar.  En nuestro pas, muchos hombres se sienten ofendidos si alguien les dice que lo usen, Aunque parezca mentira, creen que es cosa de mujeres y maricas Nada ms tonto. Los pelgrosos rayos ultravioleta hoy son ms fuertes que hace unos aos y exponerse a ellos, sin proteccin, es  correr el riesgo de contraer el temible cncer de piel que ya mat a muchas personas en el mundo, Pero es casi  criminal llevar nios a la playa sin ponertes bloqueador, pues la piel de ellos es mucho ms delicada. As que hay que ir al dermatlogo para que nos recomiende el grado  adecuado de protector de acuerdo a nuestra piel. Debemos recordar que quienes son ms claros, corren ms peligro. Adems, hay que usar ropa clara, sombreros y  sombrillas. Otros peligros son las infecciones que en el agua se transmiten con mucha ms facilidad, especialmente en las piscinas que no tienen la cantidad adecuada de  cloro. As, estn la micosis [infecciones de piel), la otitis [de oido], gastroenteritis (diarreas] y la famosa conjuntivitis (de ojos). Por eso, es muy importante elegir bien adonde vamos a baarnos. Si ingresamos a una playa 0 piscina sucia, es casi seguro que contraeremos las  enfermedades antes sealadas, que son las ms comunes. Las piscinas aptas son las que tienen el certificado del  Ministerio de Salud, as que solo debemos baamos en ellas, Adems, es importante no llevar animales a piscinas ni playas, pues no se puede controlar que dejen restos de orina o fecales que causan muchas infecciones. Tampoco se debe compartir objetos personales como las toallas y, si se tiene conjuntivitis, no asistir a playas ni piscinas. Si se lleva a nios, los padres deben verificar que los baos estn limpios, pues esos lugares son focos seguros de microbios. Y hay que lavarse las manos constantemente. Solo as, cuidando nuestra salud, podremos disfrutar del verano al mximo y sin complicaciones, Gary tiene  rason. Me voy, cudense.","trome","13/02/2017"
"Llama a no ser pesimistas","GD El hecho de que argentinos,  venezolanos, espaoles y de otros pases vengan : a radicar y hasta se nacionalicen peruanos, demuestra la estabilidad econmica y las oportunidades que hay en el Per, al  margen de los opacos gobiernos. Considero que debemos aprovechar esa fortaleza y no ser  tan pesimistas. Wiltredo Vivanco : wilivitero—9Oerqmail.com ! Las proyecciones de crecimiento econmi— : camente para este ao se han reducido y, segn los : especialistas, los casos de corrupcin nos  perjudicarn, Pero, como dice el lector, nuestra economa est por encima de la de los pases vecinos.","trome","13/02/2017"
"Palabras del alma","Creo que las posibilidades de Alejandro Toledo se estn agotando... Sus opciones se achican y se acortan Pide no proteger a corruptos Me pregunto qu hubiera pasado en nuestro pas si la justicia de Estados Unidos no investiga y descubre que hay exfuncionarios peruanos involucrados en la corrupcin, Yo mismo me respondo: Nada. Ac todos se encubren, apaan y blindan en  casi todos los estamentos estatales. Y lo peor es que, segn parece, lo siguen haciendo. Carlos Reyes calin_reyes?12ahotmail.com En el Congreso se investig el caso Lava Jato, pero no se lleg a nada por la  extra posicin de algunos parlamentarios. Sobre el caso Ecoteva, en el Ministerio Pblico las cosas se entramparon por diversos factores,","trome","13/02/2017"
"Asaltan pollera por sptima vez","Tres pistoleros, quienes seran los mismos que dos das antes asaltaron un restaurante en la zona, se metieron a una pollera y la robaron por sptima vez, en Villa El Salvador. Se  lleva *LA VICTORIA Roban a canillita Ni los canillitas se  salen van. Dos delincuentes robaron, por tercera vez, un puesto de venta de  peridicos y golosinas, a tres cuadras de la comisara de Apolo, en La Victoria, Gladys de la Cruz (42),  canillita por ms de 30 aos, cont que al llegar a su quiosco entre la avenida Aviacin y la calle  Montellanos, se percat de que la puerta estaba violentada. Los mismos ladrones  atran los puestos de ventas de peridicos de todo el  sector. Primero me robaron los telfonos pblicos y  luego mercadera. Se llevaron hasta los chocolates, dijo la agraviada. [M. Rochabrum)","trome","13/02/2017"
"Feroz tono","Chapan a jefe de Los despiadados ron las pertenencias de los clientes y el dinero de las ventas. a sus comensales  Jessica Mamani Cuna [24), cuando los hombres armados ingresa en el sector 2, Grupo 11, Mz. ron y le apuntaron en la cara.","trome","13/02/2017"
"Fue herido","Balean a comerciante El comerciant Estilista hace correr como de un balazo en el estmago, luego que seis delincuentes imumpieron en su negocio para robarle cerca de 10 mil soles, en San Martn de Porres, Los hampones lle— | garon a bordo 6 de la avenida Santos Cho cano, donde —* golpearon a los trabajadores y balearon al dueo. (K. Cobal _ 0 Una hora despus de robar un camin cargado con  productos de ferretera, por un valor de 10 mil soles, fue capturado Jorge Antonio Silva Poma (24), Too, sindicado como el jefe de la temible banda Los despiadados en Chancay. **. La polica inform que el delincuente y sus  cmplices Pecas y Negro interceptaron el vehculo G de placa B2T—860 en el pueblo joven  Peral* : villo! Tras encaonar al conductor, se llevaron a sus pertenencias y el carro cargado de tubos, conexiones, pegamentos, lijas y herramientas. Los agentes del sector, tras ser alertados del robo, iniciaron la bsqueda del camin y lo  ubicaron por el asentamiento humano Sarita Colonia; donde capturaron a Too. Sus dos cmplices huyeron corriendo hacia unos maizales. Se  incautaron tres armas de fuego. [R. La Chira]","trome","13/02/2017"
"Se hizo pasar como cliente e intent agredirla sexualmente dentro de su salón de belleza, en Comas.","Las cmaras de seguridad grabaron al  delincuente. La agraviada, EB.L. (50), denunci que el joven,  de aproximadamente 25 aos, se apareci en su saln debelleza,en Comas. Ingres al local, pero en todo momento lo vi nervioso  porque entraba y sala. Despus de unos minutos se  decidi quedarse,  recor Me dijeron: esto es un asalto!. Se apoderaron de mil 600 soles de la caja. Adems robaron a los  clientes, cont. Agreg que esta es la  sptima vez que asaltan su local en menos de un ao. Como se recuerda, la  pollera Thunco, ubicada a unas cuadras de este negocio, tambin fue asaltada por delincuentes con las  mismas caractersticas. [M. Rochabrum) X Mujer tambin se defendi a patadas y vecinos fotografiaron al delincuente. Sesent en un silln, pero pronto se levant y se dirigi al bao del saln de belleza La agraviada se sent en un silln, pero pronto se levant y se dirigi al bao, que no se cerraba la puerta, accin que llam la  cinela la vctima.  Luego sali y se sent en lasilla para ser atendido. LAS ORPRENDI Cuando le iba a poner lacapa, me  cogi delos brazos con fuerza, me arrastr y me dijo:*Vamos para adentro y se dirigi al bao, explic  la trabajora. La duea del local forceje con el  delincuente, quien la golpe en los brazos, pero ella luch con todas sus fuerzas y pudo  zafarse.","trome","13/02/2017"
