"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Continúan ventas ambulantes cerca de Mesa Redonda","Ante la proximidad de fiestas navideñas, aumentó notablemente la cantidad de comerciantes informales en áreas cercanas a importantes centros comerciales en Lima, complicando aún más la situación de congestión vehicular y dificultades en la circulación peatonal.  Observaciones indican que la acción municipal sigue siendo mínima ante este fenómeno persistente, a pesar de previas advertencias emitidas por autoridades locales.  Medidas adicionales incluyen vigilancia mediante tecnología avanzada durante eventos masivos próximos, buscando mitigar posibles disturbios causados por grupos radicales.","elcomercio",2013-12-15,"Continúan ventas ambulantes cerca de Mesa Redonda. Ante la proximidad de fiestas navideñas, aumentó notablemente la cantidad de comerciantes informales en áreas cercanas a importantes centros comerciales en Lima, complicando aún más la situación de congestión vehicular y dificultades en la circulación peatonal.  Observaciones indican que la acción municipal sigue siendo mínima ante este fenómeno persistente, a pesar de previas advertencias emitidas por autoridades locales.  Medidas adicionales incluyen vigilancia mediante tecnología avanzada durante eventos masivos próximos, buscando mitigar posibles disturbios causados por grupos radicales.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",1,"-1","Unknown",0.0303,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.0763
"Normativa Laboral Juvenil Pendiente de Revisión","Legislación actual está siendo reconsiderada, promoviendo debates intensificados sobre futuros marcos regulatorios afectando derechos y oportunidades laborales emergentes.","elcomercio",2015-01-21,"Normativa Laboral Juvenil Pendiente de Revisión. Legislación actual está siendo reconsiderada, promoviendo debates intensificados sobre futuros marcos regulatorios afectando derechos y oportunidades laborales emergentes.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0463,"-1","Unknown",0.0322,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.0874
"Remuneración Juvenil en Sector Informal","Datos estadísticos ofrecen perspectiva sobre condiciones salariales enfrentadas por jóvenes empleados fuera de formalización estructural, presentando variabilidad sustancial en percepciones mensuales.","elcomercio",2015-01-21,"Remuneración Juvenil en Sector Informal. Datos estadísticos ofrecen perspectiva sobre condiciones salariales enfrentadas por jóvenes empleados fuera de formalización estructural, presentando variabilidad sustancial en percepciones mensuales.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0775,"-1","Unknown",0.0363,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.0796
"Exclusion proposal for judiciary workers under Law Servir","The Commission of Labor approved unanimously yesterday excluding judiciary employees from the scope of the Service Civil law. This decision was supported during discussions led by President Enrique Mendoza Martinez who emphasized concerns about autonomy within the Judiciary Power.","elcomercio",2014-03-26,"Exclusion proposal for judiciary workers under Law Servir. The Commission of Labor approved unanimously yesterday excluding judiciary employees from the scope of the Service Civil law. This decision was supported during discussions led by President Enrique Mendoza Martinez who emphasized concerns about autonomy within the Judiciary Power.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",1,"180","yet, efforts, been, potential, first",0.4834,"-1","Unknown",0.011
"Problemas persistentes en Mesa Redonda","El Municipio de Lima inició el Plan Navidad sin Riesgo 2014 en el Centro de Lima, aunque persisten problemas con ambulantes que ocupan áreas cruciales. Aunque se dispuso de 850 serenos durante todo el año, muchos vendedores permanecen en lugares prohibidos, ignorando regulaciones establecidas.","elcomercio",2014-11-21,"Problemas persistentes en Mesa Redonda. El Municipio de Lima inició el Plan Navidad sin Riesgo 2014 en el Centro de Lima, aunque persisten problemas con ambulantes que ocupan áreas cruciales. Aunque se dispuso de 850 serenos durante todo el año, muchos vendedores permanecen en lugares prohibidos, ignorando regulaciones establecidas.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",0.0499,"-1","Unknown",0.0302,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.0519
"Remuneración mínima vital En soles 460 500 530 550 600 675 750 Proyectado 810","Analysis discusses potential negative effects such as transition from formal employment to informal sectors and reduction in number of newly created jobs within small businesses following minimum wage increase proposals.","elcomercio",2015-02-12,"Remuneración mínima vital En soles 460 500 530 550 600 675 750 Proyectado 810. Analysis discusses potential negative effects such as transition from formal employment to informal sectors and reduction in number of newly created jobs within small businesses following minimum wage increase proposals.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",1,"180","yet, efforts, been, potential, first",0.4629,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",1
"CANCELACIÓN DE LA VENTA CONTROVERTIDA EN SAN FÉLIPE","Una inmobiliaria había colocado en venta un controvertido terreno en la residencial San Felipe, generando controversia dado que está involucrado en una larga disputa territorial entre el club Cajamarca y la Municipalidad de Jesús María.","elcomercio",2014-09-12,"CANCELACIÓN DE LA VENTA CONTROVERTIDA EN SAN FÉLIPE. Una inmobiliaria había colocado en venta un controvertido terreno en la residencial San Felipe, generando controversia dado que está involucrado en una larga disputa territorial entre el club Cajamarca y la Municipalidad de Jesús María.","-1","Unknown",0.0037,"-1","Unknown",6e-04,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.054
"Propuestas para Reforma Laboral","Querer implementar una reforma laboral para resolver problemas de costos asociados a beneficios no pecuniarios resulta paradójico dado que dichos beneficios impulsan la informalidad laboral. Sería prudente considerar la relación laboral bajo términos puramente contractuales donde ambas partes puedan decidir finalización basada en insatisfacción mutua.","elcomercio",2014-09-12,"Propuestas para Reforma Laboral. Querer implementar una reforma laboral para resolver problemas de costos asociados a beneficios no pecuniarios resulta paradójico dado que dichos beneficios impulsan la informalidad laboral. Sería prudente considerar la relación laboral bajo términos puramente contractuales donde ambas partes puedan decidir finalización basada en insatisfacción mutua.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0554,"-1","Unknown",0.0276,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",1
"Sector Privado Cubano Supera Media Millón de Empleados","Desde 2010, el régimen castrista otorgó más licencias para autonomía laboral debido a reducciones en empleos gubernamentales. Actualmente, el sector cuenta con 504,613 trabajadores independientes, destacándose jóvenes y mujeres dentro de estos números.","elcomercio",2015-06-15,"Sector Privado Cubano Supera Media Millón de Empleados. Desde 2010, el régimen castrista otorgó más licencias para autonomía laboral debido a reducciones en empleos gubernamentales. Actualmente, el sector cuenta con 504,613 trabajadores independientes, destacándose jóvenes y mujeres dentro de estos números.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.3217,"-1","Unknown",0.059,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.027
"Operación aumentará número de serenos en zonas comerciales de Lima","Ciudadana de la comuna limeña, hoy empieza una operación que consiste en aumentar a 300 el número de serenos en esas zonas comerciales.  Estos estarán constantemente retirando a vendedores informales y apoyando a la PNP en seguridad, explicaron a El Comercio.","elcomercio",2015-06-15,"Operación aumentará número de serenos en zonas comerciales de Lima. Ciudadana de la comuna limeña, hoy empieza una operación que consiste en aumentar a 300 el número de serenos en esas zonas comerciales.  Estos estarán constantemente retirando a vendedores informales y apoyando a la PNP en seguridad, explicaron a El Comercio.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",0.0352,"195","nacional seguridad ciudadana, patrullaje, seguridad urbana, seguridad ciudadana, mejorar seguridad",0.027,"256","policia nacional peru, nacional seguridad ciudadana, policia nacional, seguridad ciudadana, ministerio interior",0.2987
