"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Tras adoptar acuerdo, retiran a más de 2 mil ambulantes de la vía pública","A partir del 1 de diciembre, los 2300 comerciantes que ocupan las calles de la ciudad de Cajamarca desde hace 20 años recogerán sus productos de la vía pública en el horario que establece una ordenanza municipal. Ayer, en una reunión con la municipalidad provincial, acordaron dejar sus ubicaciones para dar un paso hacia la formalidad con el proyecto de un mercado propio. La comuna apoyará con el saneamiento y estudio técnico.","correo",2016-10-26,"Tras adoptar acuerdo, retiran a más de 2 mil ambulantes de la vía pública. A partir del 1 de diciembre, los 2300 comerciantes que ocupan las calles de la ciudad de Cajamarca desde hace 20 años recogerán sus productos de la vía pública en el horario que establece una ordenanza municipal. Ayer, en una reunión con la municipalidad provincial, acordaron dejar sus ubicaciones para dar un paso hacia la formalidad con el proyecto de un mercado propio. La comuna apoyará con el saneamiento y estudio técnico.","1","transporte urbano, ministerio transportes comunicaciones, municipalidad lima, transporte publico, ministerio transportes",0.0256,"-1","Unknown",0.0205,"128","comerciantes ambulantes, emporio comercial gamarra, comerciantes informales, municipalidad lima, municipalidad victoria",0.0608
"Plan de Seguridad Integral no detiene comercio informal","La implementación del anunciado Plan de Seguridad Integral Navidad 360°, puesto en marcha por la Municipalidad de Lima desde la semana pasada, no ha logrado detener el comercio informal en Mesa Redonda. En esta zona del Cercado de Lima, los ambulantes continúan ocupando las plazas y veredas, lo que obstaculiza el tránsito peatonal y el ingreso de vehículos destinados a atender emergencias. Asimismo, la anunciada reubicación de 40 ambulantes formales en la cuadra 7 del Jr. Inambari por parte de la comuna metropolitana solo ha servido para que un comerciante instale su módulo. Las galerías no son ajenas al caos imperante. Los pasillos y las zonas de evacuación son usados como espacios de embarque y venta de juguetes.","correo",2019-11-25,"Plan de Seguridad Integral no detiene comercio informal. La implementación del anunciado Plan de Seguridad Integral Navidad 360°, puesto en marcha por la Municipalidad de Lima desde la semana pasada, no ha logrado detener el comercio informal en Mesa Redonda. En esta zona del Cercado de Lima, los ambulantes continúan ocupando las plazas y veredas, lo que obstaculiza el tránsito peatonal y el ingreso de vehículos destinados a atender emergencias. Asimismo, la anunciada reubicación de 40 ambulantes formales en la cuadra 7 del Jr. Inambari por parte de la comuna metropolitana solo ha servido para que un comerciante instale su módulo. Las galerías no son ajenas al caos imperante. Los pasillos y las zonas de evacuación son usados como espacios de embarque y venta de juguetes.","-1","Unknown",0.0199,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.2199,"-1","Unknown",0.025
"Turba derriba reja del Gran Mercado Mayorista","Decenas de personas derribaron las rejas de la puerta principal del Gran Mercado Mayorista de Santa Anita la madrugada de ayer, según se aprecia en videos difundidos en las redes sociales.  El grupo de personas se desespera porque aún no les daban la autorización para ingresar. El desorden visto en esta entrada del Gran Mercado, también se apreció en las vías contiguas.  El presidente de la junta y empresarios comerciantes del Mercado Mayorista de Lima, Pedro Orellana, descartó que hayan sido los vendedores los causantes del desorden y culpó a haitianos. La Municipalidad de Lima colocará agentes del Serenazgo y la Policía Nacional para la seguridad de usuarios y comerciantes.","correo",2020-05-06,"Turba derriba reja del Gran Mercado Mayorista. Decenas de personas derribaron las rejas de la puerta principal del Gran Mercado Mayorista de Santa Anita la madrugada de ayer, según se aprecia en videos difundidos en las redes sociales.  El grupo de personas se desespera porque aún no les daban la autorización para ingresar. El desorden visto en esta entrada del Gran Mercado, también se apreció en las vías contiguas.  El presidente de la junta y empresarios comerciantes del Mercado Mayorista de Lima, Pedro Orellana, descartó que hayan sido los vendedores los causantes del desorden y culpó a haitianos. La Municipalidad de Lima colocará agentes del Serenazgo y la Policía Nacional para la seguridad de usuarios y comerciantes.","-1","Unknown",0.0431,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.0813,"-1","Unknown",0.0162
"Congresista Richard Acuña","No queremos medidas para la foto. Reducir 1% del gasto en el sector pblico como medida de austeridad no es suficiente. Requerimos medidas que incrementen los ingresos, la base tributaria y el cobro de deudas por parte de las grandes empresas.","correo",2018-08-22,"Congresista Richard Acuña. No queremos medidas para la foto. Reducir 1% del gasto en el sector pblico como medida de austeridad no es suficiente. Requerimos medidas que incrementen los ingresos, la base tributaria y el cobro de deudas por parte de las grandes empresas.","-1","Unknown",0.0569,"233","pequenas empresas mypes, exoneraciones tributarias, paguen, remuneracion, congresista vozdelatierra",1,"-1","Unknown",0.0016
"Las tasas más bajas de participación de las mujeres se reducen en menos sectores de empleo","Con escasa variación a lo largo del tiempo, lo que socava su capacidad para obtener ingresos, explicó el organismo. Uno de los principales problemas para la OIT es que la mayoría de países con alta desigualdad no ha tenido mejoras en reducir las brechas. Los países que sí tuvieron esos progresos fueron los de Europa y América del Norte, pero debido a que las recesiones y la crisis económica mundial azotaron el mercado laboral y redujeron las tasas de empleo de los hombres.","correo",2016-03-08,"Las tasas más bajas de participación de las mujeres se reducen en menos sectores de empleo. Con escasa variación a lo largo del tiempo, lo que socava su capacidad para obtener ingresos, explicó el organismo. Uno de los principales problemas para la OIT es que la mayoría de países con alta desigualdad no ha tenido mejoras en reducir las brechas. Los países que sí tuvieron esos progresos fueron los de Europa y América del Norte, pero debido a que las recesiones y la crisis económica mundial azotaron el mercado laboral y redujeron las tasas de empleo de los hombres.","113","emprendimiento femenino, laboral mujeres, mujeres emprendedoras, mujeres peruanas, mujeres trabajan",1,"235","sector informal, mercado informalidad, millones personas trabajan, crear trabajo, competitividad tema",1,"-1","Unknown",0.0419
"Eternamente, la victoria","Con casi 24 años los que llevo acudiendo casi a diario al distrito de La Victoria, pues trabajo desde inicios de 1993 en Grupo Epensa, cuya sede se ubica en Santa Catalina, cerca del cruce de Nicolás Arriola con Canadá, y es lamentable ver que al cabo de todo este tiempo, esta jurisdicción sigue siendo tan o más catica e inmanejable como en años anteriores, a pesar de todas las bondades que ofrece y los recursos que maneja. El colmo ha sido lo sucedido en las últimas horas, en el sentido de que la Contralora ha pedido al Ministerio de Economía y Finanzas que congelen las cuentas de la Municipalidad de La Victoria, ante las presuntas irregularidades detectadas en la gestión del alcalde Elías Cuba, quien fue elegido por las filas de Solidaridad Nacional, agrupación que se equivocó de lleno al colocar a dicho caballero como postulante de este distrito con tan grandes problemas. Recordemos que hace unas semanas se hizo público que el hijo del propio alcalde Cuba habría estado cobrando cupos a los eternos ambulantes para que sigan ocupando la zona comercial de Gamarra, que sigue siendo tierra de nadie a pesar del dinero que ahí se mueve. Ojalá que un mal día de éstos no haya un incendio como el de Mesa Redonda en 2001, para que alguien recién haga algo.","correo",2016-11-30,"Eternamente, la victoria. Con casi 24 años los que llevo acudiendo casi a diario al distrito de La Victoria, pues trabajo desde inicios de 1993 en Grupo Epensa, cuya sede se ubica en Santa Catalina, cerca del cruce de Nicolás Arriola con Canadá, y es lamentable ver que al cabo de todo este tiempo, esta jurisdicción sigue siendo tan o más catica e inmanejable como en años anteriores, a pesar de todas las bondades que ofrece y los recursos que maneja. El colmo ha sido lo sucedido en las últimas horas, en el sentido de que la Contralora ha pedido al Ministerio de Economía y Finanzas que congelen las cuentas de la Municipalidad de La Victoria, ante las presuntas irregularidades detectadas en la gestión del alcalde Elías Cuba, quien fue elegido por las filas de Solidaridad Nacional, agrupación que se equivocó de lleno al colocar a dicho caballero como postulante de este distrito con tan grandes problemas. Recordemos que hace unas semanas se hizo público que el hijo del propio alcalde Cuba habría estado cobrando cupos a los eternos ambulantes para que sigan ocupando la zona comercial de Gamarra, que sigue siendo tierra de nadie a pesar del dinero que ahí se mueve. Ojalá que un mal día de éstos no haya un incendio como el de Mesa Redonda en 2001, para que alguien recién haga algo.","-1","Unknown",0.0194,"-1","Unknown",0.0114,"128","comerciantes ambulantes, emporio comercial gamarra, comerciantes informales, municipalidad lima, municipalidad victoria",0.0404
"Ventas en Gamarra han caído en 20% cada año","Dignes Alva, dirigente de los comerciantes formales de Gamarra, reveló a Correo que durante el gobierno de Ollanta Humala las ventas en dicho emporio bajaron cada año hasta en 20%. En todo este tiempo hubo recesión, pero de todas maneras a fines de 2015 vendimos por lo menos para pagar los impuestos y los alquileres, refirió. Según Alva, este panorama continuará en la época de verano, por lo que tratarán de innovar y elaborar dosis prendas. Los comerciantes vamos a seguir creando moda, manifestó. De otro lado, el empresario reveló que en 2016 no se permitirá la instalación de módulos de comida en las calles que forman parte del damero de Gamarra. El alcalde de La Victoria, Elias Cuba, se comprometió con nosotros a sacarlos de forma definitiva. Rememos que cumpla su palabra, de lo contrario protestaremos, advirtió.","correo",2016-01-05,"Ventas en Gamarra han caído en 20% cada año. Dignes Alva, dirigente de los comerciantes formales de Gamarra, reveló a Correo que durante el gobierno de Ollanta Humala las ventas en dicho emporio bajaron cada año hasta en 20%. En todo este tiempo hubo recesión, pero de todas maneras a fines de 2015 vendimos por lo menos para pagar los impuestos y los alquileres, refirió. Según Alva, este panorama continuará en la época de verano, por lo que tratarán de innovar y elaborar dosis prendas. Los comerciantes vamos a seguir creando moda, manifestó. De otro lado, el empresario reveló que en 2016 no se permitirá la instalación de módulos de comida en las calles que forman parte del damero de Gamarra. El alcalde de La Victoria, Elias Cuba, se comprometió con nosotros a sacarlos de forma definitiva. Rememos que cumpla su palabra, de lo contrario protestaremos, advirtió.","-1","Unknown",0.0121,"-1","Unknown",0.0253,"128","comerciantes ambulantes, emporio comercial gamarra, comerciantes informales, municipalidad lima, municipalidad victoria",0.0919
"Detienen a 15 sujetos tras haber saqueado un minimarket","Tras el robo, policías persiguieron a los responsables. Montalvo había dejado abandonado en el parque una mochila con los productos que había saqueado, mientras que el otro tenía entre sus pertenencias dulces del minimarket. Los trabajadores reconocieron a los dos ladrones y estos últimos quedaron detenidos.  Desde que el presidente Martín Vizcarra declaró el Estado de Emergencia en el Perú, la Municipalidad de Los Olivos, a través de la Subgerencia de Fiscalización y la comuna de Serenazgo, ha controlado los locales que incumplen las medidas emitidas.","correo",2020-03-18,"Detienen a 15 sujetos tras haber saqueado un minimarket. Tras el robo, policías persiguieron a los responsables. Montalvo había dejado abandonado en el parque una mochila con los productos que había saqueado, mientras que el otro tenía entre sus pertenencias dulces del minimarket. Los trabajadores reconocieron a los dos ladrones y estos últimos quedaron detenidos.  Desde que el presidente Martín Vizcarra declaró el Estado de Emergencia en el Perú, la Municipalidad de Los Olivos, a través de la Subgerencia de Fiscalización y la comuna de Serenazgo, ha controlado los locales que incumplen las medidas emitidas.","22","delincuentes armados, agencia bancaria, agencia banco, cuatro delincuentes, grupo delincuentes",0.0203,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.0428,"-1","Unknown",0.0112
"Corrección de errores","Sin título","correo",2019-10-14,"Corrección de errores. Sin título","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.0207,"-1","Unknown",0.0025,"63","correograma, correograma josip, correo, correograma josip muhvic, correo pe",0.1882
"Serenos impiden que cambistas vuelvan al distrito.","Municipio de San Borja retira a los cambistas informales de las calles Erradicar la violencia de las calles es la meta que se ha trazado la Municipalidad de San Borja y con ese fin ha movilizado a 75 efectivos de fiscalizacin y serenazgo para que vigilen los principales puntos donde se realiza el cambio de moneda extranjera en el distrito. Hemos dispuesto la vigilancia de cinco puntos donde los cambistas realizan esta actividad. El personal asignado permanecer en estos lugares por un tiempo de 15 das. Luego se determinar si se continua con la vigilancia o no, coment un sereno de San Borja. Durante el da no se han reportado incidentes, debido a que los cambistas estaban advertidos de la medida dispuesta por la comuna. Voceros ediles de San Borja han planteado a los cambistas callejeros la posibilidad de municipalizarse en casas de cambio, as como otorgarle facilidades para que continen con su actividad.","correo",2016-11-29,"Serenos impiden que cambistas vuelvan al distrito.. Municipio de San Borja retira a los cambistas informales de las calles Erradicar la violencia de las calles es la meta que se ha trazado la Municipalidad de San Borja y con ese fin ha movilizado a 75 efectivos de fiscalizacin y serenazgo para que vigilen los principales puntos donde se realiza el cambio de moneda extranjera en el distrito. Hemos dispuesto la vigilancia de cinco puntos donde los cambistas realizan esta actividad. El personal asignado permanecer en estos lugares por un tiempo de 15 das. Luego se determinar si se continua con la vigilancia o no, coment un sereno de San Borja. Durante el da no se han reportado incidentes, debido a que los cambistas estaban advertidos de la medida dispuesta por la comuna. Voceros ediles de San Borja han planteado a los cambistas callejeros la posibilidad de municipalizarse en casas de cambio, as como otorgarle facilidades para que continen con su actividad.","139","ambulantes gamarra, calles san isidro, calles san, alcalde victoria george, ambulantes",0.109,"1","organizacin, investigacin, relacin, tambin, informacin",0.1112,"410","cambistas san, casas cambio, asociacion cambistas, dedicados cambio moneda, cambistas",0.1147
