"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob","year"
"Proyecta el Minem Alza de cotizaciones impulsar la exploración minera","El Ministerio de Energía y Minas (Minem) proyecta que la exploración minera crecerá 20% este año, por el alza de los precios de los metales.","elcomercio",2018-02-27,"Proyecta el Minem Alza de cotizaciones impulsar la exploración minera. El Ministerio de Energía y Minas (Minem) proyecta que la exploración minera crecerá 20% este año, por el alza de los precios de los metales.","399","minera ilegal, mineros ilegales, mineria ilegal, mineros informales, actividad minera",0.1256,"-1","Unknown",0.019,"649","proyectos mineros, inversiones mineras, nacional mineria petroleo, nacional mineria, proyecto minero",0.0669,"2018"
"Decretos tributarios buscan impulsar la inversión","Ayer se publicaron una serie de decretos relativos en materia tributaria, los cuales tendrán un impacto positivo en la inversión, informó el Ministerio de Economía y Finanzas (MEF).  Uno de ellos modifica los regímenes especiales de devolución del IGV. Con ello, se permitirá a las empresas con ingresos menores a 300 UIT percibir el IGV de sus compras de bienes de capital, a fin de promover su crecimiento.  Se pueden acoger todos los contribuyentes pertenecientes al régimen general o al régimen mype tributario. As, se incrementará el potencial de empresas que pueden acogerse a este beneficio, según el MEF.  Otra medida establece un crédito indirecto contra el Impuesto a la Renta. Esta medida permitirá que el inversionista peruano pueda usar el impuesto que su subsidiaria paga en el extranjero por sus rentas empresariales como crédito contra el Impuesto a la Renta, detalló el MEF.","publimetro",2018-09-14,"Decretos tributarios buscan impulsar la inversión. Ayer se publicaron una serie de decretos relativos en materia tributaria, los cuales tendrán un impacto positivo en la inversión, informó el Ministerio de Economía y Finanzas (MEF).  Uno de ellos modifica los regímenes especiales de devolución del IGV. Con ello, se permitirá a las empresas con ingresos menores a 300 UIT percibir el IGV de sus compras de bienes de capital, a fin de promover su crecimiento.  Se pueden acoger todos los contribuyentes pertenecientes al régimen general o al régimen mype tributario. As, se incrementará el potencial de empresas que pueden acogerse a este beneficio, según el MEF.  Otra medida establece un crédito indirecto contra el Impuesto a la Renta. Esta medida permitirá que el inversionista peruano pueda usar el impuesto que su subsidiaria paga en el extranjero por sus rentas empresariales como crédito contra el Impuesto a la Renta, detalló el MEF.","2385","ley impuesto renta, ley impuesto, regimen mype tributario, impuesto general ventas, incentivos tributarios",1,"-1","Unknown",0.0495,"3275","administracion tributaria sunat, tributaria sunat, impuesto renta ir, impuesto renta, segun sunat",0.005,"2018"
"Minedu firma acuerdo con Senati","El Ministerio de Educación suscribió memorando de entendimiento con el Centro Nacional de Adiestramiento en Trabajo Industrial (SENATI), en aras de promover la formación de técnicos calificados.","gestion",2016-04-08,"Minedu firma acuerdo con Senati. El Ministerio de Educación suscribió memorando de entendimiento con el Centro Nacional de Adiestramiento en Trabajo Industrial (SENATI), en aras de promover la formación de técnicos calificados.","947","empleo informal, informalidad laboral, empleo formal empresas, formalizacion laboral, empleos formales",0.0442,"-1","Unknown",0.0011,"-1","Unknown",0.0189,"2016"
"El alto comisionado para asuntos de formalización minera, Antonio Fernández Jerez, indicó que la fiscal coordinadora nacional de las fiscalías especializadas en materia ambiental, Flor de María Vega, solo ha puesto a disposición fiscales para dos operaciones de intervención al mes, y que las 231 solicitudes que presentó fueron rechazadas por el Ministerio Público.","Opin al respecto el ministro del Ambiente, Manuel Pulgar-Vidal: Cuando uno quiere actuar bajo el Estado de derecho, la lógica indica que la policía tenga el respaldo de la fiscal, cada intervención con un fiscal, así funciona el Estado. La fiscal rechazó estas afirmaciones, y en un comunicado indicó que este año las fiscalías especializadas en materia ambiental han recibido solo 19 solicitudes para operaciones, y que varios fueron cancelados por la oficina que dirige Fernández Jerez. Según Vega, además, a comienzos de octubre se negó a participar en una operación porque no había suficientes garantías de seguridad.","elcomercio",2015-11-26,"El alto comisionado para asuntos de formalización minera, Antonio Fernández Jerez, indicó que la fiscal coordinadora nacional de las fiscalías especializadas en materia ambiental, Flor de María Vega, solo ha puesto a disposición fiscales para dos operaciones de intervención al mes, y que las 231 solicitudes que presentó fueron rechazadas por el Ministerio Público.. Opin al respecto el ministro del Ambiente, Manuel Pulgar-Vidal: Cuando uno quiere actuar bajo el Estado de derecho, la lógica indica que la policía tenga el respaldo de la fiscal, cada intervención con un fiscal, así funciona el Estado. La fiscal rechazó estas afirmaciones, y en un comunicado indicó que este año las fiscalías especializadas en materia ambiental han recibido solo 19 solicitudes para operaciones, y que varios fueron cancelados por la oficina que dirige Fernández Jerez. Según Vega, además, a comienzos de octubre se negó a participar en una operación porque no había suficientes garantías de seguridad.","399","minera ilegal, mineros ilegales, mineria ilegal, mineros informales, actividad minera",0.1014,"-1","Unknown",0.0312,"617","mineria ilegal madre, formalizacion minera, proceso formalizacion minera, formalizacion mineria, mineros ilegales",0.1766,"2015"
"Autoridades electas en Cajamarca dicen que ningún proyecto minero será viable","Seguidores de Gregorio Santos afirman que prioridad de gestión será la defensa del agua. No aceptarán proyectos en cabeceras de cuenca.  Porfirio Medina, virtual vicepresidente regional de Cajamarca, adelantó que ni Conga ni otros proyectos mineros en cabeceras de cuenca serán viables. Militantes del partido de Gregorio Santos pidieron su liberación y anunciaron que marcharán a Lima.  En Cajamarca. Los dirigentes del Movimiento de Afirmación Social (MAS), que preside Gregorio Santos, reiteraron que la gestión que asumirá la presidencia regional desde enero del 2015 se opondrá a cualquier proyecto minero.  Todos los proyectos mineros en cabecera de cuenca, que están por ejecutarse, son inviables porque comprometen seriamente el acceso al recurso hídrico de la región. Esa es la posición inamovible del MAS, no solo válida para Conga sino para cualquier otra iniciativa, afirm César Aliaga, presidente regional en funciones desde junio pasado, cuando Santos fue internado en el penal de Piedras Gordas (Lima), investigado por los delitos de corrupción y asociación ilícita.  Porfirio Medina, virtual vicepresidente regional, quien asumiría la presidencia hasta agosto del 2015, debido a la prisión preventiva de Santos, confirmó que su gestión mantendrá su rechazo a la actividad minera. Asimismo, precisó que en estos días presentarán un habeas corpus para lograr que Santos sea excarcelado y pueda jurar para un segundo período como máxima autoridad regional.  Medina informó a este Diario que las bases del MAS [que ha obtenido 10 de las 13 provincias de Cajamarca, con lo que tendrá 14 de 16 miembros en el consejo regional] evalúan desplegar una marcha hacia la capital, como respaldo a su política de defensa del agua. La movilización sería a fines de año, pues desean coincidir con la Conferencia de las Partes (COP20), evento de las Naciones Unidas que se llevará a cabo en diciembre.  Entrevista Porfirio Medina Virtual vicepresidente regional de Cajamarca Cajamarca mantiene su posición Incertidumbre Jorge Vergara Quiroz, presidente de la Cámara de Cajamarca, precisó que el triunfo de Gregorio Santos genera incertidumbre en el empresariado, más aún cuando se conoce que hay US$9.208 millones en inversiones mineras comprometidos para esta década.  Esperamos que en esta nueva gestión estén más abiertos a las inversiones. Lo decimos por el bien de Cajamarca. No comparto que el proyecto Conga sea inviable, dijo.  Cómo sería la lucha contra la corrupción si su virtual presidente regional está preso presumiblemente por ese delito? La detención de Goyo [Gregorio Santos] es una medida preliminar, impulsada por un interés político desde el Gobierno Central. Él está dispuesto a que lo investiguen porque las acusaciones son falsas. Pese a la presión política, Cajamarca le demostró al país que mantenemos nuestra posición.  ¿Cómo coordinarán con aquellas autoridades que evalúen aceptar proyectos mineros?","elcomercio",2014-10-08,"Autoridades electas en Cajamarca dicen que ningún proyecto minero será viable. Seguidores de Gregorio Santos afirman que prioridad de gestión será la defensa del agua. No aceptarán proyectos en cabeceras de cuenca.  Porfirio Medina, virtual vicepresidente regional de Cajamarca, adelantó que ni Conga ni otros proyectos mineros en cabeceras de cuenca serán viables. Militantes del partido de Gregorio Santos pidieron su liberación y anunciaron que marcharán a Lima.  En Cajamarca. Los dirigentes del Movimiento de Afirmación Social (MAS), que preside Gregorio Santos, reiteraron que la gestión que asumirá la presidencia regional desde enero del 2015 se opondrá a cualquier proyecto minero.  Todos los proyectos mineros en cabecera de cuenca, que están por ejecutarse, son inviables porque comprometen seriamente el acceso al recurso hídrico de la región. Esa es la posición inamovible del MAS, no solo válida para Conga sino para cualquier otra iniciativa, afirm César Aliaga, presidente regional en funciones desde junio pasado, cuando Santos fue internado en el penal de Piedras Gordas (Lima), investigado por los delitos de corrupción y asociación ilícita.  Porfirio Medina, virtual vicepresidente regional, quien asumiría la presidencia hasta agosto del 2015, debido a la prisión preventiva de Santos, confirmó que su gestión mantendrá su rechazo a la actividad minera. Asimismo, precisó que en estos días presentarán un habeas corpus para lograr que Santos sea excarcelado y pueda jurar para un segundo período como máxima autoridad regional.  Medina informó a este Diario que las bases del MAS [que ha obtenido 10 de las 13 provincias de Cajamarca, con lo que tendrá 14 de 16 miembros en el consejo regional] evalúan desplegar una marcha hacia la capital, como respaldo a su política de defensa del agua. La movilización sería a fines de año, pues desean coincidir con la Conferencia de las Partes (COP20), evento de las Naciones Unidas que se llevará a cabo en diciembre.  Entrevista Porfirio Medina Virtual vicepresidente regional de Cajamarca Cajamarca mantiene su posición Incertidumbre Jorge Vergara Quiroz, presidente de la Cámara de Cajamarca, precisó que el triunfo de Gregorio Santos genera incertidumbre en el empresariado, más aún cuando se conoce que hay US$9.208 millones en inversiones mineras comprometidos para esta década.  Esperamos que en esta nueva gestión estén más abiertos a las inversiones. Lo decimos por el bien de Cajamarca. No comparto que el proyecto Conga sea inviable, dijo.  Cómo sería la lucha contra la corrupción si su virtual presidente regional está preso presumiblemente por ese delito? La detención de Goyo [Gregorio Santos] es una medida preliminar, impulsada por un interés político desde el Gobierno Central. Él está dispuesto a que lo investiguen porque las acusaciones son falsas. Pese a la presión política, Cajamarca le demostró al país que mantenemos nuestra posición.  ¿Cómo coordinarán con aquellas autoridades que evalúen aceptar proyectos mineros?","399","minera ilegal, mineros ilegales, mineria ilegal, mineros informales, actividad minera",0.0899,"-1","Unknown",9e-04,"-1","Unknown",0.0039,"2014"
"Ramificaciones","Han sido usados en miles de oportunidades y centenas de latitudes para negocios de forma correcta o para capturar a incautos que resbalan bajo la promesa de dinero fácil; muy bien.  Uno de los principales retos que nuestro país enfrenta es cómo ampliar la base tributaria para, en síntesis, recaudar más ingresos y enfrentar el importante hueco fiscal.  El asunto pasa porque la forma más simple de aumentar la recaudación será siempre exigir mayor sacrificio sobre los contribuyentes formales, por encima de buscar a nuevos pagadores de impuestos.  El Estado jamás tendrá mejor información que los propios comerciantes que abandonaron la informalidad para formar parte del sistema sobre cómo encontrar a otros como ellos.  Esto tiene su explicación en que es mucho más costoso en términos de información y de inversión de horas hombre exprimir al gran conocido que encontrar y formalizar al nuevo por desconocer. Así, el Estado año a año enfrenta la paradoja de cómo es que podría convocarse al mercado formal a parte medular de ese 70% de transacciones que se dan de espaldas al Estado y que no dejan un margen de contribución para personas que probablemente luego sí harán uso de los servicios por los que jamás han pagado.  Hay en la pirámide una idea para revertir esta compleja situación.  Si cada empresario informal recibiese incentivos fiscales por parte del Estado por cada nuevo empresario informal que el primero ayude a llevar al sistema, los incentivos para que los formales pasen a la formalidad quedarían mucho mejor alineados. El Estado jamás tendrá mejor información que los propios comerciantes que abandonaron la informalidad para formar parte del sistema sobre cómo encontrar a otros como ellos y tampoco sabrá cuáles son los reales motivos que los empujaron a tomar una decisión tan relevante. Los mejores argumentos para el pequeño comerciante informal los tiene el pequeño comerciante formal.  Así el Estado podría crear redes piramidales que penetren los mercados en los que la informalidad campa a sus anchas para poder enfrentar con convicción un problema que debido a la asimetría de información es hoy una migración constante. Además, quienes ya son formales sentirán que su esfuerzo no solo paga un rédito frente a la Sunat, sino que también les confiere beneficios económicos directos de los que disfrutarán si manifiestan a esta cruzada formalizadora. Cruzada sin la cual el país quedar atrapado en la trampa de la pobreza y no habrá reforma que surta efecto, pues las leyes no carecen de virtudes mágicas borgianas.  Ahora, reformas como estas requieren de conocimiento y práctica, pero sobre todo de voluntad política. Andar de viaje por la península Ibérica en momentos como estos, lo que necesitamos es a un presidente que se dedique a pensar en soluciones y no a vestir disfraces de corte.","peru21",2019-02-28,"Ramificaciones. Han sido usados en miles de oportunidades y centenas de latitudes para negocios de forma correcta o para capturar a incautos que resbalan bajo la promesa de dinero fácil; muy bien.  Uno de los principales retos que nuestro país enfrenta es cómo ampliar la base tributaria para, en síntesis, recaudar más ingresos y enfrentar el importante hueco fiscal.  El asunto pasa porque la forma más simple de aumentar la recaudación será siempre exigir mayor sacrificio sobre los contribuyentes formales, por encima de buscar a nuevos pagadores de impuestos.  El Estado jamás tendrá mejor información que los propios comerciantes que abandonaron la informalidad para formar parte del sistema sobre cómo encontrar a otros como ellos.  Esto tiene su explicación en que es mucho más costoso en términos de información y de inversión de horas hombre exprimir al gran conocido que encontrar y formalizar al nuevo por desconocer. Así, el Estado año a año enfrenta la paradoja de cómo es que podría convocarse al mercado formal a parte medular de ese 70% de transacciones que se dan de espaldas al Estado y que no dejan un margen de contribución para personas que probablemente luego sí harán uso de los servicios por los que jamás han pagado.  Hay en la pirámide una idea para revertir esta compleja situación.  Si cada empresario informal recibiese incentivos fiscales por parte del Estado por cada nuevo empresario informal que el primero ayude a llevar al sistema, los incentivos para que los formales pasen a la formalidad quedarían mucho mejor alineados. El Estado jamás tendrá mejor información que los propios comerciantes que abandonaron la informalidad para formar parte del sistema sobre cómo encontrar a otros como ellos y tampoco sabrá cuáles son los reales motivos que los empujaron a tomar una decisión tan relevante. Los mejores argumentos para el pequeño comerciante informal los tiene el pequeño comerciante formal.  Así el Estado podría crear redes piramidales que penetren los mercados en los que la informalidad campa a sus anchas para poder enfrentar con convicción un problema que debido a la asimetría de información es hoy una migración constante. Además, quienes ya son formales sentirán que su esfuerzo no solo paga un rédito frente a la Sunat, sino que también les confiere beneficios económicos directos de los que disfrutarán si manifiestan a esta cruzada formalizadora. Cruzada sin la cual el país quedar atrapado en la trampa de la pobreza y no habrá reforma que surta efecto, pues las leyes no carecen de virtudes mágicas borgianas.  Ahora, reformas como estas requieren de conocimiento y práctica, pero sobre todo de voluntad política. Andar de viaje por la península Ibérica en momentos como estos, lo que necesitamos es a un presidente que se dedique a pensar en soluciones y no a vestir disfraces de corte.","1795","politica fiscal, deficit fiscal, tributarias, tributaria, impuestos",1,"-1","Unknown",0.0166,"3240","contribuyentes formales, parasos fiscales, contribuyentes, impuestos, base tributaria",1,"2019"
"ANLISIS","Mar a Anglica Remuzgo DIRECTORA CONCESONES MINERA|INGEMMET LAS BASES DE LOS PETITORIOS El lotorgamiento de concesiones mineras es un procedimiento que descansa en principios de certeza, simplicidad, transparencia, y seguridad jurdica. Es ces que el sistema de siones mineras nose ve afectado. Estos principios tienen como base el tema del catastro mineral nacional. Asi mismo, los petitorios no deben servstos de manemaislada de las inversiones. Tambin hay que verlo con el tema de cuanto estudios ambientales se estn aprobando para exploracin y explotacin. Para este ao, el Ingemmet busca ner la va nguardia del catastro mineral nacional, que srve no solo para la institucin sino para todas las regiones. Se est proyectando dar mayor capacitacin a los gobiernos regionales, porque ellos otorgan concesiones para la pequea minera y mineranacional. Entonces, teniendo este catastro a su cargo, se busca estandarizar y que los gobiernos regionales tengan el mismo nivel de respuesta, con el soporte del catastro minero.","gestion",2014-04-22,"ANLISIS. Mar a Anglica Remuzgo DIRECTORA CONCESONES MINERA|INGEMMET LAS BASES DE LOS PETITORIOS El lotorgamiento de concesiones mineras es un procedimiento que descansa en principios de certeza, simplicidad, transparencia, y seguridad jurdica. Es ces que el sistema de siones mineras nose ve afectado. Estos principios tienen como base el tema del catastro mineral nacional. Asi mismo, los petitorios no deben servstos de manemaislada de las inversiones. Tambin hay que verlo con el tema de cuanto estudios ambientales se estn aprobando para exploracin y explotacin. Para este ao, el Ingemmet busca ner la va nguardia del catastro mineral nacional, que srve no solo para la institucin sino para todas las regiones. Se est proyectando dar mayor capacitacin a los gobiernos regionales, porque ellos otorgan concesiones para la pequea minera y mineranacional. Entonces, teniendo este catastro a su cargo, se busca estandarizar y que los gobiernos regionales tengan el mismo nivel de respuesta, con el soporte del catastro minero.","960","minera informal, mineria informal, mineria ilegal, minera ilegal, formalizacion minera",0.1529,"655","produccin, operacin, recuperacin, participacin, informacin",0.2139,"1551","mineria peru, mineria peruana, nueva ley mineria, proyectos mineros, sector minero",0.0367,"2014"
"Salida al conflicto: El sábado se firmó acta con compromisos","Del Solar remarca que acuerdo por Las Bambas es oficial. Dilogo. Espera que se levanten los bloqueos para poder ir el jueves a Apurmac y hablar con los comuneros. Da clave. Hoy dirigente Gregorio Rojas explicará los puntos alcanzados a su comunidad. Un grupo dice que protesta seguir. Escenario. En zona de influencia de la minera los partidos políticos carecen de liderazgo y no han sentado posición.","elcomercio",2019-04-08,"Salida al conflicto: El sábado se firmó acta con compromisos. Del Solar remarca que acuerdo por Las Bambas es oficial. Dilogo. Espera que se levanten los bloqueos para poder ir el jueves a Apurmac y hablar con los comuneros. Da clave. Hoy dirigente Gregorio Rojas explicará los puntos alcanzados a su comunidad. Un grupo dice que protesta seguir. Escenario. En zona de influencia de la minera los partidos políticos carecen de liderazgo y no han sentado posición.","399","minera ilegal, mineros ilegales, mineria ilegal, mineros informales, actividad minera",0.2574,"278","mesa dialogo, valle tambo, cusco, arequipa, protestas",0.0738,"702","minera mmg bambas, proyecto minero bambas, minera bambas, comuneros fuerabamba, comunidad fuerabamba",0.063,"2019"
"El prologo-o de la infelicidad laboral– es nuestro nivel de empleabilidad y el valor de nuestra marca personal.","El precio de estar en el mercado muchos meses buscando trabajo es muy alto como para descuidar nuestra marca y nuestra carrera mientras tenemos trabajo.  7. El trabajo nos lo tenemos que ganar, en serio, cada da de la semana, agregando valor. Es clave evitar la complacencia y por supuesto la arrogancia que a veces trae el éxito. Cambios inesperados nos suceden a todos; incluso a quienes son muy exitosos en su carrera o su vida.  8. Todos los trabajos tienen un comienzo y un final; pueden durar meses o muchos años, pero tarde o temprano todos acaban. Esa realidad es a veces dura de aceptar, pero debe ayudar a enfocarnos en que nosotros somos totalmente responsables de nuestra carrera y servicios, de nuestro nivel de relevancia, vigencia, eficiencia y productividad. Y por supuesto, de nuestra actitud para manejar nuestra carrera como nuestro mejor negocio propio!","elcomercio",2019-04-28,"El prologo-o de la infelicidad laboral– es nuestro nivel de empleabilidad y el valor de nuestra marca personal.. El precio de estar en el mercado muchos meses buscando trabajo es muy alto como para descuidar nuestra marca y nuestra carrera mientras tenemos trabajo.  7. El trabajo nos lo tenemos que ganar, en serio, cada da de la semana, agregando valor. Es clave evitar la complacencia y por supuesto la arrogancia que a veces trae el éxito. Cambios inesperados nos suceden a todos; incluso a quienes son muy exitosos en su carrera o su vida.  8. Todos los trabajos tienen un comienzo y un final; pueden durar meses o muchos años, pero tarde o temprano todos acaban. Esa realidad es a veces dura de aceptar, pero debe ayudar a enfocarnos en que nosotros somos totalmente responsables de nuestra carrera y servicios, de nuestro nivel de relevancia, vigencia, eficiencia y productividad. Y por supuesto, de nuestra actitud para manejar nuestra carrera como nuestro mejor negocio propio!","420","trabajo promocion empleo, empleo informal, reforma laboral, promocion empleo, informalidad laboral",0.0124,"290","creatividad empresarial, innovar, emprendedores, innovacion, start ups",0.1621,"970","empleabilidad, profesionales, mundo trabajo, servicios profesionales, nivel empleabilidad",1,"2019"
"Reventadores fueron desalojados por la PNP","Muchos comienzan a aduearse de sitios en el estadio para el Per vs. Colombia del 10 de octubre. Renzo Dulanto Z. reporta que, a pesar de que falta más de una semana para que los boletos puedan ser adquiridos, decenas de personas se animaron a poner carpas alrededor del Coloso de José Díaz para —desde ya— un sitio preferente y poder comprar las entradas de manera anticipada. La Policía Nacional desalojó a las personas, que fueron entrevistadas por las cámaras de televisión, y quitó las carpas del lugar.","correo",2017-09-22,"Reventadores fueron desalojados por la PNP. Muchos comienzan a aduearse de sitios en el estadio para el Per vs. Colombia del 10 de octubre. Renzo Dulanto Z. reporta que, a pesar de que falta más de una semana para que los boletos puedan ser adquiridos, decenas de personas se animaron a poner carpas alrededor del Coloso de José Díaz para —desde ya— un sitio preferente y poder comprar las entradas de manera anticipada. La Policía Nacional desalojó a las personas, que fueron entrevistadas por las cámaras de televisión, y quitó las carpas del lugar.","-1","Unknown",0.0027,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.0738,"489","selecciones peru, noviembre estadio nacional, entradas partido peru, peruana futbol fpf, hinchas peruanos",1,"2017"
