"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob","year"
"LA FRONTERA EN EL CENEPA TAMBIÉN ES VULNERADA POR MADEDEROS DE ECUADOR","Además de mineros artesanales, que extraen tierra con oro mediante túneles, madereros extranjeros talan, pescan y cazan en áreas prohibidas.  Hace 20 años, el Per repelió en un conflicto armado la incursión de militares ecuatorianos en el distrito del Cenepa, en Amazonas. Hoy, ese mismo escenario está siendo invadido por mineros y madereros de ese país, que se llevan partes de lo nuestro.  En la quebrada Llave, siendo la hora 7:25 am., fecha 11 de agosto de 2014… As comienza el acta escrita a mano por Ernesto Ankuash Michakat, gobernador de la localidad de Huampami, en este distrito de la provincia de Condorcanqui (Amazonas). El documento, de una página, narra cómo un grupo de dirigentes de varias comunidades indígenas cercanas a la frontera con Ecuador halló un campamento desde donde se organizaba la actividad de madereros ilegales ecuatorianos. Ellos ingresaban al Per, cortaban madera y se la llevaban a su país.  Trasladan madera en caballos, se lee en el acta escrita en el monte, después de cinco días de viaje a pie.  Impunidad  Ecuatorianos ingresan desde hace años a pescar y cazar en el parque nacional Ichigkat Muja, pese a que está prohibido.  La comitiva halló en el lugar a un sujeto que dijo llamarse Elas Gauna, quien habitaba una vivienda de madera de dos pisos. En la casa había tablones de madera cortada y lista para su envío. Le dimos 15 días para que se retire, explica Ankuash.  Por cuestiones de tiempo y dinero, no volvieron en el plazo acordado. A mediados de diciembre, dirigentes de otra comunidad indígena peruana, Pampaentsa, llegaron al lugar. No hallaron a Gauna, pero sí más viviendas de dos pisos, animales domésticos, así como aves de corral. Y, claro, madera lista. Es decir, Gauna no solo se qued, sino que trajo compañía.  El 17 de enero, El Comercio informó sobre los continuos ingresos de mineros ilegales de Ecuador, quienes cruzan la frontera desde la localidad ecuatoriana de La Herradura y extraen mineral mediante túneles cavados en territorio peruano. A la fecha hay 144 túneles, de una extensión de 2 km. Pero, como evidencia el caso de Gauna, también hay un tráfico, pequeño pero muy frecuente, de madera. Como los mineros, los madereros entran en silencio y, en muchos casos, con la complicidad de militares en bases de observación o vigilancia fronterizas. Aunque aquí nadie observa. Nadie vigila.","elcomercio",2015-01-24,"LA FRONTERA EN EL CENEPA TAMBIÉN ES VULNERADA POR MADEDEROS DE ECUADOR. Además de mineros artesanales, que extraen tierra con oro mediante túneles, madereros extranjeros talan, pescan y cazan en áreas prohibidas.  Hace 20 años, el Per repelió en un conflicto armado la incursión de militares ecuatorianos en el distrito del Cenepa, en Amazonas. Hoy, ese mismo escenario está siendo invadido por mineros y madereros de ese país, que se llevan partes de lo nuestro.  En la quebrada Llave, siendo la hora 7:25 am., fecha 11 de agosto de 2014… As comienza el acta escrita a mano por Ernesto Ankuash Michakat, gobernador de la localidad de Huampami, en este distrito de la provincia de Condorcanqui (Amazonas). El documento, de una página, narra cómo un grupo de dirigentes de varias comunidades indígenas cercanas a la frontera con Ecuador halló un campamento desde donde se organizaba la actividad de madereros ilegales ecuatorianos. Ellos ingresaban al Per, cortaban madera y se la llevaban a su país.  Trasladan madera en caballos, se lee en el acta escrita en el monte, después de cinco días de viaje a pie.  Impunidad  Ecuatorianos ingresan desde hace años a pescar y cazar en el parque nacional Ichigkat Muja, pese a que está prohibido.  La comitiva halló en el lugar a un sujeto que dijo llamarse Elas Gauna, quien habitaba una vivienda de madera de dos pisos. En la casa había tablones de madera cortada y lista para su envío. Le dimos 15 días para que se retire, explica Ankuash.  Por cuestiones de tiempo y dinero, no volvieron en el plazo acordado. A mediados de diciembre, dirigentes de otra comunidad indígena peruana, Pampaentsa, llegaron al lugar. No hallaron a Gauna, pero sí más viviendas de dos pisos, animales domésticos, así como aves de corral. Y, claro, madera lista. Es decir, Gauna no solo se qued, sino que trajo compañía.  El 17 de enero, El Comercio informó sobre los continuos ingresos de mineros ilegales de Ecuador, quienes cruzan la frontera desde la localidad ecuatoriana de La Herradura y extraen mineral mediante túneles cavados en territorio peruano. A la fecha hay 144 túneles, de una extensión de 2 km. Pero, como evidencia el caso de Gauna, también hay un tráfico, pequeño pero muy frecuente, de madera. Como los mineros, los madereros entran en silencio y, en muchos casos, con la complicidad de militares en bases de observación o vigilancia fronterizas. Aunque aquí nadie observa. Nadie vigila.","-1","Unknown","0.0249","205","minera ilegal, tala ilegal, mineros ilegales, mineria ilegal, nacional areas naturales","0.068","330","mineria ilegal, formalizacion minera, mineros ilegales, formalizacion mineria, mineros informales","0.0577","2015"
"Algunos misterios económicos","387,000 afiliados y no los traslada a la AFP de cada trabajador. ¿Cuáles son las 561 entidades estatales incurridas en esta irregularidad?","gestion",2019-07-03,"Algunos misterios económicos. 387,000 afiliados y no los traslada a la AFP de cada trabajador. ¿Cuáles son las 561 entidades estatales incurridas en esta irregularidad?","691","empleo informal, informalidad laboral, empleo formal empresas, trabajadores informales, formalizacion laboral","0,0567","-1","Unknown","0,0104","848","sistema afp, pensiones afp, asociacion afp, afiliados afp, fondos afp","0,2587","2019"
"Para nueva titular del Midis, el desarrollo va más allá de la minería","Ministra Liliana La Rosa considera que ante un proyecto de inversión, lo primero es la licencia social.","gestion",2018-04-09,"Para nueva titular del Midis, el desarrollo va más allá de la minería. Ministra Liliana La Rosa considera que ante un proyecto de inversión, lo primero es la licencia social.","685","mineria ilegal, minera ilegal, ley mineria, mineros ilegales, formalizacion minera","0,054","605","inversion forestal, nacional forestal, ley forestal, desarrollo forestal, servicio nacional forestal","0,0536","-1","Unknown","0,0235","2018"
"ENTREVISTA RICARDO MONZÓN KOMATSU","Una comitiva del gobierno arribó a Madre de Dios y escuchó a los gremios mineros, quienes pidieron una salida para formalizarse. El congresista Pedro Olaechea, integrante de la comisión, asegura que las medidas indicadas en los decretos supremos dictados por la gestión anterior no han funcionado. ¿Cómo se desarrolló la reunión con las federaciones mineras de Madre de Dios? Cuando uno quiere resolver un conflicto, primero tiene que oír a la otra parte. Es muy interesante entender los problemas que tiene la gente. Hay temas tan contradictorios como, por ejemplo, la prohibición de la gasolina o el combustible. Adonde no está llegando el combustible es a la agricultura. Si usted tiene un tractor y quiere manejarlo, solo puede hacerlo durante 20 minutos. No le alcanza para más por la falta de combustible. A qué conclusiones han arribado tras la cita? Lo que ha quedado claro es que hay un marco de formalización que no ha formalizado nada y hay un marco ambiental que no ha protegido al ambiente. Entonces, es obvio que, si los dos marcos legales que existen no funcionan, el Ejecutivo tiene que hacer algo al respecto. ¿Qué ocurre si la interdicción no funciona? Son decretos que, definitivamente, no han funcionado. Una ley seria que tenga requisitos —, ¿qué pasa si la gente no podía cumplirla? Pero, si los marcos legales no pueden ser ejecutados, dígale usted por qué vamos a continuar con ellos. Su conclusión es la misma a la que han llegado los demás miembros de la comisión de diálogo que acudió a Madre de Dios? Yo creo que todos estamos realmente preocupados por las explicaciones que hemos escuchado de todos los gremios, inclusive de los que son transversales, o sea no solo gremios mineros, sino también agrícolas. La clave es escuchar a la gente, porque, si uno va legislando sin escuchar a nadie, no se resuelven los problemas. Hemos tenido la amplitud de dedicar toda una mañana de la agenda del presidente de la República, de los ministros y congresistas a escuchar. Parece que en el Perú no fuera una preocupación escuchar a la gente. ¿Qué voluntad ha percibido de los gremios mineros? Hay una muy buena voluntad de sentarnos y ver un marco que ayude a todos. Un marco que sea promotor, que promueva una minería sana, legal, que cuidemos el medio ambiente. Ellos son conscientes de ello. La población de Madre de Dios reconoce que su medio ambiente también tiene un valor importante para la región y no lo quieren perder. Incluso, ellos reconocieron el daño que se ha hecho y nos dijeron que estaban dispuestos a hacer un fondo para reparar. La Federación de Mineros de Madre de Dios ha pedido al gobierno que se suspendan las interdicciones. ¿Qué opina al respecto? Ha funcionado o no ha funcionado? No. Entonces, para qué vas a seguir metiendo bala a la gente? O sea, yo creo que lo que tenemos que hacer es parar. Creo que en estos días va a haber más evoluciones al tema y algunos compromisos básicos para poder generar esta agenda de trabajo y lograr resolver la agenda. Vamos a comenzar a trabajar, el proceso está en marcha.","peru21",2016-08-11,"ENTREVISTA RICARDO MONZÓN KOMATSU. Una comitiva del gobierno arribó a Madre de Dios y escuchó a los gremios mineros, quienes pidieron una salida para formalizarse. El congresista Pedro Olaechea, integrante de la comisión, asegura que las medidas indicadas en los decretos supremos dictados por la gestión anterior no han funcionado. ¿Cómo se desarrolló la reunión con las federaciones mineras de Madre de Dios? Cuando uno quiere resolver un conflicto, primero tiene que oír a la otra parte. Es muy interesante entender los problemas que tiene la gente. Hay temas tan contradictorios como, por ejemplo, la prohibición de la gasolina o el combustible. Adonde no está llegando el combustible es a la agricultura. Si usted tiene un tractor y quiere manejarlo, solo puede hacerlo durante 20 minutos. No le alcanza para más por la falta de combustible. A qué conclusiones han arribado tras la cita? Lo que ha quedado claro es que hay un marco de formalización que no ha formalizado nada y hay un marco ambiental que no ha protegido al ambiente. Entonces, es obvio que, si los dos marcos legales que existen no funcionan, el Ejecutivo tiene que hacer algo al respecto. ¿Qué ocurre si la interdicción no funciona? Son decretos que, definitivamente, no han funcionado. Una ley seria que tenga requisitos —, ¿qué pasa si la gente no podía cumplirla? Pero, si los marcos legales no pueden ser ejecutados, dígale usted por qué vamos a continuar con ellos. Su conclusión es la misma a la que han llegado los demás miembros de la comisión de diálogo que acudió a Madre de Dios? Yo creo que todos estamos realmente preocupados por las explicaciones que hemos escuchado de todos los gremios, inclusive de los que son transversales, o sea no solo gremios mineros, sino también agrícolas. La clave es escuchar a la gente, porque, si uno va legislando sin escuchar a nadie, no se resuelven los problemas. Hemos tenido la amplitud de dedicar toda una mañana de la agenda del presidente de la República, de los ministros y congresistas a escuchar. Parece que en el Perú no fuera una preocupación escuchar a la gente. ¿Qué voluntad ha percibido de los gremios mineros? Hay una muy buena voluntad de sentarnos y ver un marco que ayude a todos. Un marco que sea promotor, que promueva una minería sana, legal, que cuidemos el medio ambiente. Ellos son conscientes de ello. La población de Madre de Dios reconoce que su medio ambiente también tiene un valor importante para la región y no lo quieren perder. Incluso, ellos reconocieron el daño que se ha hecho y nos dijeron que estaban dispuestos a hacer un fondo para reparar. La Federación de Mineros de Madre de Dios ha pedido al gobierno que se suspendan las interdicciones. ¿Qué opina al respecto? Ha funcionado o no ha funcionado? No. Entonces, para qué vas a seguir metiendo bala a la gente? O sea, yo creo que lo que tenemos que hacer es parar. Creo que en estos días va a haber más evoluciones al tema y algunos compromisos básicos para poder generar esta agenda de trabajo y lograr resolver la agenda. Vamos a comenzar a trabajar, el proceso está en marcha.","1119","proyecto minero, ministro energia minas, ministerio energia minas, mineria ilegal, energia minas","0.1309","-1","Unknown","0.0029","1579","formalizacion minera, mineros ilegales, formalizacion mineria, mineros informales, mineria ilegal","0.0603","2016"
"Pedro Meléndez: Municipalidad de Lima anuncia fiscalización de estos negocios","Tras inspeccionar cerca de 300 restaurantes del Cercado de Lima en lo que va del año para verificar las condiciones sanitarias en las que se ofrecen los alimentos, la Gerencia de Fiscalización y Control de la Municipalidad de Lima tiene en la mira a los vendedores ambulantes de comida autorizados por la comuna. El anuncio lo hizo Christian Rosenthal, gerente de Fiscalización y Control del municipio, durante la inauguración de la capacitación gratuita de control y manipulación de alimentos a los dueños y operarios a cargo de especialistas de la Sociedad Peruana de Gastronomía – Apega con la finalidad de evitar que los negocios sean clausurados, como ocurrió con el restaurante Cordano, el chifa Wa-Lok o la cevichería El Fayke Piurano.  El municipio vigilará que los vendedores de alimentos en la vía pública cumplan con las normas sanitarias. Según la Gerencia de Fiscalización y Control, las inspecciones se realizan de manera permanente y se evalúa cómo los tenderos expenden los alimentos a los comensales. Si los fiscalizadores tienen alguna observación en la preparación de los alimentos, hay ambulantes que venden desayunos, jugos y todo tipo de alimentos. Se está haciendo la coordinación con el municipio de Lima, busca mejorar la calidad.","ojo",2017-05-23,"Pedro Meléndez: Municipalidad de Lima anuncia fiscalización de estos negocios. Tras inspeccionar cerca de 300 restaurantes del Cercado de Lima en lo que va del año para verificar las condiciones sanitarias en las que se ofrecen los alimentos, la Gerencia de Fiscalización y Control de la Municipalidad de Lima tiene en la mira a los vendedores ambulantes de comida autorizados por la comuna. El anuncio lo hizo Christian Rosenthal, gerente de Fiscalización y Control del municipio, durante la inauguración de la capacitación gratuita de control y manipulación de alimentos a los dueños y operarios a cargo de especialistas de la Sociedad Peruana de Gastronomía – Apega con la finalidad de evitar que los negocios sean clausurados, como ocurrió con el restaurante Cordano, el chifa Wa-Lok o la cevichería El Fayke Piurano.  El municipio vigilará que los vendedores de alimentos en la vía pública cumplan con las normas sanitarias. Según la Gerencia de Fiscalización y Control, las inspecciones se realizan de manera permanente y se evalúa cómo los tenderos expenden los alimentos a los comensales. Si los fiscalizadores tienen alguna observación en la preparación de los alimentos, hay ambulantes que venden desayunos, jugos y todo tipo de alimentos. Se está haciendo la coordinación con el municipio de Lima, busca mejorar la calidad.","-1","Unknown","0.0718","-1","Unknown","0.0606","1339","avenida aviacion, alcalde victoria, municipalidad victoria, alcalde victoria george, comerciantes informales","0.0595","2017"
"La meritocracia debería primar en el sector público.","La pregunta de hoy: ¿Debe modificarse el plazo de 30 años para las concesiones mineras que no son explotadas? No solo deberían bajar el plazo, sino también consultar a los pobladores porque hay centros poblados y caseríos que ni saben que el Estado concesiona las empresas mineras. Pedro Melgar Lozano  La pregunta de mañana:  El plazo debería modificarse a 8 o 10 años, ya que 30 años es demasiado. Además, cada poblador de la zona en un radio de 3 km alrededor debe saber de la empresa concesionaria, Honorable Yupanqui  Las empresas que diferencian salarios entre mujeres y varones deben recibir multas hasta de S/. 5,189,000?","gestion",2019-06-11,"La meritocracia debería primar en el sector público.. La pregunta de hoy: ¿Debe modificarse el plazo de 30 años para las concesiones mineras que no son explotadas? No solo deberían bajar el plazo, sino también consultar a los pobladores porque hay centros poblados y caseríos que ni saben que el Estado concesiona las empresas mineras. Pedro Melgar Lozano  La pregunta de mañana:  El plazo debería modificarse a 8 o 10 años, ya que 30 años es demasiado. Además, cada poblador de la zona en un radio de 3 km alrededor debe saber de la empresa concesionaria, Honorable Yupanqui  Las empresas que diferencian salarios entre mujeres y varones deben recibir multas hasta de S/. 5,189,000?","685","mineria ilegal, minera ilegal, ley mineria, mineros ilegales, formalizacion minera","0,1322","-1","Unknown","0,0058","-1","Unknown","0,0137","2019"
"OTRO PROBLEMA QUE AFECTA AL PROYECTO TIERRA PROMETIDA","Otro de los proyectos anunciados con bombo y platillos por el municipio limeño —pero que aún no se inicia— es la construcción del mercado llamado Tierra Prometida, en Santa Anita.  Como se sabe, a este futuro centro de abastos iban a ser trasladados los comerciantes minoristas que actualmente ocupan los alrededores de La Parada, en La Victoria. En abril último la gerente de Desarrollo Empresarial de Lima, Carmen Vildoso, afirmó que dicha infraestructura estaría lista en octubre pasado. En ese mes (octubre) también procederemos a efectuar la mudanza de los minoristas, dijo en aquella oportunidad.  No obstante, hasta la fecha no se ha colocado ni la primera piedra del nuevo mercado, según constató este diario. Además, esta obra ha generado el rechazo del municipio de Santa Anita y, de acuerdo a fuentes consultadas, esta comuna se niega a entregar las licencias de construcción y de funcionamiento.  Otro problema que enfrenta Tierra Prometida es que parte de su terreno —ubicado al margen occidental— está ocupado por desmonte proveniente de la demolición de los antiguos bellos del Mercado de Santa Anita. Cabe destacar que el municipio de La Victoria dio como plazo hasta diciembre próximo para que los minoristas de La Parada sean retirados. Perú21 se comunicó con los asesores de Carmen Vildoso, pero hasta el cierre de esta edición no pudimos conversar con la funcionaria.","peru21",2013-11-30,"OTRO PROBLEMA QUE AFECTA AL PROYECTO TIERRA PROMETIDA. Otro de los proyectos anunciados con bombo y platillos por el municipio limeño —pero que aún no se inicia— es la construcción del mercado llamado Tierra Prometida, en Santa Anita.  Como se sabe, a este futuro centro de abastos iban a ser trasladados los comerciantes minoristas que actualmente ocupan los alrededores de La Parada, en La Victoria. En abril último la gerente de Desarrollo Empresarial de Lima, Carmen Vildoso, afirmó que dicha infraestructura estaría lista en octubre pasado. En ese mes (octubre) también procederemos a efectuar la mudanza de los minoristas, dijo en aquella oportunidad.  No obstante, hasta la fecha no se ha colocado ni la primera piedra del nuevo mercado, según constató este diario. Además, esta obra ha generado el rechazo del municipio de Santa Anita y, de acuerdo a fuentes consultadas, esta comuna se niega a entregar las licencias de construcción y de funcionamiento.  Otro problema que enfrenta Tierra Prometida es que parte de su terreno —ubicado al margen occidental— está ocupado por desmonte proveniente de la demolición de los antiguos bellos del Mercado de Santa Anita. Cabe destacar que el municipio de La Victoria dio como plazo hasta diciembre próximo para que los minoristas de La Parada sean retirados. Perú21 se comunicó con los asesores de Carmen Vildoso, pero hasta el cierre de esta edición no pudimos conversar con la funcionaria.","-1","Unknown","0.0171","817","transito vehicular, congestion vehicular, transito, vias, buses","0.0702","1519","alcalde victoria, municipalidad victoria, comerciantes informales, municipalidad lima, comercio ambulatorio","0.0195","2013"
"Los mineros informales Ya no Estamos solos: somos La Vanguardia de una mayoría que QUIERE SER Formalizada, reprimida por un Estado que no sabe cómo hacerlo","Somos 2.2 millones de mineros (la cadena de producción informal, que incluye a los procesadores del mineral, contratistas, financistas y comercializadores) y, si incluimos a nuestras familias, llegamos a 5 millones de peruanos. No tenemos los derechos y herramientas del Perú moderno para generar riqueza: crear capital a partir de la combinación de nuestros activos; acceder al crédito y a la inversión mediante garantías y emisión de acciones.","elcomercio",2015-04-20,"Los mineros informales Ya no Estamos solos: somos La Vanguardia de una mayoría que QUIERE SER Formalizada, reprimida por un Estado que no sabe cómo hacerlo. Somos 2.2 millones de mineros (la cadena de producción informal, que incluye a los procesadores del mineral, contratistas, financistas y comercializadores) y, si incluimos a nuestras familias, llegamos a 5 millones de peruanos. No tenemos los derechos y herramientas del Perú moderno para generar riqueza: crear capital a partir de la combinación de nuestros activos; acceder al crédito y a la inversión mediante garantías y emisión de acciones.","298","minera ilegal, mineria ilegal, mineros ilegales, formalizacion minera, formalizacion mineria","0.0261","-1","Unknown","0.0172","330","mineria ilegal, formalizacion minera, mineros ilegales, formalizacion mineria, mineros informales","1","2015"
"Ingreso mensual promedio ha crecido durante 10 meses seguidos","El ingreso mensual promedio ha crecido durante 10 meses seguidos. Informados por los empleadores a nivel nacional, según la información publicada por la Sunat. Por el contrario, el número de puestos en el sector manufactura continua estancado, al haber crecido tan solo 0,25% entre julio del 2017 y 2018. La industria cuenta actualmente con 515 mil trabajadores, representando solo el 10,62% del total de puestos de trabajo.  —Formales— Por otro lado, los trabajadores que perciben remuneraciones afectas a rentas de quinta categoría, y que fueron informados por sus respectivos empleadores formales, sumaron 4,67 millones, lo que representa un aumento de 2,94% (aproximadamente 134 mil trabajadores) con relación a similar mes del año pasado. De esta manera, el crecimiento acumulado en los siete primeros meses del año fue de 2,84%. Asimismo, el total de las remuneraciones de estos trabajadores alcanzó S/18.061 millones, cifra que representa un incremento real de 6,04% en comparación a julio del 2017.  A partir de esta información, la Sunat estima que el importe promedio mensual de salarios pagados en julio fue de S/3.787 (mes que incluye gratificación), monto superior en 2,80% al de julio del año anterior. Por otro lado, si se considera el ingreso promedio mensual acumulado (entre enero y julio), este asciende a S/2.736, superior en 3,18% al mismo lapso del año pasado. De esta manera, se observa que el ingreso mensual promedio ha crecido durante 10 meses continuos.","elcomercio",2018-10-05,"Ingreso mensual promedio ha crecido durante 10 meses seguidos. El ingreso mensual promedio ha crecido durante 10 meses seguidos. Informados por los empleadores a nivel nacional, según la información publicada por la Sunat. Por el contrario, el número de puestos en el sector manufactura continua estancado, al haber crecido tan solo 0,25% entre julio del 2017 y 2018. La industria cuenta actualmente con 515 mil trabajadores, representando solo el 10,62% del total de puestos de trabajo.  —Formales— Por otro lado, los trabajadores que perciben remuneraciones afectas a rentas de quinta categoría, y que fueron informados por sus respectivos empleadores formales, sumaron 4,67 millones, lo que representa un aumento de 2,94% (aproximadamente 134 mil trabajadores) con relación a similar mes del año pasado. De esta manera, el crecimiento acumulado en los siete primeros meses del año fue de 2,84%. Asimismo, el total de las remuneraciones de estos trabajadores alcanzó S/18.061 millones, cifra que representa un incremento real de 6,04% en comparación a julio del 2017.  A partir de esta información, la Sunat estima que el importe promedio mensual de salarios pagados en julio fue de S/3.787 (mes que incluye gratificación), monto superior en 2,80% al de julio del año anterior. Por otro lado, si se considera el ingreso promedio mensual acumulado (entre enero y julio), este asciende a S/2.736, superior en 3,18% al mismo lapso del año pasado. De esta manera, se observa que el ingreso mensual promedio ha crecido durante 10 meses continuos.","284","empleo informal, trabajadores informales, informalidad laboral, empleo formal, promocion empleo","0.0495","-1","Unknown","0.0378","316","trabajadores formales, ministro trabajo, consejo nacional trabajo, reforma laboral, ministerio trabajo","0.0695","2018"
"POLICÍA IMPEDIRÁ INGRESO DE CAMIONES A LA PARADA","La Policía Nacional impedirá el acceso de camiones cargados de verduras a La Parada con el fin de apoyar a la Municipalidad de Lima en la recuperación de esta conflictiva y caótica zona de La Victoria. As lo señaló ayer el ministro del Interior, Walter Albán, quien, no obstante, evit precisar la fecha en que se realizará la intervención. Solo indicó que actualmente están dadas todas las condiciones para ejecutar esa acción.  Albán dijo que ya se ha reunido con la alcaldesa Susana Villarán para definir algunos detalles del operativo. Descartó que vaya a ejecutarse un desalojo. Recordó que dichas medidas restrictivas se interrumpieron en abril de 2013, tras el polémico fallo del juez Malzon.","peru21",2014-01-21,"POLICÍA IMPEDIRÁ INGRESO DE CAMIONES A LA PARADA. La Policía Nacional impedirá el acceso de camiones cargados de verduras a La Parada con el fin de apoyar a la Municipalidad de Lima en la recuperación de esta conflictiva y caótica zona de La Victoria. As lo señaló ayer el ministro del Interior, Walter Albán, quien, no obstante, evit precisar la fecha en que se realizará la intervención. Solo indicó que actualmente están dadas todas las condiciones para ejecutar esa acción.  Albán dijo que ya se ha reunido con la alcaldesa Susana Villarán para definir algunos detalles del operativo. Descartó que vaya a ejecutarse un desalojo. Recordó que dichas medidas restrictivas se interrumpieron en abril de 2013, tras el polémico fallo del juez Malzon.","-1","Unknown","0.0304","-1","Unknown","0.0287","1519","alcalde victoria, municipalidad victoria, comerciantes informales, municipalidad lima, comercio ambulatorio","0.0286","2014"
