"headline","subheadline","author","content","newspaper","date"
"Nació en la Facultad de Medicina de San Marcos en abril de 1879, en el inicio de la Guerra del Pacífico, para atender a los heridos que dejara el conflicto.","","NA","Actualmente sigue activa a través de sus voluntarios, que realizan diversas labores de asistencia en casos de desastre y campañas constantes de prevención, donación de sangre y atención a adultos mayores y personas con habilidades diferentes.","publimetro","2019/04/17"
"— Yo sigo buscando cosas nuevas.— La próxima semana FRITZ PÉEZ DA DOS CONCIERTOS EN LIMA.","","","Fruto Pezzey, vecino de San Luis, hablará sobre su experiencia musical en la siguiente semana.","publimetro","2019/04/17"
"'Panamericanos', Canción Oficial Presentada Anoche por el Comité Organizador.;;NA""","En los domos de San Miguel, se presentó la canción oficial de los Panamericanos, compuesta por Pedro Suarez Vertiz e incluye instrumentos como el cajón peruano y la zampoña.","","","publimetro","2019/04/17"
"Notre-Dame sale de las cenizas al día siguiente del incendio.","","NA","Los Bomberos de Paris hacen balance al día siguiente del devastador incendio ocurrido en la famosa catedral.","publimetro","2019/04/17"
"Ajax elimina a Juventus y pasa a semifinales de Champions League.","","NA","Ajax eliminó a Juventus avanzando a las semifinales de la Liga de Campeones.","publimetro","2019/04/17"
"Luis Carlos Arias Schreiber Barba dirige actualidad relevante.","","Director Periodístico: Luis Carlos Arías Schreiber Barba","Editor de Cierre: Marcos Chumpitaz Sánchez. Dirección: Jr. Santa Rosa 247, Piso 6, Cercado de Lima. Telefono: 311–6330. Web: www.publimetro.pe Email: redaccion@publimetro.pe","publimetro","2019/04/17"
"García indica que no teme a potencial orden de arresto domiciliario mientras continúa la indagatoria por el Caso Odebrecht.","","NA","Indicó que es cobardía intelectual decir que haya resultado su testaferro respecto a los pagos irregulares al exministro Luis Nava. Afirma que cualquier declaración deberá venir primero de Nava y posteriormente de Jorge Barata declarando ante fiscales peruanos.","publimetro","2019/04/17"
"Ejecutivo retornará a dialogar con comunidades de Challhuahuacho, a pesar de fallas anteriores.","","NA","Se planifica continuar conversaciones con comunidades locales para encontrar soluciones conjuntas.","publimetro","2019/04/17"
"Pedro Pablo Kuczynski podría enfrentar prisión preventiva según solicitud de la Fiscalía.","","NA","Exfiscal de la Nacion acudio al Congreso para defenderse de las acusaciones planteadas.","publimetro","2019/04/17"
"Sony revela características técnicas de la nueva consola PlayStation 5.","","Mark Ceryn","Sony compartió detalles importantes sobre la compatibilidad de la consola con video en 8k, audio 3D y retrocompatibilidad con juegos de PS4 y PlayStation VR.","publimetro","2019/04/17"
"Historia detrás del mausoleo de Lenin en Moscú y su mantenimiento continuo mediante biotecnología.","","Servicio Federal de Protección de Rusia","Rusia permite nuevamente acceso al mausoleo de Lenin tras trabajos de conservación.","publimetro","2019/04/17"
"Carga inicial de ayuda humanitaria entra a Venezuela procedente de la Cruz Roja.","","Francisco Rocca","Iniciativas internacionales logran introducir recursos vitales en territorio venezolano.","publimetro","2019/04/17"
"Bachelet urge a Nicaragua abstenerse de usar violencia contra manifestantes.","","Michelle Bachelet","Algunas medidas urgentes deben tomarse para proteger derechos civiles en momentos delicados políticamente.","publimetro","2019/04/17"
"Noches posteriores al incendio en Notre Dame muestran solidaridad global.","","Gabriel Plus","Trabajadores buscan salvaguardar elementos valiosos y evaluar integridad estructural post-incendio.","publimetro","2019/04/17"
