"headline","subheadline","author","content","newspaper","date"
"El loco del martillo Wawrinka da la sorpresa y gana Roland Garros","","","El suizo vence en 4 sets al croata Djokovic y se lleva el Grand Slam de París.","elcomercio","2015/06/08"
"Resultados del Merrell Challenge Pachacámac","","","Luces Los primeros discos de Miki González ahora suenen en CD El set 'Puedes Creer Tan Tarantas' recopila sus Canciones de los años ochenta.","elcomercio","2015/06/08"
"Tema del día Cuentas de la primera dama.","'Entrevista al Fiscal Ricardo Rojas'; NA","Marcela Ballesteros Periodista ","'""El fiscal que investiga a la primera dama señala que el caso es complejo y que, como parte de la pesquisa, se levantará el secreto bancario de la esposa del Presidente Humala. Recalca que su indagación es profesional y sin tintes políticos.'""","elcomercio","2015/06/08"
"Caso Nadine Heredia Investigación Compleja","","","Magistrado justifica que se investigue al entorno familiar y amical de la esposa del presidente porque hay operaciones sospechosas. Trabajo Autónomo. Dice que no actúa politicamente y lamenta expresiones de Humala contra su labor. Destaca el apoyo que le ha dado el fiscal de la Nacion.","elcomercio","2015/06/08"
"Nuevo Cuestionamiento Panorama expuso supuesto intercambio de Correo Electrónico Entre Nadine Heredia y Maria Seifert-Humala, Hermana del Jefe del estado, Sobre Cuentas en Dos Bancos Suizos.","","","","elcomercio","2015/06/08"
"Mundo's de Rusia y Qatar en Entredicho FIFA admite Que Podria Quitarles Sedes del 2018 y 2022 Si Se Demuestra Que Hubo Compra de Votos.","","","San Isidro Refuerza Vigilancia de Motos Para Evitar Asaltos Mas Patrulla En Las Avendas.","elcomercio","2015/06/08"
"Luis Llosa Producer Niega Algún Irregularidad En La Casa Museo Mario Vargas Llosa De Arequipa.","","","Emmer Hurtta Especialista Critica Uso Del Llamado Viagra Feminal.","elcomercio","2015/06/08"
"Protestas Por La Inseguridad En El Pais Elecciones A Fuego En Mexico Hoy Gratis SuPlimentos Dia Del Ingeniero Maestrias Mas De Treinta Incidentes Se Produjeron Ayer Durante Las Elecciones Para Diputados Y Gobernadores En Mexico, Específicamente En El Sur Del Pais. Ánforas Quemadas Y Suspención De Comicios En Algunas Localidades Marcó Una Jornada Donde Hubo Más De Ochenta Detenidos Y Desmanes, A Pesar Del Despliegue De Miles De Militares. La Mayoría De Protestas Fueron Por La Desaparición De Cuarenta Y Tres Estudiantes El Año Pasado Y La Amenaza De La Delinquencia Oraganizada.","","","Pagina Dieciocho Mundo’s De Rusia Y Qatar En Entredicho Fifa Admite Que Podria Quitarles Sedes Del Dos Mil Dieciocho Y Dos Mil Veintidos Si Se Demostra Que Hubo Compra De Votos.","elcomercio","2015/06/08"
"Puesto era de casi S/.9 millones.","","","Los proyectos, realizados en el 2011, fueron adjudicados a las compañías de Víctor Jaramillo y Lorenzo Fernández, cercanos a Belaunde Lossio y quienes esta semana fueron detenidos.","elcomercio","2015/06/08"
"","","","De acuerdo con un colaborador eficaz de la fiscalía que investiga el caso, el ex asesor de Ollanta Humala habría sido la persona que contactó a las autoridades de Caterpillar con las empresas de Jaramillo y Fernández. Por esa supuesta gestión habría recibido S/.30 mil. 'Cuarto poder' informó que la fiscalía denunciará el caso en los próximos días.","elcomercio","2015/06/08"
"Interrogatorio Martín Belaunde Lossío será interrogado hoy en el penal Piedras Gordas I (Ancón) por la comisión congresal que investiga su caso.","","","La sesión se realizará a las 10:00 a.m. El congresista fujimorista Sergio Tapia, miembro del grupo, indicó que el interrogatorio será reservado, pero que Belaunde Lossio u otro parlamentario podrían solicitar que la prensa ingrese a la cárcel para escuchar el testimonio. Esto será la primera vez que Belaúde Lossio testifique desde que fue extraditado. El Ministerio Público, que lo investiga por asociación ilícita para delinquir y por colusión, todavía no lo ha interrogado.","elcomercio","2015/06/08"
"Más información Pendiente","","","La Comisión Belaunde Lossio aún no ha discutido si solicitara al Pleno la ampliación de su área de trabajo para investigar los movimientos bancarios de Nadine Heredia. Moción La semana pasada se presentó una moción para crear un grupo que indague el caso de la primera dama.","elcomercio","2015/06/08"
"","","","","elcomercio","2015/06/08"
"Señalan supuesto vínculo entre Heredia y cuentas suizas”;;Paul Vallejos / Archivo""","“Panorama” denunció aparente intercambio de correos electrónicos entre la primera dama y una de sus cuñadas en que se habla de depósitos bancarios en Europa. Los 500 euros restantes estarían guardados en el PostFinance, el banco suizo conocido mundialmente por cerrar la cuenta del fundador de WikiLeaks Julian Assange. Y la titular de estos fondos también sería ‘Ivos’, quien envía una fotocopia del depósito a su cuñada. La hermana de Humala también le dice a Heredia que su hijo llega a Lima el 3 de agosto del 2010 por la aerolínea KLM, en un vuelo de Amsterdam, Holanda. María Ivoska Seifert-Humala tiene un hijo llamado Dan Seifert y, de acuerdo con su registro migratorio, efectivamente llegó al Perú el 3 de agosto, procedente de la capital holandesa.","","","elcomercio","2015/06/08"
"Trabajos en la Av. Amancaes no afectarán al corredor azul","","ALESSANDRO CURRARINO","Los buses recogerán a los pasajeros en la avenida Alcázar. La Municipalidad del Rímac informó ayer que las obras de rehabilitación vial de la avenida Amancaes no afectarán el servicio del corredor azul en su jurisdicción.","elcomercio","2015/06/08"
"Denucia invasión de buses","","","El alcalde del Rímac, Enrique Peramás, denunció ayer a través de su cuenta de Twitter que buses pertenecientes a los consorcios del corredor azul invaden un terreno municipal para utilizarlo como estacionamiento.","elcomercio","2015/06/08"
"Más del Corredor Uldarico Martínez, presidente del consorcio TGA, indicó a El Comercio que no tiene conocimiento sobre la denuncia del burgomaestre rimense.","","","","elcomercio","2015/06/08"
"Ambientalistas alertan sobre impacto ambiental negativo de proyectos energéticos en selvas tropicales.","","","Ambientalistas alertan sobre el impacto ambiental negativo causado por diversos proyectos energéticos desarrollados en áreas protegidas dentro de selvas tropicales.","elcomercio","2015/06/08"
"Este es una de las elecciones más complejas en la historia de México","","","donde por primera vez el Instituto Nacional Electoral (INE) concentra la organización de las elecciones intermedias, por las que se renovará la Cámara de Diputados de 500 escaños, y simultáneamente serán elegidos gobernadores en nueve estados del país y más de 1.200 cargos estatales y municipales.","elcomercio","2015/06/08"
"Arabia Saudita confirma la condena a un blogger","'Raif Badawi'","","informó ayer el diario 'Okaz'. La justicia condenó el año pasado a Badawi a diez años de prisión, mil latigazos y a pagar una multa de un millón de riales sauditas (unos 266.600 dólares). La decisión del Tribunal Supremo es inapelable. Badawi, quien ya estaba en la cárcel, fue sentenciado por insultos al Islam en un foro sobre democracia que había creado en Internet.","elcomercio","2015/06/08"
"G7 enfatizó continuidad de sanciones hacia Rusia","","","En la cumbre que comenzó ayer en el pueblo bávaro de Krun, en Alemania, el mensaje emitido fue claro: la política de sanciones continuará hasta que Moscú respete la soberanía territorial de Ucrania.","elcomercio","2015/06/08"
