"headline","subheadline","author","content","newspaper","date"
"Más de 113 mil candidatos en las elecciones de octubre!","","","Avalancha de postulantes para ejercer cargos de autoridades distritales, provinciales y regionales. El Jurado Nacional de Elecciones informó que en todo el país se presentaron 14.532 listas para los próximos comicios municipales y regionales.","publimetro","2018/06/22"
"Autoridades suspenden actividades deportivas en colegios públicos","","","Las autoridades educativas decidieron suspender temporalmente las actividades deportivas en los colegios públicos debido a incidentes reportados en varios centros educativos.","publimetro","2018/06/22"
"Campañas de salud en Barranco y Miraflores","MAÑANA SE REALIZARÁN CAMPAÑAS DE SALUD GRATIS EN LOS DISTRIKTOS DE BARRANCOP PLAZA BUTTERS Y MIRAFLORES."," ""NA""","Allí habrá chequeos oftalmológicos, se medirá la presión arterial, glucosa, colesterol y más. El Bibliométro, sistema de préstamo gratuito de libros en el Metroplitano, celebra hoy su primer año de funciónamiento con una ceremonia a las 11:30 a.m. en la Estación Central.","publimetro","2018/06/22"
"Hospitalizado el Premio Nobel Mario Vargas Llosa","EL ESCITOR RESIDE DESDE 1990 EN MADRID."," ""NA""","Mario Vargas Llosa fue hospitalizado ayer en una clinica de Madrid (España) tras haber sufrido una caída en su domicilio. Permaneció en observación, pese a que no presenta fracturas, solo un hematoma.","publimetro","2018/06/22"
"Literatura y Cultura en el Metropolitano","EL BIBLIOMETRO CELEBRARA HOY SU PRIMER ANIVERSARIO.; "," ""Alex Alejandro, jefe del Programa Lima lee de la Municipalidad de Lima.""","En estos doce meses, cuenta ya con 5 mil usuarios registrados. ... 'Queremos acercar la cultura y la lectura al público.' ","publimetro","2018/06/22"
"MUNDIAL EQUIPO PJ PG","NA","NA","FRANCIA 202 2 DINEMARCA 203\n3 AUSTRALIA 2 0 \nPERÚ 2 0 ÚLTIMA FECHA\nMARTES 26 9 a.m.\nDinamarca—Francia\nESTADIO OLIMPICO LUZHNIKI DE MOSCU (TRANSMITE DIRECTV SPORTS]\n9 a.m. Australia Perú ESTADIO OLIMPICO FISH OF SOCHI (TRANSMITEN LATINA Y DIRECTV SPORTSPORT)\nP P GG FF GP GD PS PENALES\ndo los 11 que se han cobrado en el Mundial pertenecen a este grupo. Anotaron Jedinak (2 veces) y Griezmann. Falló CUEVA. Australia mantiene una ligera opción\nEL CENTROMPISTA JEIDINK ANOTÓ SU SEGUNDO GOL DE PENAL EN RUSSIA, ASÍ QUE AUSTRALIA LLEGARA AL DUPLA CONTRA PERÚ, ESTE MARTES 26, CON OPCIONES DE CLASIFICARSE A LOS OCTAVOS DE FINAL DEL MUNDIAL. ESTO PORQUE EMPATÓ A UNO ANTE DINAMARCA AÑORCHE SAMARA. ‘LA DINAMITA ROJA’ ABRIENDO MARCADORES TRAS BUENO DISPARO DE CHRISTIANSEN (7’) DESPUÉS DE JUGADA COLECTIVA, IGUALANDO CAPITAN MILLE JEDIANK DISPARIÓ PENAL (38”)","publimetro","2018/06/22"
"","","","","publimetro","2018/06/22"
"PUBLI-METER","VIERNES 22 DE JUNIO DEL 2018","NA","MEXICOP MULTADO POR CANCIÓN HOLOFÓBIKA FINALLY, LA FIFA HA IMPUESTO UNA MULTA ECONOMICA A MEXICO POR CAUSA DE LOS CANCIONS HOLOFÓBIKOS DE SUS AFICIONADOS EN EL PARTIDO ANTE ALEMANYA, JOGANZO EL PASADO DOMINGO POR EL GRUPO F DEL MUNDIAL DE RUSIA 2018. SEGUINDO UNE TRADICIÒN FUDBOLERIL EN SU PAIS, LOS AFICIONADOS DEL TRI PRESENTES EN EL ESTADIO OLIMPICO LUZHNIIKI DE MOSCU LE GRITARON “EHHH PUERTO” (HOLOSSEXUAL) AL MENOS EN TRES OCASIONES AL ARQUERO ALEMAN MANUEL NEUSER CUANDO SE PROPONIA REALIZAR UN SAQUE DE META. 10136 DOLLARS DE MULTA RECIBIERON TAMBIEN SERBIA, SUS AFICIONADOS EXPUSIERON UNA PANDEM POLÍTICA OFENSIVA EN LA VICTORIA ANTE COSTA RICA. POR ESA RAZÓN, LA FIFA SANCCIONÓ CON UNA MULTA DE US$10.136 A LA FEDERACIÓN MEXICANA DE FÚTBOL.","publimetro","2018/06/22"
"","","","","publimetro","2018/06/22"
"DOLOROSA GOLEADA DE 3–0 ANTE CROACIA, EN DESAFORTUNADA JORNADA DEL PORTERO CABALLERO.","","MESSI FUE QUITADO DEL CAMPO Y SIAMPOLI NO HALLO SOLUCIONES.","EN EL ESTADIO NIJNI VOGROD, POR LA SEGUNDA FECHA DEL GRUPO D, CROACIA GARANTIZÓ SU PASO A LOS OCTAVOS DE FINAL DEL MUNDIAL SUMANDO SEIS PUNTOS. DE FORMA INCREIBLE DERROTÓ 3–0 A UNA PALIDA ARGENTINA, QUE ESTÁ AL BORDE DE LA ELIMINACION EN PRIMER ROUND. «YO SOY RESPONSABLE DE TOMAR DECISIONES. LA DERROTA TIENE RELACION CON PLAN DEPARTAMENTO QUE PLASMARE Y POR SITUACIONES QUE ACASI PLANTEADAS DE OTROS MODOS SALDRÍAN MEJOR. CREO IMPOSIBLE ATRIBUIR RESPONSABILIDAD A CABALLEIRO», DECLARÓ ENTRENADOR JORGE SAPPAOLI. CALIDAD QUE DIJO A WILLIE CABALEIRO LA POSICIÓN EN EL ARCO ARGENTINO, SU JUEGO CON LOS PIESE VOLVERÍA SU CONDENACIÓN. EL ARQUERO SUPLENTE DEL CHELSEA RECIBE BALÓN EN ÁREA Y INTENTA SACAR JUGANDO LO ENTREGA ATACKER ANTJE REBIC, QUINE SOMBREO PARA ABIERTURA MARCAR RESULTADO (53′). LIONEL MESSI NO APARECE, MAS SIMULTANEAMENTE MODESTO MODRIC DEFINICIÓN EXTRAORDINARIO FUERA AREA TERMINABA POR DEMOSTRAR A ALBICELESTE (80′). ULTIMATE HUMILLACIÓN COMPLETO: YA RAKITICH BATIÓ POR TERCEIRA VEZ ARCULO DE CABALERITO EN DESCARGOS (90+1′): 3−0 IRREPETIBLE PARA CROACIA ANTE PADECIMIENTO AFICIONADOS ARGENTINOS. CLASSIFICATION DE ARGENTINA A OCTAVOS DE FINAL AHORA NO ESTÁ SOLO EN SUS MANOS Y DEPENDEN DE ACCIONES DE SUS OPONENTES. HOY EN EL VOLGORODO ARENA (10 A.M.) EL ESCUADRÓN DE SAPPOLA NECESITA QUE NIGERIA (4º SIN PUNTOS) EMPATA O VENCE ISLANDIA (2° CON UN PUNTO) PARA RESISTENCIA EL MIÉRCOLES 26 ANTE AFRICANOS. TRIUNFO DE ISLANDIA SOBRE NIGERIA DEJARÍA SOLO CON OPCIONES MATHEMATICAL ARGENTINA, QUE POSTERIORMENTE DEBERÍA GOLONCHAR EN ULTIMA FECHA A NIGERIA Y ESPERAR CATACLISMICA CAÍDA DE ISLANDES ANTE CROACIA.","publimetro","2018/06/22"
